cytoband	5q35.1	3q26.32	Xq11.2	7q31.2	1q32.1	1q24.1	Xq28	8q24.22	10p14	4q32.1	
	MIR378E	TRA2B		OR2A20P		MIR181A1HG	LINC00893	CCDC26	U8|ENSG00000251740.1		
	MIR585	MIR548AQ		CTAGE15		MIR4735	RN7SKP267	RN7SKP206	U8|ENSG00000239148.1		
	MIR103A1	SENP2		RN7SL481P		U3|ENSG00000252241.1	CXorf51A	LINC00977	U8|ENSG00000238840.1		
	PANK3	snoU13|ENSG00000239146.1		RN7SL535P		MIR1278	CXorf51B	RN7SKP226	AKR1C1		
	FBLL1	SNORD66|ENSG00000212158.1		OR6W1P		snoU109|ENSG00000238754.1	RNA5SP517	TMEM75	LINC00705		
	SNORA40|ENSG00000253065.1	MIR1224		TRBV30		RN7SKP126	SPANXN1	POU5F1B	LINC00704		
	RN7SKP60	CYP2AB1P		TRBC2		RNA5SP73	RN7SKP189	CASC8	LINC00703		
	NUDCD2	SNORA4|ENSG00000251730.1		PRSS3P2		RN7SKP156	RN7SKP149	CCAT1	LINC00702		
	MIR3142	SNORA63|ENSG00000199363.1		TRBV28		RNA5SP72	RN7SKP81	PCAT2	LINC00701		
	RN7SL295P	SNORA81|ENSG00000253092.1		TRBV27		SNORD112|ENSG00000252790.1	snoU13|ENSG00000239188.1	PCAT1	LINC00700		
	ADRA1B	SNORA63|ENSG00000201229.1		TRBV19		RN7SL654P	RNA5SP516	LINC00861	ADARB2		
	RNU4ATAC2P	LINC00888		TRBV9		RNA5SP71	SPANXD	RN7SL590P	MIR5699		
	SNORA68|ENSG00000252458.1	RNA5SP151		TRBV2		RN7SKP229	SPANXA2	RN7SL329P	RN7SL754P		
	BNIP1	DCUN1D1		PRSS3P3		RNA5SP70	SPANXA1	LINC00964	RNA5SP298		
	CANX	RN7SKP265		MOXD2P		KIAA1614	RN7SL727P	RNF139	RNA5SP297		
	CCNG1	RNA5SP150		OR9A1P		U6|ENSG00000272292.1	MIR505	TMEM65	TUBB8		
	CLTB	RN7SL703P		OR9A3P		MIR3121	SNORA18|ENSG00000252719.1	RN7SKP155	ATP5C1		
	DBN1	RN7SL229P		AGK		LHX4	RNU6ATAC23P	snoU13|ENSG00000238422.1	CALML3		
	DOCK2	U8|ENSG00000201810.1		U6|ENSG00000271932.1		RN7SL230P	snoU13|ENSG00000238485.1	U3|ENSG00000221461.1	AKR1C4		
	DRD1	RNA5SP149		RN7SL771P		IFRG15	MIR504	RNY4P5	KLF6		
	DUSP1	snoU13|ENSG00000239096.1		RNA5SP248		RN7SL374P	RN7SKP31	snoU13|ENSG00000238901.1	AKR1C2		
	EBF1	GNB4		snoU13|ENSG00000238868.1		SNORA67|ENSG00000201619.1	RN7SL325P	HAS2	GATA3		
	F12	SNORA25|ENSG00000201957.1		RNA5SP247		SNORA67|ENSG00000212338.1	SNORD61|ENSG00000206979.1	RNA5SP277	GDI2		
	FABP6	PIK3CA		KLRG2		TOR3A	MIR934	RN7SL396P	IDI1		
	FGFR4	RNA5SP148		LUC7L2		SNORA63|ENSG00000201791.1	snoU13|ENSG00000239080.1	RN7SKP153	IL2RA		
	FOXI1	SNORA18|ENSG00000200288.1		SNORA40|ENSG00000252188.1		RNA5SP69	RNA5SP515	SNORA32|ENSG00000206776.1	IL15RA		
	FLT4	RN7SKP52		snoU13|ENSG00000239123.1		C1orf220	LINC00086	COLEC10	ITIH2		
	GABRA1	LINC00578		SNORA51|ENSG00000201465.1		LINC00083	LINC00633	EXT1	PFKFB3		
	GABRA6	LINC00501		snoU13|ENSG00000238984.1		MIR488	LINC00087	SNORA31|ENSG00000252852.1	PFKP		
	GABRB2	RNA5SP147		snoU13|ENSG00000239145.1		SCARNA3	SMIM10	RN7SL826P	PHYH		
	GABRG2	snoU13|ENSG00000271842.1		RN7SKP223		snoU13|ENSG00000238872.1	LINC00629	RN7SL228P	PRKCQ		
	GABRP	MIR4789		SNORD81|ENSG00000202023.1		RNA5SP68	GPC4	AARD	RSU1		
	GRK6	RN7SKP40		snoU13|ENSG00000238488.1		RNA5SP67	SNORA8|ENSG00000207100.1	EIF3H	PRPF18		
	GRM6	RN7SKP234		LUZP6		SNORD78|ENSG00000208317.1	RNA5SP514	RNA5SP276	AKR1C3		
	HK3	snoU13|ENSG00000239141.1		C7orf73		GAS5	RN7SL191P	LINC00536	CDC123		
	HMMR	SNORA72|ENSG00000200355.1		U6|ENSG00000272393.1		RN7SKP160	FAM45B	snoU13|ENSG00000238656.1	PTER		
	HNRNPAB	RN7SL141P		SNORD46|ENSG00000201009.1		snoU13|ENSG00000238430.1	RNA5SP513	SNORD112|ENSG00000252559.1	USP6NL		
	HNRNPH1	PP13439		MIR29B1		ANKRD45	DCAF12L2	TMEM74	OPTN		
	HRH2	snoU13|ENSG00000238359.1		MIR29A		snoU13|ENSG00000251817.1	snoU13|ENSG00000238626.1	RNA5SP275	NET1		
	IL12B	MIR569		RNA5SP246		TNFSF18	SNORA40|ENSG00000252693.1	snoU13|ENSG00000238687.1	PITRM1		
	LTC4S	RNY5P3		COPG2		SNORD112|ENSG00000252354.1	snoU13|ENSG00000239058.1	RIMS2	RPP38		
	MGAT1	CLDN11		MIR335		DNM3OS	RN7SL29P	MIR3151	CELF2		
	MSX2	TERC		snoU13|ENSG00000239044.1		SCARNA20|ENSG00000253060.1	U3|ENSG00000212321.1	RNU6ATAC8P	ZMYND11		
	NPM1	EGFEM1P		snoU13|ENSG00000238336.1		RN7SL425P	CT47A12	snoU13|ENSG00000238533.1	NUDT5		
	MAPK9	RN7SKP298		RNA5SP245		snoU13|ENSG00000238859.1	MCTS1	snoU13|ENSG00000238372.1	WDR37		
	PROP1	MIR720		RNA5SP244		RN7SL269P	snoU13|ENSG00000272179.1	RN7SL563P	SEPHS1		
	RARS	snoU13|ENSG00000238398.1		TSPAN33		RN7SL333P	RHOXF2B	NACAP1	KIN		
	SLC34A1	CT64		snoU13|ENSG00000238733.1		C1orf112	NDUFA1	RN7SKP249	DIP2C		
	SLIT3	ACTL6A		RN7SL306P		F5	SNORA69|ENSG00000206622.1	RN7SL685P	LARP4B		
	SNCB	AHSG		KCP		RNA5SP66	MIR766	RNU6ATAC41P	GTPBP4		
	STK10	APOD		RN7SL81P		LINC00970	RN7SL118P	MIR1273A	UPF2		
	ZNF354A	BCHE		CALU		LINC00626	SNORA35|ENSG00000239182.1	SNORD77|ENSG00000212414.1	HSPA14		
	TTC1	BCL6		RNA5SP243		ANKRD36BP1	MIR1277	RN7SL350P	CALML5		
	STC2	BDH1		RNA5SP242		SFT2D2	RN7SL712P	RN7SKP85	ANKRD16		
	FGF18	AP2M1		MIR593		MIR1255B2	SNORA64|ENSG00000252441.1	KCNS2	FAM208B		
	SQSTM1	CLCN2		MIR592		snoU13|ENSG00000238325.1	SNORA35|ENSG00000271907.1	NIPAL2	SEC61A2		
	PTTG1	CPN2		GPR37		RNA5SP65	MIR448	SNORA72|ENSG00000207067.1	OLAH		
	PDLIM7	DGKG		AASS		POGK	MIR1911	LAPTM4B	MCM10		
	ADAMTS2	DLG1		RN7SKP277		MIR921	SNORA35|ENSG00000208839.1	U3|ENSG00000207215.1	DHTKD1		
	MAML1	DVL3		RNA5SP241		RNA5SP64	SNORD30	PTDSS1	FRMD4A		
	GFPT2	ECT2		RNA5SP240		UCK2	RN7SL93P	snoU13|ENSG00000238791.1	CAMK1D		
	SLU7	EHHADH		U1|ENSG00000271739.1		TMCO1	U3|ENSG00000201674.1	FSBP	SFMBT2		
	RGS14	EIF4A2		NAA38		SNORD112|ENSG00000252359.1	snoU13|ENSG00000238811.1	RNA5SP274	DCLRE1C		
	CPLX2	EIF4G1		RNA5SP239		U3|ENSG00000212538.1	RN7SL266P	LINC00535	SUV39H2		
	LMAN2	EPHB3		CAPZA2		RNA5SP63	MIR4329	RN7SKP231	ECHDC3		
	MGAT4B	ETV5		snoZ185		RNA5SP62	ZCCHC16	snoU13|ENSG00000239134.1	ASB13		
	B4GALT7	MECOM		SNORA25|ENSG00000202377.1		SNORD112|ENSG00000252740.1	TRPC5OS	MIR4661	TUBAL3		
	RNF44	FGF12		MIR3666		RN7SL861P	RNA5SP512	RN7SL777P	FAM188A		
	TBC1D9B	GHSR		RNA5SP238		C1orf111	RN7SL661P	RNA5SP273	ITIH5		
	ATP10B	GP5		TSRM		MIR556	LINC00890	LINC00534	AKR1E2		
	N4BP3	HRG		TMEM168		RNA5SP61	TDGF1P3	RNA5SP272	FAM107B		
	FAF2	HES1		IFRD1		MIR4654	GNG5P2	MMP16	CCDC3		
	WWC1	IL1RAP		RN7SKP187		RN7SL466P	SNORD96B	REXO1L10P|ENSG00000255940.1	FBXO18		
	FBXW11	LPP		RNA5SP237		RPL31P11	MIR3978	REXO1L11P	RBM17		
	ZNF346	MFI2		snoU13|ENSG00000238922.1		FCGR2C	MIR652	REXO1L10P|ENSG00000270416.1	IDI2		
	TSPAN17	MUC4		AOC1		SDHC	MID2	snoU13|ENSG00000238566.1	UCN3		
	PRELID1	NDUFB5		AKR1B1		MIR5187	NCBP2L	SLC10A5	UCMA		
	MAT2B	OPA1		ARF5		ADAMTS4	RBM41	IMPA1P	C10orf111		
	TLX3	PAK2		OPN1SW		ACA64|ENSG00000238934.1	MIR548AN	RN7SL308P	FAM171A1		
	KCNIP1	PCYT1A		BPGM		F11R	ZCCHC18	RN7SL107P	BEND7		
	ZNF354C	SERPINI1		BRAF		DCAF8	RNA5SP511	SNORA20|ENSG00000206649.1	PROSER2		
	RPL26L1	SERPINI2		CALD1		KCNJ9	LINC00630	RN7SL41P	C1QL3		
	C5orf45	PLD1		CASP2		SNORD64|ENSG00000212161.1	NXF4	snoU13|ENSG00000238595.1	LINC00200		
	DDX41	POLR2H		CAV1		OR10J4	TCP11X1	CASC9	PRR26		
	NOP16	PPP1R2		CAV2		RNA5SP60	TCP11X3P	RNA5SP271	MIR1265		
	UIMC1	PRKCI		CFTR		RN7SL612P	TCEAL6	U8|ENSG00000200191.1	MIR548Q		
	RAB24	MASP1		CHRM2		MIR765	SNORA9|ENSG00000202231.1	RN7SL19P	MIR4293		
	NEURL1B	PSMD2		CLCN1		snoU13|ENSG00000238843.1	TSPAN6	snoU13|ENSG00000238450.1	MIR548AK		
	FAM193B	RFC4		CPA1		BGLAP	SNORA25|ENSG00000252296.1	RNA5SP270			
	TMED9	RPL35A		CPA2		SNORA26|ENSG00000252236.1	RN7SL74P	RN7SL675P			
	CDHR2	SI		DPP6		SCARNA4|ENSG00000252808.1	RN7SKP194	RN7SKP29			
	SPDL1	ST6GAL1		EN2		SNORA42|ENSG00000207475.1	RN7SL379P	RNA5SP269			
	NHP2	SKIL		EPHA1		snoU13|ENSG00000238805.1	RNA5SP510	ADCY8			
	RNF130	SLC2A2		EPHB6		MIR555	AGTR2	ANGPT1			
	KIAA1191	SOX2		EZH2		GBAP1	ABCD1	ANXA13			
	ERGIC1	SST		FLNC		EFNA3	SLC25A5	ATP6V1C1			
	CLK4	TFRC		GBX1		MIR4258	XIAP	BAI1			
	TENM2	THPO		GRM8		SNORD59|ENSG00000252682.1	ARHGAP4	OSGIN2			
	CNOT6	SEC62		MNX1		SNORA58|ENSG00000201129.1	ATP2B3	CA1			
	C5orf54	FXR1		IMPDH1		C1orf189	ATP6AP1	CA2			
	NSD1	TP63		INSIG1		RN7SL431P	AVPR2	CA3			
	RMND5B	CHRD		IRF5		MIR5698	BGN	CALB1			
	RANBP17	TNFSF10		KCND2		U3|ENSG00000252669.1	BRS3	RUNX1T1			
	CCNJL	EIF2B5		KCNH2		snoU13|ENSG00000238511.1	BTK	CDH17			
	BTNL8	USP13		KEL		RN7SL372P	CAPN6	COX6C			
	DOK3	CLDN1		LEP		RN7SL44P	CD40LG	CYC1			
	ZFP2	MAP3K13		MEST		S100A7L2	CDR1	CYP11B1			
	RUFY1	ADIPOQ		MET		SPRR2B	CLIC2	CYP11B2			
	CPEB4	KIAA0226		MKLN1		SNORA31|ENSG00000252920.1	CNGA2	DECR1			
	PRR7	ECE2		NDUFA5		LINC00302	COL4A5	DPYS			
	MXD3	ABCC5		NDUFB2		NBPF18P	COL4A6	E2F5			
	THOC3	TNK2		NOS3		THEM4	CSTF2	EEF1D			
	PHYKPL	ALG3		CNOT4		LINGO4	CTAG1B	EYA1			
	UNC5A	KCNMB2		NRF1		CELF3	TEX28	FABP4			
	BOD1	IGF2BP2		PAX4		MIR554	DCX	FABP5			
	COL23A1	CLDN16		PIP		SNORA44	TIMM8A	GEM			
	UBTD2	PDCD10		PODXL		RNY4P25	DIAPH2	GLI4			
	SCGB3A1	SLITRK3		PPP1R3A		RN7SL444P	DKC1	GML			
	SFXN1	NLGN1		PRSS1		MLLT11	DNASE1L1	GPR20			
	GPRIN1	NCBP2		TAS2R38		SNORA40|ENSG00000253047.1	DRP2	GPT			
	PWWP2A	TNIK		PTN		RN7SL600P	TSC22D3	GRINA			
	C1QTNF2	MCF2L2		PTPRN2		RN7SL473P	DUSP9	HNF4G			
	C5orf47	ATP11B		PTPRZ1		C1orf138	ELF4	HSF1			
	OR2Y1	VPS8		RARRES2		LINC00568	EMD	IL7			
	UBLCP1	ACAP2		RHEB		snoU13|ENSG00000238526.1	F8	IMPA1			
	CREBRF	GPR160		SLC4A2		RN7SL480P	F9	EIF3E			
	RNF145	FETUB		SLC13A1		OTUD7B	ACSL4	KCNQ3			
	HIGD2A	LAMP3		SMARCD3		HIST2H3A	FGF13	LY6E			
	FAM153B	KCNMB3		SMO		HIST2H2AA3	FHL1	LY6H			
	RASGEF1C	GOLIM4		SPAM1		HIST2H3C	FLNA	MATN2			
	EFCAB9	ZNF639		AKR1D1		FAM72C	FMR1	MYC			
	SH3PXD2B	PEX5L		SSBP1		FCGR1C	AFF2	NBN			
	FAM153A	DNAJB11		TBXAS1		RNA5SP59	CENPI	NDUFB9			
	ZNF454	KLHL24		UBE2H		NBPF15	G6PD	TONSL			
	C5orf60	PIGX		VIPR2		RNA5SP58	GABRA3	NOV			
	PFN3	TBCCD1		WNT2		NBPF24	GABRE	ODF1			
	SIMC1	LEPREL1		XRCC2		RN7SL261P	GDI1	TNFRSF11B			
	MIR146A	ABCF3		ZYX		ACP6	GLA	ENPP2			
	ZFP62	LSG1		ST7		LINC00624	GPC3	PLEC			
	CBY3	PARL		ARHGEF5		HYDIN2	GLUD2	PMP2			
	FAM153C	MFN1		ZNF212		RNA5SP57	GRIA3	POLR2K			
	FAM196B	YEATS2		ZNF282		PDZK1P1	GUCY2F	PKIA			
	MIR3912	MYNN		CUL1		RNF115	HCFC1	PTK2			
	MIR4634	EIF5A2		TRIM24		NUDT17	HMGB3	PEX2			
		MCCC1		MGAM		GNRHR2	HNRNPH2	RAD21			
		HRASLS		WASL		NBPF10	HPRT1	RPL7			
		MRPL47		DGKI		SEC22B	HTR2C	RPL8			
		NCEH1		ATP6V1F		RN7SKP88	IDH3G	RPL30			
		SLC7A14		ASIC3		LINC00623	IDS	SDC2			
		MAGEF1		PDIA4		NBPF8	IGSF1	ST3GAL1			
		ZMAT3		UBE3C		SRGAP2B	IL9R|ENSG00000124334.12	SLA			
		FNDC3B		FAM131B		ANKRD20A12P	IL13RA1	SNTB1			
		ATP13A3		DOCK4		FCGR1B	IL13RA2	SPAG1			
		TBL1XR1		FAM115A		HIST2H2BA	IRAK1	SQLE			
		ZBBX		DNAJB6		ABL2	L1CAM	STK3			
		LRRC31		ABCF2		ADAR	LAMP2	TAF2			
		MAP6D1		FAM3C		ADORA1	SH2D1A	TCEB1			
		PHC3		FASTK		ALDH9A1	MAGEA1	TERF1			
		PIGZ		ZNF277		APCS	MAGEA2	TG			
		SPATA16		ABCB8		APOA2	MAGEA3	KLF10			
		B3GNT5		TFEC		FASLG	MAGEA4	TPD52			
		IQCG		PAXIP1		ARNT	MAGEA6	TRHR			
		ATP13A4		KLHDC10		ASTN1	MAGEA8	TRPS1			
		ACTRT3		NUP205		SERPINC1	MAGEA9	TSTA3			
		LRCH3		AHCYL2		ATP1A2	MAGEA10	COL14A1			
		CEP19		TNPO3		ATP1A4	MAGEA11	UQCRB			
		LMLN		HYAL4		ATP1B1	MAGEA12	YWHAZ			
		KLHL6		TSPAN12		ATP2B4	MCF2	ZNF7			
		VWA5B2		CLEC5A		BCL9	MECP2	ZNF16			
		TMEM41A		MKRN1		C4BPA	MPP1	PSCA			
		TMEM44		POT1		C4BPB	MTCP1	FZD6			
		CAMK2N2		CNTNAP2		CACNA1E	MTM1	LY6D			
		TM4SF19		TES		CACNA1S	OCRL	GPAA1			
		RPL39L		GIMAP2		CASQ1	PAK3	RIPK2			
		DNAJC19		OR2F1		CD1A	PLP1	CPNE3			
		FAM131A		SLC13A4		CD1B	PLS3	FOXH1			
		ZDHHC19		TPK1		CD1C	PLXNB3	TRPA1			
		LRRC15		SND1		CD1D	PRPS1	CCNE2			
		FAM43A		DENND2A		CD1E	PSMD10	EBAG9			
		TMEM207		ZNF777		CD247	OPN1LW	MSC			
		RTP1		TMEM176B		CD5L	RENBP	KCNB2			
		TTC14		HIPK2		CD34	RPL10	RECQL4			
		WDR49		WDR91		CD48	RPL39	LRRC14			
		LRRC34		REPIN1		CHI3L1	RPL36A	EMC2			
		MB21D2		HILPDA		CHIT1	SLC6A8	MTSS1			
		XXYLT1		MDFIC		CHRNB2	SMARCA1	ZNF623			
		CCDC50		FSCN3		CKS1B|ENSG00000173207.8	SOX3	KIAA0196			
		PYDC2		ATP6V0A4		CLK2	SSR4	HHLA1			
		RNF168		TAS2R3		COPA	VAMP7|ENSG00000124333.10	TRIB1			
		HTR3C		TAS2R4		CR1	TAZ	HRSP12			
		LIPH		TAS2R16		CR1L	SERPINA7	NDRG1			
		HTR3D		CPA4		CR2	TRPC5	CPQ			
		RPL22L1		WNT16		CRABP2	UBE2A	NCOA2			
		SLC51A		PRKAG2		CRP	VBP1	KHDRBS3			
		FBXO45		ZC3HC1		CSRP1	XPNPEP2	POP1			
		MUC20		MRPS33		CTSE	ZIC3	WWP1			
		SENP5		NUB1		CTSK	ZNF75D	STMN2			
		NAALADL2		GPR85		CTSS	RNF113A	ZHX1			
		TCTEX1D2		TAS2R5		CD55	ZNF185	PUF60			
		SMCO1		CHPF2		DHX9	F8A1	ZHX2			
		UTS2B		ING3		DPT	UBL4A	DENND3			
		HTR3E		LRRN3		ECM1	TMEM187	ZC3H3			
		C3orf70		NCAPG2		EIF2D	SLC10A3	EFR3A			
		TPRG1		CHCHD3		EFNA1	TKTL1	SULF1			
		CCDC39		WDR60		EFNA3	CUL4B	BOP1			
		LRRIQ4		RBM28		EFNA4	IRS4	ZFPM2			
		SAMD7		TMEM140		ELF3	IKBKG	HEY1			
		RTP2		GIMAP4		ELK4	MTMR1	TRAM1			
		OSTN		GIMAP5		ENSA	APLN	SCRIB			
		ATP13A5		TMEM176A		ETV3	FAM127A	LRRC6			
		WDR53		TRPV6		F13B	SLC25A14	LY96			
		ANKRD18DP		METTL2B		FCER1A	CLDN2	RAD54B			
		NRROS		TRPV5		FCER1G	FAM50A	DCAF13			
		TMEM212		ANKRD7		FCGR1A	AIFM1	RNF19A			
		LINC00885		ZC3HAV1		FCGR2A	TMEM257	KIAA1429			
		C3orf65		AKR1B10		FCGR2B	GPR50	RGS22			
		GMNC		ACTR3B		FCGR3A	TCEAL1	FBXL6			
		MIR551B		KIAA1147		FCGR3B	RAB33A	OPLAH			
		MIR570		STRIP2		FDPS	ARHGEF6	PABPC1			
		MIR922		ESYT2		FLG	MORF4L2	KCNV1			
		MIR1263		ZNF398		FMO1	GPRASP1	STAU2			
		MIR4448		KIAA1549		FMO2	ARMCX2	MTBP			
				KMT2C		FMO3	MAGEC1	AGO2			
				EXOC4		FMO4	AMMECR1	MRPS28			
				GALNT11		FMO5	ZBTB33	COMMD5			
				LRRC4		FMOD	MAMLD1	MRPL13			
				LMBR1		NR5A2	BCAP31	ATAD2			
				NOM1		DARC	TENM1	CPSF1			
				CCDC136		GBA	SPRY3|ENSG00000168939.6	LRP12			
				PARP12		GJA5	SLC9A6	RRM2B			
				CREB3L2		GJA8	ENOX2	CYHR1			
				LRRC61		GLUL	STAG2	ASAP1			
				C7orf49		GPR25	PLAC1	MTERFD1			
				GCC1		HDGF	UTP14A	PI15			
				ZNF767		CFH	ZNF275	FAM135B			
				CPED1		CFHR1	PGRMC1	ZC2HC1A			
				TTC26		CFHR2	TMSB15A	PHF20L1			
				JHDM1D		MR1	TREX2	LACTB2			
				TMUB1		HSPA6	SLC6A14	RMDN1			
				IMMP2L		IFI16	SEPT6	ZNF706			
				CTTNBP2		IL6R	ATP1B4	VPS28			
				SLC37A3		IL10	KCNE1L	FAM203A			
				KRBA1		ILF2	LDOC1	KCNK9			
				FAM71F1		INSRR	FAM127B	THEM6			
				SLC35B4		IVL	IL1RAPL2	UBR5			
				TMEM209		KCNJ10	SRPK3	FAM49B			
				ADCK2		KCNN3	NGFRAP1	AZIN1			
				PLXNA4		KISS1	NOX1	OTUD6B			
				ZC3HAV1L		LAD1	SRPX2	CHRAC1			
				CADPS2		LAMC1	RBMX	GDAP1			
				CPA5		LAMC2	HTATSF1	EXOSC4			
				FOXP2		LMNA	C1GALT1C1	PDP1			
				CEP41		LMX1A	RPA4	CNGB3			
				ZBED6CL		LOR	PNMA3	ESRP1			
				TSGA13		LY9	CTAG2	TMEM70			
				AGAP3		MCL1	NSDHL	TRMT12			
				C7orf13		CD46	ZDHHC9	OXR1			
				OR9A4		SMCP	WBP5	WDYHV1			
				OR9A2		MDM4	RAB9B	UBE2W			
				C7orf34		MEF2D	LUZP4	TMEM55A			
				TMEM139		MGST3	TFDP3	SLC39A4			
				NOBOX		MNDA	ARMCX1	SYBU			
				OR2A14		MPZ	MAGEC2	INTS8			
				OR6B1		MTX1	VGLL1	PAG1			
				OR2F2		MUC1	ARMCX3	GSDMC			
				ZNF786		MYBPH	RBMX2	JPH1			
				PRSS37		MYOC	MST4	ENY2			
				KLF14		MYOG	SASH3	SLURP1			
				SSMEM1		PPP1R12B	TAF7L	SLC45A4			
				SVOPL		NCF2	ARMCX6	ZFAT			
				MTPN		NDUFS2	WDR44	ZNF250			
				LRGUK		NHLH1	NUP62CL	PRDM14			
				ASB10		NIT1	TBC1D8B	SNX16			
				PRSS58		NOTCH2	CXorf48	NECAB1			
				ASZ1		NPR1	TMEM255A	DEPTOR			
				RNF32		NTRK1	CXorf57	PYCRL			
