gene	Nnon	Nsil	Nflank	nnon	npat	nsite	nsil	nflank	nnei	fMLE	p	score	time	q
CDKN2A	332598	94593	39648	24	23	18	3	0	6	1.413963e+00	4.775755e-10	8.874932e+01	5.334010e-01	1.885999e-07
NCKAP1L	1538791	429597	506800	28	28	24	4	0	20	5.762129e-01	4.856826e-10	9.426496e+01	6.464960e-01	1.885999e-07
OR2AK2	430160	134557	19474	30	27	30	15	0	20	1.068124e+00	5.069586e-10	7.069222e+01	8.706220e-01	1.927604e-07
RYR1	5978991	1734214	1452080	117	95	113	33	0	20	9.497448e-01	5.731123e-10	2.058904e+02	9.825580e-01	2.134668e-07
COL25A1	926950	293379	597324	40	36	38	5	0	2	8.086116e-01	6.213705e-10	1.050170e+02	6.174310e-01	2.268127e-07
LAX1	533668	148041	83482	18	16	16	2	0	20	3.052684e-01	1.506181e-09	5.664286e+01	5.753440e-01	5.303096e-07
COL5A1	2054708	662589	1063804	48	39	44	12	0	10	7.163131e-01	1.510936e-09	1.178877e+02	5.827570e-01	5.303096e-07
SVEP1	4198642	1154632	501550	67	61	66	10	0	20	8.699674e-01	1.767609e-09	1.567745e+02	1.324635e+00	6.086912e-07
SPTA1	3330988	858631	882252	195	142	177	47	0	0	3.871195e+00	1.902368e-09	2.897447e+02	1.003190e+00	6.429652e-07
CNKSR2	1383232	369440	315742	30	28	29	5	0	6	5.020535e-01	2.193261e-09	8.784992e+01	5.627190e-01	7.278037e-07
ANTXR1	708621	201498	320712	20	20	20	3	0	20	7.575364e-01	2.325729e-09	7.525312e+01	7.276250e-01	7.579799e-07
FCRL4	685790	206086	196896	21	21	19	3	0	16	7.773394e-01	2.822377e-09	7.623166e+01	8.868550e-01	9.031436e-07
FHOD3	1822403	529192	354774	34	33	31	8	0	20	8.314589e-01	2.870107e-09	1.086801e+02	5.231250e-01	9.031436e-07
OGDHL	1311177	377465	294700	35	32	35	9	0	14	7.301323e-01	2.961831e-09	9.511637e+01	1.656945e+00	9.162098e-07
FRZB	402828	112488	92134	12	12	11	1	0	20	4.643321e-01	3.175666e-09	5.555116e+01	5.309510e-01	9.659848e-07
OR10J3	423939	130616	23282	24	24	24	8	0	20	1.110159e+00	3.411711e-09	6.602711e+01	6.362330e-01	1.020773e-06
SEMA5A	1443871	404741	327152	60	51	58	19	0	15	1.966249e+00	4.259454e-09	1.420180e+02	9.764760e-01	1.253860e-06
BTK	972892	252759	331128	26	21	25	2	0	13	5.426363e-01	5.472587e-09	7.712380e+01	4.987640e-01	1.585400e-06
SPEG	2836410	950509	579698	57	49	55	18	0	12	7.669478e-01	6.499765e-09	1.382697e+02	7.909760e-01	1.853550e-06
LRRC7	2065672	565392	417172	96	82	92	21	2	3	2.823287e+00	6.661290e-09	2.033965e+02	7.039300e-01	1.870388e-06
SYNE2	9459358	2366345	1812958	78	67	72	11	1	13	4.524734e-01	9.944937e-09	1.671735e+02	1.111266e+00	2.750076e-06
OR5M3	399307	113191	15610	20	20	18	5	0	20	9.038840e-01	1.096807e-08	5.941705e+01	6.031240e-01	2.987736e-06
COL3A1	1731474	588052	688842	76	63	70	14	0	0	1.572135e+00	1.161662e-08	1.601655e+02	5.724340e-01	3.117866e-06
VWC2	137400	36032	32676	15	14	14	2	0	20	2.188131e+00	1.193265e-08	5.665349e+01	9.237230e-01	3.156273e-06
OR2T27	357309	109138	16394	22	22	19	5	0	20	1.579090e+00	1.266528e-08	6.876017e+01	7.640870e-01	3.302200e-06
TG	3993322	1162704	874538	91	75	88	18	0	7	1.113121e+00	1.315289e-08	1.798541e+02	9.550810e-01	3.381033e-06
VPS13C	5040997	1356656	1258880	41	39	38	3	0	1	1.889257e-01	1.530843e-08	1.248514e+02	9.260580e-01	3.880474e-06
IL1RAPL1	910402	244174	152670	29	29	26	3	0	14	1.082710e+00	1.672259e-08	8.554839e+01	7.352470e-01	4.180876e-06
CDH10	1048446	301233	180124	115	95	111	22	0	1	5.998799e+00	1.732903e-08	2.105407e+02	5.925860e-01	4.273947e-06
FAM71A	766131	235841	16562	20	20	17	0	0	20	6.258787e-01	1.801682e-08	6.914462e+01	4.925000e-01	4.384333e-06
OR2W3	397450	131742	16828	47	43	42	19	0	20	4.693320e+00	1.841908e-08	1.071068e+02	5.568060e-01	4.423246e-06
RYR2	6065730	1635972	1119314	376	219	351	106	1	4	4.741094e+00	2.199660e-08	3.767238e+02	8.394290e-01	5.213765e-06
FBN2	3946571	1004504	1040284	114	93	107	21	2	2	1.487213e+00	2.266945e-08	2.085377e+02	5.033000e-01	5.263016e-06
IL18RAP	809706	221287	166754	23	23	22	6	0	14	8.329387e-01	2.278112e-08	7.415823e+01	6.753570e-01	5.263016e-06
MRGPRF	130280	38735	24276	8	8	8	2	0	8	5.578857e-01	2.586780e-08	4.353057e+01	5.033170e-01	5.901415e-06
ZSWIM2	855673	217430	133784	31	29	31	4	0	20	1.307460e+00	2.939246e-08	8.525603e+01	5.721560e-01	6.622737e-06
VEGFC	539805	139005	98742	22	22	21	4	0	6	7.097761e-01	3.044222e-08	6.511294e+01	1.436154e+00	6.775621e-06
OR4C3	423967	131179	20286	21	21	18	3	0	8	1.291832e+00	3.087665e-08	6.679321e+01	9.988100e-01	6.789515e-06
OR6F1	394128	126675	18956	32	29	29	11	0	20	2.771853e+00	4.411216e-08	8.255944e+01	5.603760e-01	9.584417e-06
LCE1F	154234	44477	21378	12	12	11	2	0	20	1.326899e+00	5.069728e-08	4.814290e+01	4.994340e-01	1.088560e-05
CTCFL	886691	228295	179830	22	21	21	4	0	20	7.631994e-01	5.275416e-08	7.468984e+01	5.516770e-01	1.119554e-05
NAV3	3136809	914959	658812	146	115	140	22	0	7	2.539578e+00	5.373380e-08	2.137686e+02	5.263210e-01	1.127236e-05
OR2G6	407049	127238	17612	35	31	35	12	0	20	2.869827e+00	5.532651e-08	8.501043e+01	8.320520e-01	1.147459e-05
LDB2	510669	134557	134918	23	21	22	1	0	7	9.650799e-01	6.924861e-08	7.193462e+01	9.675850e-01	1.420063e-05
ELTD1	914477	244510	205548	40	36	39	4	0	15	2.128672e+00	8.119602e-08	1.035825e+02	5.132850e-01	1.646565e-05
TCF23	193476	67504	37310	11	11	11	3	0	20	5.204222e-01	8.281632e-08	4.075508e+01	1.080516e+00	1.659063e-05
FRMPD1	2062244	615191	244090	40	40	37	11	0	16	8.275830e-01	8.363036e-08	1.075863e+02	7.144150e-01	1.659063e-05
F8	3313255	896831	453880	59	52	56	14	0	20	9.691234e-01	8.657117e-08	1.346904e+02	6.132410e-01	1.698936e-05
CACNA1E	2770905	794651	673022	121	92	112	30	0	8	2.224623e+00	8.913862e-08	1.936317e+02	5.048460e-01	1.704306e-05
TPTE	768663	205551	390446	69	63	63	18	1	0	4.571158e+00	8.916340e-08	1.603500e+02	6.136560e-01	1.704306e-05
COL1A2	1639201	578904	807590	41	38	41	7	0	10	1.035952e+00	8.964626e-08	1.082033e+02	8.263490e-01	1.704306e-05
OLFM4	676219	193672	82152	28	28	26	5	0	20	1.307931e+00	9.298368e-08	7.602588e+01	5.760560e-01	1.749531e-05
SETD2	2779267	744311	304850	43	36	42	2	0	7	9.571752e-01	9.444442e-08	1.399760e+02	9.452160e-01	1.758883e-05
OR4Q3	405923	121045	18018	30	29	29	9	0	20	2.174752e+00	9.628202e-08	7.264960e+01	5.663230e-01	1.774993e-05
MXRA5	3385359	1027957	63140	107	86	102	29	0	14	1.539561e+00	1.027624e-07	1.709625e+02	5.309500e-01	1.875517e-05
FAM47B	820098	251437	10794	61	53	56	13	0	20	3.229279e+00	1.120077e-07	1.261524e+02	5.590180e-01	2.024013e-05
OR10Z1	400321	127801	20342	27	26	26	12	0	20	2.166581e+00	1.231398e-07	7.162758e+01	6.512270e-01	2.203357e-05
DAB1	743216	207184	545146	36	32	34	8	0	1	1.544659e+00	1.247816e-07	8.970477e+01	4.997660e-01	2.211058e-05
EPHB6	1397105	451411	246512	54	47	51	14	0	20	1.502646e+00	1.278304e-07	1.159530e+02	9.139270e-01	2.243301e-05
DUSP27	1373950	384277	65534	54	44	53	17	0	18	1.362738e+00	1.349124e-07	1.087388e+02	5.719130e-01	2.345034e-05
MYT1	1395665	389086	318178	24	24	24	6	0	20	6.896896e-01	1.495794e-07	8.387237e+01	5.320490e-01	2.575448e-05
COL12A1	4019086	1206593	978670	67	57	64	9	0	20	1.039947e+00	1.589549e-07	1.528205e+02	6.181640e-01	2.711295e-05
OTUD6A	242317	66350	5152	14	14	13	6	0	20	6.403188e-01	1.837867e-07	4.541672e+01	1.010826e+00	3.105825e-05
OR4A15	448767	130644	19894	43	41	39	14	0	10	4.581498e+00	1.882562e-07	1.029681e+02	6.059250e-01	3.152169e-05
OR4S2	377356	107816	16016	27	25	26	10	0	20	2.815870e+00	1.900676e-07	7.799318e+01	9.631550e-01	3.153567e-05
OR8H2	404262	121636	21490	31	27	31	7	0	16	3.472866e+00	1.953056e-07	8.586191e+01	1.069149e+00	3.211282e-05
GNG2	97483	25898	35896	7	7	6	0	0	20	6.327782e-01	2.049241e-07	3.354494e+01	5.316110e-01	3.339349e-05
GLDC	1272722	351651	385812	26	25	26	4	0	10	6.311546e-01	2.176832e-07	8.019149e+01	5.108890e-01	3.515873e-05
ADAMTS2	1260635	365723	257432	43	43	41	5	0	8	1.337996e+00	2.297013e-07	1.099947e+02	7.968570e-01	3.656082e-05
EDIL3	656035	173460	177450	31	30	29	4	0	3	1.503477e+00	2.303706e-07	8.629978e+01	5.103540e-01	3.656082e-05
IGDCC4	1263736	411130	233520	27	26	26	7	0	10	6.743200e-01	2.326145e-07	8.231842e+01	6.891680e-01	3.659868e-05
ASTL	549093	176838	131628	17	17	15	4	0	20	6.270756e-01	2.614322e-07	5.532925e+01	7.116120e-01	4.078119e-05
NALCN	2377098	642411	937454	100	83	96	24	5	9	2.636536e+00	3.056684e-07	1.821617e+02	6.865490e-01	4.727757e-05
ZNF521	1754280	447022	223846	69	54	67	19	0	20	1.902490e+00	3.193882e-07	1.315405e+02	5.543630e-01	4.898449e-05
LCE2D	145338	41662	19376	11	11	11	3	0	20	1.465272e+00	3.312549e-07	4.450759e+01	6.289140e-01	5.038111e-05
KIAA1755	1464021	470920	201432	33	32	32	12	0	20	6.498289e-01	3.406652e-07	8.269503e+01	5.077110e-01	5.051355e-05
ARHGEF6	1065252	283780	359674	22	22	19	3	0	20	5.530557e-01	3.423346e-07	6.560693e+01	6.483070e-01	5.051355e-05
U2AF1	356830	96808	139300	13	13	2	1	1	20	4.929936e-01	3.474210e-07	4.659413e+01	1.069562e+00	5.051355e-05
OR2G2	405979	128364	19810	36	34	33	10	0	6	3.689150e+00	3.474270e-07	9.223133e+01	1.045245e+00	5.051355e-05
KDR	1834002	506053	465556	58	52	54	11	0	6	1.764517e+00	3.486427e-07	1.384046e+02	6.449220e-01	5.051355e-05
GDF10	461986	146977	38094	19	19	19	5	0	20	8.979854e-01	3.487320e-07	5.931786e+01	6.514610e-01	5.051355e-05
ATP1B4	490936	126112	134512	15	15	13	3	0	20	5.702654e-01	3.552619e-07	5.092957e+01	4.968860e-01	5.105421e-05
HCK	632980	175121	173712	17	17	16	4	0	20	5.969687e-01	3.661662e-07	5.616840e+01	5.392720e-01	5.221015e-05
SATB2	906486	253913	140854	37	35	36	4	0	17	1.787074e+00	3.718861e-07	9.898134e+01	1.005059e+00	5.261468e-05
ACTC1	501154	146380	96978	17	17	17	3	0	20	5.671621e-01	4.174382e-07	5.049307e+01	1.067045e+00	5.860512e-05
VCAN	4449162	1301768	220388	105	80	103	16	0	20	1.410023e+00	4.570848e-07	1.787950e+02	8.581490e-01	6.368133e-05
LRRN2	888190	307314	15960	27	25	24	4	0	20	8.143254e-01	5.440962e-07	7.181814e+01	6.926370e-01	7.522954e-05
SLC32A1	657780	207268	24766	22	21	20	3	0	20	7.735813e-01	5.629254e-07	6.487002e+01	7.423030e-01	7.724775e-05
COL4A5	2059118	703075	752010	51	45	51	11	0	1	9.205267e-01	5.737795e-07	1.226563e+02	7.383030e-01	7.814962e-05
TMPRSS15	1349847	360967	363860	43	43	43	8	0	10	1.752751e+00	6.713006e-07	1.126368e+02	9.981970e-01	9.075487e-05
C10orf71	890084	257941	8036	25	24	24	2	0	20	8.402136e-01	6.832127e-07	6.846715e+01	5.512730e-01	9.151927e-05
DACT1	894865	273310	55986	26	24	24	7	0	20	7.769667e-01	6.902313e-07	6.970808e+01	4.883290e-01	9.151927e-05
KCNK2	581016	173967	150878	31	30	30	7	0	20	2.173808e+00	6.919982e-07	8.259729e+01	5.370480e-01	9.151927e-05
OR5B3	409892	119356	19866	17	17	16	6	0	20	1.205221e+00	7.596133e-07	5.548657e+01	5.410660e-01	9.973886e-05
ADAM23	1058185	268072	391706	26	26	26	4	0	20	1.345259e+00	9.100266e-07	8.661631e+01	8.424650e-01	1.186350e-04
ASCL3	236544	70375	19572	8	8	8	1	0	20	6.890053e-01	9.439898e-07	4.076886e+01	7.598690e-01	1.221898e-04
OR14I1	400265	125549	16576	25	20	22	10	0	20	1.579090e+00	9.721219e-07	6.012808e+01	6.838930e-01	1.249450e-04
TGFBR3	1110407	319672	243348	20	19	19	3	0	20	7.706109e-01	9.963095e-07	7.061922e+01	1.029894e+00	1.265259e-04
FCN2	406287	122283	119238	13	13	13	1	0	20	4.337830e-01	9.982864e-07	4.306369e+01	8.323490e-01	1.265259e-04
SPATA18	720867	199190	204148	26	25	25	2	0	20	1.166635e+00	1.012514e-06	7.123734e+01	9.587040e-01	1.274441e-04
B2M	161637	45040	53088	9	8	8	1	0	20	1.044619e+00	1.065418e-06	3.906891e+01	4.920300e-01	1.331846e-04
PDE6A	1188717	296757	367276	19	18	17	2	0	20	4.556313e-01	1.087532e-06	6.099909e+01	7.827560e-01	1.350241e-04
FGB	630504	159301	108136	20	20	17	3	0	20	1.217517e+00	1.147247e-06	6.539569e+01	5.035150e-01	1.414757e-04
COL22A1	1890333	633686	981568	86	69	79	22	0	11	2.826542e+00	1.271021e-06	1.694768e+02	7.599580e-01	1.538558e-04
LTBP2	2121667	626507	482580	33	32	30	6	0	20	6.449189e-01	1.272987e-06	9.328661e+01	6.992780e-01	1.538558e-04
LPHN3	1524349	432384	356706	80	70	77	19	0	13	3.326829e+00	1.273424e-06	1.567212e+02	5.765100e-01	1.538558e-04
NLRP10	865359	242090	31682	33	30	33	12	0	20	1.694238e+00	1.281359e-06	8.563449e+01	6.744060e-01	1.538558e-04
MAGEA11	571557	161581	78260	17	16	15	4	0	20	8.757931e-01	1.295293e-06	5.530013e+01	5.726870e-01	1.542432e-04
OR5M11	392918	119356	16842	16	15	14	5	0	20	9.031042e-01	1.301487e-06	4.887553e+01	7.295670e-01	1.542432e-04
HDAC9	1280940	365782	291074	52	46	51	20	1	6	2.106867e+00	1.371381e-06	1.238286e+02	5.104680e-01	1.614779e-04
FRMPD4	1736603	507179	269696	41	39	39	10	0	20	1.212775e+00	1.418085e-06	1.059338e+02	7.500640e-01	1.659068e-04
POTEF	1057877	282063	99722	32	29	30	14	0	20	1.275825e+00	1.493209e-06	8.389294e+01	7.869850e-01	1.735831e-04
SLC30A10	433513	127014	61460	18	17	18	3	0	6	1.087564e+00	1.543501e-06	5.785151e+01	8.611270e-01	1.782939e-04
ZSCAN4	582198	153699	46312	22	22	21	4	0	19	1.269707e+00	1.692026e-06	6.365337e+01	5.561480e-01	1.942212e-04
KIAA1109	6702537	1868342	1239546	70	63	66	15	0	10	7.429952e-01	1.709157e-06	1.628275e+02	5.773420e-01	1.949614e-04
OR6N1	400293	125549	19152	22	21	21	8	0	20	1.576533e+00	1.761398e-06	5.938662e+01	9.760550e-01	1.993251e-04
PDE1A	772069	201047	301700	17	17	17	2	0	8	7.264116e-01	1.769255e-06	6.503707e+01	8.219190e-01	1.993251e-04
OR6N2	411018	123297	19334	23	21	22	6	0	20	1.576533e+00	1.846360e-06	5.915975e+01	6.957830e-01	2.067357e-04
CD1A	441392	122734	106764	23	17	22	2	0	20	1.471034e+00	1.920490e-06	6.135944e+01	5.959780e-01	2.137247e-04
OR4E2	403671	123297	16632	15	15	12	4	0	20	8.057585e-01	1.940457e-06	4.683536e+01	6.392970e-01	2.143598e-04
LGR6	1220444	403052	450926	22	22	22	6	0	20	5.002503e-01	1.949687e-06	6.513849e+01	6.768160e-01	2.143598e-04
F9	627829	164987	125244	20	18	20	5	0	20	7.354740e-01	1.997171e-06	5.364757e+01	7.995720e-01	2.175129e-04
NBPF1	1456012	373462	580328	32	30	28	3	0	0	4.510090e-01	2.002201e-06	1.022517e+02	6.093850e-01	2.175129e-04
MED12	2526454	735931	551278	49	41	48	12	0	11	7.255801e-01	2.081741e-06	1.074299e+02	5.264150e-01	2.248157e-04
TMCO2	242118	68123	35756	7	7	7	0	0	20	3.980853e-01	2.117576e-06	3.322051e+01	6.557030e-01	2.273405e-04
CDX4	342307	100609	39886	17	17	17	6	0	20	1.334367e+00	2.442120e-06	5.559130e+01	6.518070e-01	2.606499e-04
SAMD9L	2127294	543914	16940	38	37	36	11	0	20	1.175825e+00	2.541263e-06	1.056017e+02	1.168583e+00	2.696545e-04
NPY2R	494877	148604	17332	22	22	18	9	0	20	1.623065e+00	2.683031e-06	6.377017e+01	1.104870e+00	2.830520e-04
TBX15	646436	184101	103600	25	22	24	6	0	18	1.222521e+00	2.759713e-06	6.434182e+01	8.505250e-01	2.894685e-04
PASD1	962422	257770	235998	31	29	28	8	0	11	1.209041e+00	2.824420e-06	7.887530e+01	7.372060e-01	2.945628e-04
OR4D9	403136	126675	17934	16	16	16	5	0	20	1.348659e+00	2.851620e-06	5.444967e+01	7.986110e-01	2.957098e-04
ACAN	2428708	811840	147924	48	47	46	16	0	13	8.945414e-01	2.900753e-06	1.092556e+02	9.181040e-01	2.991053e-04
TLR4	1111981	306300	47670	64	60	64	17	0	1	3.298211e+00	2.952013e-06	1.407420e+02	6.134640e-01	3.026809e-04
P2RX5	513817	143817	155526	12	12	12	0	0	20	5.880018e-01	3.121555e-06	4.731173e+01	7.809930e-01	3.182765e-04
GJA8	541270	165410	17682	18	18	18	5	0	20	8.981915e-01	3.233022e-06	5.564721e+01	7.044550e-01	3.278105e-04
PCDH8	706590	236684	37646	31	27	30	6	0	20	1.247687e+00	3.302123e-06	7.561885e+01	1.040510e+00	3.329672e-04
NELL1	1115978	285469	327978	54	50	50	10	0	4	2.526041e+00	3.440994e-06	1.234409e+02	5.467920e-01	3.441992e-04
SLC9A4	1063986	303429	198548	30	30	30	9	0	19	1.218092e+00	3.451233e-06	7.880770e+01	9.563910e-01	3.441992e-04
KCNB2	1196487	342895	49000	47	44	45	13	0	20	1.770298e+00	3.546761e-06	9.810151e+01	7.259100e-01	3.518040e-04
MYO3A	2197868	571417	473172	43	39	43	9	1	5	9.041084e-01	3.736266e-06	1.063184e+02	5.868300e-01	3.685977e-04
OR2F2	403699	130644	19110	19	17	18	6	0	20	1.805434e+00	3.809480e-06	6.030422e+01	1.041843e+00	3.738001e-04
OR1A1	398632	122171	18886	14	13	14	2	0	20	1.191737e+00	3.831437e-06	5.091554e+01	1.282259e+00	3.739442e-04
OR6Q1	406514	127829	19950	15	14	15	5	0	20	9.018859e-01	3.883884e-06	4.686112e+01	1.114139e+00	3.770466e-04
AQP10	381854	132361	92302	12	12	10	2	0	20	7.034376e-01	4.018644e-06	4.353941e+01	7.831080e-01	3.860452e-04
USP26	1221794	315308	18970	24	22	24	2	0	20	7.239824e-01	4.018880e-06	6.628430e+01	9.396230e-01	3.860452e-04
MAGEB4	417581	123636	14616	20	19	19	3	0	20	1.610458e+00	4.073661e-06	5.960069e+01	5.676590e-01	3.874805e-04
FCRLA	490880	153136	90216	16	16	14	5	0	13	1.351720e+00	4.076284e-06	6.120720e+01	6.482300e-01	3.874805e-04
OR4K2	411046	119384	17346	23	23	22	7	0	20	2.128235e+00	4.231747e-06	6.269079e+01	9.535010e-01	4.001742e-04
PSG11	441927	131714	117166	29	26	24	6	0	5	3.027548e+00	4.306220e-06	8.111235e+01	1.272512e+00	4.051176e-04
CCDC7	639176	153052	226590	13	13	13	0	0	11	5.635866e-01	4.394785e-06	4.922464e+01	9.420760e-01	4.113293e-04
AOAH	825903	198086	325192	16	16	16	2	3	20	5.865463e-01	4.459352e-06	5.369601e+01	7.859470e-01	4.152430e-04
ATP2B3	1466612	441560	290094	29	28	28	8	0	20	8.258528e-01	4.540208e-06	8.315235e+01	5.014510e-01	4.206260e-04
RGS7	684832	170054	323792	34	31	33	2	0	0	5.807045e-01	4.708381e-06	9.218584e+01	1.428607e+00	4.340033e-04
RIT1	297320	82761	81396	11	11	9	1	0	20	1.023744e+00	4.756636e-06	4.463719e+01	1.068258e+00	4.362480e-04
ARID2	2394271	717797	308518	34	31	30	6	0	5	1.051006e+00	4.797536e-06	1.208447e+02	6.608120e-01	4.377991e-04
F13A1	989894	274209	250600	32	31	29	14	0	20	1.388630e+00	4.956130e-06	8.151161e+01	7.696380e-01	4.500215e-04
HOXA3	479620	154234	35308	19	19	16	13	0	20	1.842528e+00	5.054766e-06	7.016814e+01	7.179610e-01	4.553374e-04
NMUR2	547827	159892	66346	23	22	22	7	0	20	1.673784e+00	5.064572e-06	6.643045e+01	5.595990e-01	4.553374e-04
CCDC39	942101	226074	159460	25	24	24	3	0	12	1.237804e+00	5.131617e-06	7.464247e+01	7.279730e-01	4.591036e-04
DOCK9	2345187	614264	701050	22	21	21	2	0	7	1.523670e-01	5.417432e-06	6.513981e+01	6.758210e-01	4.811505e-04
CCDC73	1526399	356096	266056	21	21	21	3	1	20	5.546876e-01	5.430771e-06	6.497766e+01	7.325340e-01	4.811505e-04
