rank	gene	longname	codelen	nnei	nncd	nsil	nmis	nstp	nspl	nind	nnon	npat	nsite	pCV	pCL	pFN	p	q
78	DDX5	DEAD (Asp-Glu-Ala-Asp) box polypeptide 5	1893	43	0	0	3	0	0	2	5	5	4	6.857339e-03	1.990000e-02	1.591000e-01	5.660838e-04	1.324709e-01
79	SCN4A	sodium channel, voltage-gated, type IV, alpha subunit	5605	70	0	2	5	1	1	0	7	6	7	5.739067e-05	1	9.090000e-01	6.178466e-04	1.427539e-01
80	CCDC135	coiled-coil domain containing 135	2693	34	0	1	6	0	0	1	7	7	7	1.555577e-04	1	3.120000e-01	6.346303e-04	1.447988e-01
81	MYOCD	myocardin	3025	31	0	2	8	1	0	0	9	9	8	6.329689e-04	1.830000e-01	4.320000e-01	7.300557e-04	1.645149e-01
82	TMEM184A	transmembrane protein 184A	1272	204	0	0	0	0	0	3	3	3	1	7.127715e-02	1.000000e-03	9.984200e-01	7.518980e-04	1.673707e-01
83	KTELC1	KTEL (Lys-Tyr-Glu-Leu) containing 1	1221	369	0	0	1	4	0	0	5	5	4	6.199750e-04	1.070000e-01	9.990000e-01	7.933987e-04	1.736967e-01
84	GPR133	G protein-coupled receptor 133	2721	15	0	2	3	0	1	0	4	4	3	1.030598e-02	2.450000e-02	2.538000e-01	7.993493e-04	1.736967e-01
85	CDH3	cadherin 3, type 1, P-cadherin (placental)	2550	7	0	0	1	0	0	2	3	3	2	1.738591e-02	4.200000e-03	7.997000e-01	8.180243e-04	1.741914e-01
86	SLC25A5	solute carrier family 25 (mitochondrial carrier; adenine nucleotide translocator), member 5	909	8	0	0	3	0	0	1	4	4	3	6.827907e-04	1.140000e-01	8.100000e-01	8.207122e-04	1.741914e-01
87	LAMA4	laminin, alpha 4	5788	30	1	1	4	0	0	0	4	4	3	1.100539e-02	7.200000e-03	8.663000e-01	8.792701e-04	1.844749e-01
88	NKD2	naked cuticle homolog 2 (Drosophila)	1394	1000	0	0	1	0	0	3	4	4	3	5.045811e-02	5.780000e-02	4.900000e-03	9.829126e-04	1.989862e-01
89	WRN	Werner syndrome	4435	38	0	2	4	0	0	3	7	5	5	4.576561e-01	1.500000e-04	6.740400e-01	9.851086e-04	1.989862e-01
90	PHF3	PHD finger protein 3	6178	19	0	2	6	1	0	1	8	8	8	9.669323e-05	1	7.730000e-01	9.905223e-04	1.989862e-01
91	AGBL1	ATP/GTP binding protein-like 1	3293	27	0	1	2	1	1	1	5	5	4	3.124441e-02	4.510000e-02	7.800000e-03	9.920421e-04	1.989862e-01
92	ZNF148	zinc finger protein 148	2409	10	0	0	2	0	0	2	4	4	4	1.807199e-03	1	3.400000e-02	1.032108e-03	2.047725e-01
93	ZNF799	zinc finger protein 799	1944	16	0	1	4	1	0	0	5	4	5	1.052125e-04	1	9.190000e-01	1.068909e-03	2.097936e-01
94	VSIG4	V-set and immunoglobulin domain containing 4	1230	102	0	0	5	0	1	0	6	6	6	1.102041e-04	1	5.730000e-01	1.114514e-03	2.164173e-01
95	TPX2	TPX2, microtubule-associated, homolog (Xenopus laevis)	2308	39	0	0	2	1	2	0	5	5	5	2.743208e-04	1	2.910000e-01	1.170010e-03	2.248020e-01
96	MAST2	microtubule associated serine/threonine kinase 2	5511	1	0	1	3	2	0	0	5	5	5	1.464889e-02	9.700000e-03	5.537000e-01	1.191221e-03	2.264934e-01
97	SELE	selectin E (endothelial adhesion molecule 1)	1885	113	0	1	6	0	0	0	6	6	5	1.094098e-03	7.600000e-02	7.450000e-01	1.216398e-03	2.288961e-01
98	HTR3A	5-hydroxytryptamine (serotonin) receptor 3A	1605	10	0	0	7	0	0	0	7	7	6	1.802368e-03	5.400000e-02	2.610000e-01	1.323395e-03	2.464891e-01
99	TRIM13	tripartite motif-containing 13	1237	103	0	0	4	0	1	0	5	4	5	9.678409e-04	1	1.320000e-01	1.342316e-03	2.465125e-01
100	TGFBI	transforming growth factor, beta-induced, 68kDa	2116	35	0	0	5	0	0	0	5	5	5	1.033488e-03	1	1.040000e-01	1.350531e-03	2.465125e-01
101	STAG2	stromal antigen 2	3939	22	0	1	2	1	3	0	6	4	6	6.730992e-04	1	1.270000e-01	1.430064e-03	2.567873e-01
102	DNAH7	dynein, axonemal, heavy chain 7	12333	21	0	3	11	0	3	0	14	11	14	7.612514e-04	1	7.400000e-02	1.436873e-03	2.567873e-01
103	AMPD1	adenosine monophosphate deaminase 1 (isoform M)	2407	33	0	1	5	0	0	0	5	4	5	1.239809e-02	1.190000e-02	9.758000e-01	1.449027e-03	2.567873e-01
104	ANO9	anoctamin 9	2439	92	0	1	4	1	0	1	6	6	5	7.117613e-03	4.300000e-02	2.970000e-01	1.466063e-03	2.573081e-01
105	NKPD1	NTPase, KAP family P-loop domain containing 1	2511	515	0	0	0	0	0	3	3	3	2	1.587743e-02	7.700000e-03	5.321000e-01	1.492049e-03	2.586711e-01
106	ZCCHC12	zinc finger, CCHC domain containing 12	1209	35	0	1	7	0	0	0	7	7	5	1.089188e-02	1.630000e-02	5.547000e-01	1.502171e-03	2.586711e-01
107	ZMYM2	zinc finger, MYM-type 2	4226	22	0	0	5	1	0	2	8	7	8	2.601395e-04	1	3.300000e-01	1.556056e-03	2.654456e-01
108	MAX	MYC associated factor X	837	8	1	0	4	0	0	0	4	4	2	4.701160e-02	3.500000e-03	4.664000e-01	1.598076e-03	2.700897e-01
109	F2RL1	coagulation factor II (thrombin) receptor-like 1	1198	358	0	0	4	0	0	0	4	4	3	3.565791e-03	2.470000e-01	1.430000e-01	1.717303e-03	2.875774e-01
110	EDAR	ectodysplasin A receptor	1391	28	0	2	5	0	1	0	6	6	6	5.170071e-04	1	2.000000e-01	1.775865e-03	2.946805e-01
111	MYH8	myosin, heavy chain 8, skeletal muscle, perinatal	5966	15	0	2	13	1	1	0	15	14	15	1.034280e-02	1	2.500000e-03	1.891355e-03	3.110171e-01
112	SON	SON DNA binding protein	7584	2	0	0	6	1	1	0	8	8	7	9.760909e-03	1.640000e-02	2.647000e-01	1.929197e-03	3.144074e-01
113	RANBP2	RAN binding protein 2	9787	21	0	2	10	0	2	0	12	11	12	1.489632e-03	1	8.700000e-02	2.013896e-03	3.253065e-01
114	IGSF8	immunoglobulin superfamily, member 8	1866	15	0	0	4	0	0	0	4	4	4	4.388536e-03	1	1.490000e-02	2.064289e-03	3.305216e-01
115	KIAA0664	KIAA0664	4030	0	0	0	4	1	0	2	7	7	7	2.213652e-04	1	5.930000e-01	2.084308e-03	3.308250e-01
116	BAIAP3	BAI1-associated protein 3	3696	14	0	0	2	1	0	1	4	4	4	2.282040e-04	1	9.910000e-01	2.141756e-03	3.370127e-01
117	RINT1	RAD50 interactor 1	2435	23	0	0	5	1	0	0	6	4	6	1.063446e-02	1.800000e-02	7.330000e-01	2.189934e-03	3.416484e-01
118	GLYAT	glycine-N-acyltransferase	913	141	0	0	2	0	2	0	4	4	3	1.006939e-02	2.640000e-01	6.100000e-02	2.254243e-03	3.487009e-01
119	ANO8	anoctamin 8	3767	10	0	0	1	0	1	1	3	3	3	2.476526e-04	1	7.630000e-01	2.304032e-03	3.534075e-01
120	GPR115	G protein-coupled receptor 115	2124	10	0	0	3	1	0	0	4	4	4	2.705053e-04	1	7.670000e-01	2.492766e-03	3.791704e-01
121	SLC6A4	solute carrier family 6 (neurotransmitter transporter, serotonin), member 4	1941	85	0	2	5	1	0	0	6	5	5	3.257130e-03	6.700000e-02	9.120000e-01	2.598153e-03	3.892989e-01
122	NADSYN1	NAD synthetase 1	2201	18	0	0	2	1	1	0	4	3	4	1.520211e-03	1	1.520000e-01	2.617988e-03	3.892989e-01
123	DUSP5	dual specificity phosphatase 5	1167	187	0	0	2	0	0	1	3	3	3	6.365672e-03	1	3.000000e-02	2.623337e-03	3.892989e-01
124	ZNF446	zinc finger protein 446	1377	6	0	0	0	0	0	2	2	2	2	9.538161e-04	1	2.430000e-01	2.659676e-03	3.915085e-01
125	MET	met proto-oncogene (hepatocyte growth factor receptor)	4307	12	0	2	8	1	1	0	10	7	10	1.373586e-03	1	1.200000e-01	2.740132e-03	4.001250e-01
126	PDHA1	pyruvate dehydrogenase (lipoamide) alpha 1	1352	27	0	1	4	1	0	0	5	5	4	1.599580e-02	1.900000e-02	6.610000e-01	2.765293e-03	4.005943e-01
127	RAD9A	RAD9 homolog A (S. pombe)	1218	19	0	0	2	0	0	1	3	3	3	6.415737e-03	1	2.100000e-02	2.797946e-03	4.021331e-01
128	HTT	huntingtin	9693	2	0	2	2	0	2	2	6	5	5	3.333857e-02	9.000000e-03	7.599000e-01	2.841780e-03	4.052215e-01
129	FHOD1	formin homology 2 domain containing 1	3579	29	0	1	4	1	1	1	7	6	7	3.436061e-03	1	5.600000e-02	2.863835e-03	4.052215e-01
130	TCP10L2	t-complex 10-like 2 (mouse)	1089	22	0	1	2	0	0	0	2	2	1	3.214990e-02	1.410000e-02	4.841000e-01	2.907160e-03	4.081876e-01
131	MAP3K12	mitogen-activated protein kinase kinase kinase 12	2638	17	0	1	2	0	1	2	5	5	5	3.266218e-04	1	5.880000e-01	2.948319e-03	4.108067e-01
132	TPTE2	transmembrane phosphoinositide 3-phosphatase and tensin homolog 2	1649	32	0	0	3	0	2	0	5	5	4	8.372642e-03	4.000000e-02	8.290000e-01	3.214774e-03	4.403825e-01
133	CD300LB	CD300 molecule-like family member b	731	11	0	1	3	0	0	0	3	3	2	1.482323e-03	2.180000e-01	4.350000e-01	3.227958e-03	4.403825e-01
134	PFKL	phosphofructokinase, liver	2429	9	0	0	4	1	0	0	5	5	5	2.765789e-03	1	4.600000e-02	3.232962e-03	4.403825e-01
135	OSR2	odd-skipped related 2 (Drosophila)	947	16	0	1	0	0	1	0	1	1	1	3.263154e-03	NaN	NaN	3.263154e-03	4.410135e-01
136	SEC14L4	SEC14-like 4 (S. cerevisiae)	1271	43	0	0	2	1	0	0	3	3	2	1.192582e-02	7.500000e-02	5.400000e-02	3.291375e-03	4.410135e-01
137	ZNF462	zinc finger protein 462	7569	8	0	1	7	1	0	1	9	5	9	3.854099e-02	1.460000e-02	5.929000e-01	3.324127e-03	4.410135e-01
138	PCDHB6	protocadherin beta 6	2385	1	0	0	3	0	0	1	4	4	4	1.500517e-01	1.810000e-02	1.900000e-02	3.334239e-03	4.410135e-01
139	CNOT4	CCR4-NOT transcription complex, subunit 4	2063	168	0	1	4	0	0	0	4	4	3	4.898532e-02	7.800000e-03	5.526000e-01	3.427567e-03	4.500963e-01
140	TTC30B	tetratricopeptide repeat domain 30B	2000	23	0	0	7	0	0	0	7	6	6	5.355898e-03	5.800000e-02	9.610000e-01	3.458947e-03	4.509726e-01
141	DPYS	dihydropyrimidinase	1596	19	0	0	1	1	0	2	4	4	3	5.863388e-02	1.280000e-02	5.078000e-01	3.565378e-03	4.615520e-01
142	AEBP1	AE binding protein 1	3557	19	0	0	3	0	1	1	5	5	5	4.123285e-04	1	5.650000e-01	3.625889e-03	4.660800e-01
143	SLC2A14	solute carrier family 2 (facilitated glucose transporter), member 14	1603	33	0	0	4	0	1	0	5	5	5	4.162040e-04	1	7.080000e-01	3.656076e-03	4.666738e-01
144	CYP11A1	cytochrome P450, family 11, subfamily A, polypeptide 1	1598	84	0	1	2	0	2	0	4	4	4	4.244398e-04	1	5.200000e-01	3.720104e-03	4.715491e-01
145	MAPK15	mitogen-activated protein kinase 15	1689	6	0	0	1	1	0	1	3	3	3	1.822841e-03	1	1.970000e-01	3.807073e-03	4.768672e-01
146	CNKSR2	connector enhancer of kinase suppressor of Ras 2	3196	1	0	0	5	0	2	1	8	5	8	4.158359e-02	3.610000e-02	2.068000e-01	3.878830e-03	4.768672e-01
147	RFX4	regulatory factor X, 4 (influences HLA class II expression)	2477	0	0	2	1	0	2	1	4	4	4	1.591014e-03	1	2.060000e-01	3.919798e-03	4.768672e-01
148	TNFSF14	tumor necrosis factor (ligand) superfamily, member 14	739	8	0	1	4	1	0	0	5	5	5	4.504924e-04	1	6.400000e-01	3.921613e-03	4.768672e-01
149	EMILIN2	elastin microfibril interfacer 2	3190	10	0	0	4	0	0	1	5	5	5	1.216911e-03	1	2.950000e-01	3.938548e-03	4.768672e-01
150	NGEF	neuronal guanine nucleotide exchange factor	2298	13	0	0	6	0	0	0	6	6	6	1.328036e-03	1	2.850000e-01	4.001137e-03	4.768672e-01
151	AR	androgen receptor (dihydrotestosterone receptor; testicular feminization; spinal and bulbar muscular atrophy; Kennedy disease)	2813	14	0	2	6	0	0	0	6	6	5	7.451416e-03	5.400000e-02	9.610000e-01	4.010041e-03	4.768672e-01
152	PACS1	phosphofurin acidic cluster sorting protein 1	2984	4	0	0	2	0	0	1	3	3	3	7.127680e-02	6.300000e-03	9.961000e-01	4.020111e-03	4.768672e-01
153	KLKB1	kallikrein B, plasma (Fletcher factor) 1	1972	23	0	0	5	0	0	0	5	5	5	2.463549e-03	1	1.390000e-01	4.056745e-03	4.768672e-01
154	UGT1A3	UDP glucuronosyltransferase 1 family, polypeptide A3	1621	35	0	0	3	0	0	0	3	2	2	7.483793e-02	6.300000e-03	4.945000e-01	4.082836e-03	4.768672e-01
155	SLC10A7	solute carrier family 10 (sodium/bile acid cotransporter family), member 7	1110	103	0	0	2	0	1	0	3	3	3	1.071243e-01	4.500000e-03	7.964000e-01	4.163761e-03	4.768672e-01
156	MAP3K8	mitogen-activated protein kinase kinase kinase 8	1432	158	0	1	3	0	0	1	4	4	4	1.917735e-02	1	1.240000e-02	4.187636e-03	4.768672e-01
157	SSTR4	somatostatin receptor 4	1171	15	0	0	8	0	0	0	8	7	8	4.852902e-04	1	9.790000e-01	4.188425e-03	4.768672e-01
158	MTMR1	myotubularin related protein 1	2058	12	0	1	4	0	0	0	4	4	4	2.854750e-02	1.700000e-02	7.860000e-01	4.188557e-03	4.768672e-01
159	TYRO3	TYRO3 protein tyrosine kinase	2745	27	0	0	3	0	0	0	3	3	3	1.138689e-02	1	1.520000e-02	4.195522e-03	4.768672e-01
160	DST	dystonin	20488	7	0	3	16	1	0	4	21	11	20	4.028194e-02	4.190000e-02	1.031000e-01	4.204607e-03	4.768672e-01
161	CNOT1	CCR4-NOT transcription complex, subunit 1	7541	0	0	2	11	0	1	2	14	7	14	1.956941e-01	3.760000e-02	4.210000e-02	4.218514e-03	4.768672e-01
