cytoband	9p21.3	1p36.31	4q34.3	2q37.3	11q22.3	3p22.1	16q24.2	14q11.2	11q23.3	6q25.3	19q13.42	19p13.3	22q12.2	2q22.1	2p12	5p15.33	5q35.2	6p12.3	10q21.1	15q13.3	14q24.2	
		RN7SL679P		UGT1A3	ALG9		GINS2	RNASE1	U8|ENSG00000200496.1	SNORA29	ZSCAN5D	MIR1909			RN7SL575P	MIR887	EIF4E1B	DEFB133	RNA5SP318	RN7SL568P	IGHA1	
		MIR1976		SCARNA6|ENSG00000251791.1	ALG9		RN7SL381P	RNASE2	SNORD14C	SNORA20|ENSG00000207392.1	ZSCAN5C	ONECUT3			ANKRD20A8P	U8|ENSG00000202269.1	MIR4281	GLYATL3	MIR605	snoU13|ENSG00000238513.1	IGHG2	
		HMGN2		SCARNA5	RN7SKP273		LINC00311	RNASE3	SNORD14D	RNU4ATAC18P	RFPL4AL1	UQCR11			SLC9B1P2	MIR4637	RN7SL684P	OPN5	RMRPP4	PYGO1	IGHG4	
		RN7SL490P		RN7SL32P	SIK2		TLDC1	RNASE4	SNORD14E	C6orf99	RN7SKP109	RN7SL477P			RNA5SP100	FAM105A	MIR1271	RN7SKP116	RNA5SP317	MIR628	IGHE	
		AIM1L		snoU13|ENSG00000239170.1	RNA5SP350		RNA5SP433	RNASE6	snoU13|ENSG00000239079.1	RN7SL173P	CCDC106	NDUFS7			IGKJ1	CT49	ARL10	ANKRD66	LINC00843	RSL24D1	IGHA2	
		SH3BGRL3		RN7SL359P	SNORD39|ENSG00000264997.1		KCNG4	TEP1	RNU4ATAC5P	MIR3692	TMEM238	C19orf24			IGKJ2	ANKRD33B	RN7SKP148	MIR586	SNORA74|ENSG00000223111.1	ONECUT1	CRIP1	
		ZNF593		CHRND	RNA5SP349		RNA5SP432	PARP2	RNU4ATAC10P	snoU13|ENSG00000252609.1	SYT5	AES			IGKJ3	CMBL	snoU13|ENSG00000239026.1	MIR4642	SNORA74|ENSG00000223182.1	MIR1266	C14orf79	
		SCARNA18|ENSG00000252691.1		ECEL1P2	RNA5SP348		MIR3182	EDDM3A	SC5D	SNORD28|ENSG00000212295.1	snoU13|ENSG00000239137.1	AMH			IGKJ4	FAM173B	NSG2	TCTE1	RNA5SP316	U6|ENSG00000272337.1	LINC00638	
		SCARNA17|ENSG00000252190.1		MIR562	MMP12		RN7SL134P	SUPT16H	TBCEL	TFB1M	KIR3DX1	ATP5D			IGKJ5	RNA5SP177	RNA5SP200	TMEM151B	FAM25D	RN7SL354P	ZBTB42	
		MAN1C1		NPPC	WTAPP1		snoU13|ENSG00000238321.1	SLC39A2	OAF	U8|ENSG00000238963.1	LILRA6	CIRBP			IGKC	SNORD123	SNORA74B	CRISP1	FAM21D	RNA5SP395	C14orf144	
		snoU13|ENSG00000238889.1		MGC4771	snoU13|ENSG00000239154.1		RN7SKP190	ZNF219	THY1	CNKSR3	LENG1	CSNK1G2			ANKRD36BP2	MIR4636	ATP6V0E1	BAI3	PARG	U6|ENSG00000271819.1	RN7SL634P	
		SYF2		RN7SL499P	snoU13|ENSG00000252679.1		7SK|ENSG00000260682.2	OSGEP	MFRP	RNA5SP225	NDUFA3	DAPK3			FOXI3	RNA5SP176	MIR5003	BMP5	C10orf53	RN7SL494P	LINC00637	
		snoU13|ENSG00000238986.1		SNORD82	MIR3920		MIR4720	ARHGEF40	ACA64|ENSG00000252119.1	RNA5SP224	MIR935	EEF2			snoU13|ENSG00000239049.1	RN7SKP79	SNORA57|ENSG00000212529.1	DST	DRGX	RNA5SP394	SNORD51|ENSG00000202275.1	
		RN7SL857P		SNORD20	snoU13|ENSG00000238388.1		GAN	RPGRIP1	HINFP	RNA5SP223	MIR371B	EFNA2			RNY4P15	UBE2QL1	C5orf50	RUNX2	C10orf128	FGF7	APOPT1	
		snoU13|ENSG00000238538.1		SNORA75|ENSG00000206885.1	RN7SKP115		PKD1L2	NDRG2	C2CD2L	snoU13|ENSG00000238939.1	RN7SL317P	GAMT			snoU13|ENSG00000238979.1	RN7SKP73	SNORA70|ENSG00000206909.1	CDC5L	WDFY4	RN7SL307P	SNORA28	
		RN7SL24P		NCL	RN7SL222P		CMC2	CCNB1IP1	MIR3656	RN7SKP268	ZNF813	GNA15			RGPD2	NDUFS6	RN7SL339P	GCLC	ANK3	RN7SL577P	LINC00605	
		RN7SL532P		MIR4777	RN7SKP53		RNA5SP431	EDDM3B	RPS25	RNY4P20	ZNF761	GNG7			PLGLB2	SDHAP3	snoU13|ENSG00000252387.1	GSTA2	CDK1	RN7SKP139	LINC00677	
		MIR3115		RN7SL834P	ACAT1		PIH1	METTL17	RN7SL529P	snoU13|ENSG00000238594.1	FAM90A28P	MKNK2			PLGLB1	MIR4635	RN7SL623P	GSTA3	CHAT	FKSG62	snoU13|ENSG00000238853.1	
		MIR4684		RNY4P19	BIRC2		MON1B	RNASE7	RN7SL688P	RAET1K	FAM90A27P	MATK			SNORA19|ENSG00000251974.1	ZDHHC11B	MIR4454	GSTA4	EGR2	RN7SKP101	RN7SL546P	
		LINC00339		RN7SKP283	BIRC3		SNORD33|ENSG00000252022.1	TMEM55B	BCL9L	SNORA2|ENSG00000202343.1	ZNF321P	GADD45B			U8|ENSG00000202537.1	CCDC127	KCNMB1	HCRTR2	ERCC6	SNORD11|ENSG00000238819.1	snoU13|ENSG00000239061.1	
		RN7SL186P		SNORD112|ENSG00000251801.1	APOA1		AFG3L1P	RNASE11	CXCR5	GINM1	ZNF888	NFIC			MIR4779	LRRC14B	LCP2	IL17A	MBL2	SNORA41|ENSG00000207516.1	RN7SL472P	
		RN7SL768P		SNORA25|ENSG00000272237.1	APOA4		APRT	TPPP2	DDX6	ZC3H12D	ZNF600	OAZ1			SNORD94	PLEKHG4B	C5orf58	MCM3	MSMB	HMGN2P46	LINC00524	
		RN7SL386P		RNA5SP121	APOC3		C16orf3	OR4L1	TTC36	RN7SL234P	ZNF137P	MAP2K2			RN7SKP83	ADCY2	MIR378E	MEP1A	PRKG1	snoU13|ENSG00000238583.1	U3|ENSG00000206761.1	
		RN7SL421P		SNORA48|ENSG00000212391.1	ATM		CA5A	OR11H6	RN7SL86P	STXBP5	MIR643	RPS15			ATOH8	CDH6	MIR585	MUT	SLC18A3	SLC30A4	MEG9	
		MIR1256		MIR4439	CASP1		CBFA2T3	KLHL33	CD3G	RNA5SP222	PPP2R1A	SGTA			C2orf68	CDH9	MIR103A1	PGK2	TFAM	SNORA11|ENSG00000261709.2	MIR369	
		UBXN10		RN7SL807P	CASP4		CDH13	RNASE10	MPZL3	FBXO30	snoU13|ENSG00000238630.1	STK11			RNF181	CDH10	PANK3	PKHD1	UBE2D1	SORD	MIR377	
		PLA2G2C		ACSL3	CASP5		CDH15	OR6S1	TMPRSS4	ACAT2	HCCAT3	TBXA2R			RN7SL126P	CDH12	FBLL1	RHAG	CCDC6	B2M	MIR485	
		PLA2G2D		snoU13|ENSG00000238852.1	CRYAB		COX4I1	OR4K13	SCARNA11|ENSG00000252992.1	CCR6	FPR1	TCF3			RN7SL830P	CDH18	SNORA40|ENSG00000253065.1	TFAP2B	NCOA4	RN7SL347P	MIR134	
		PLA2G5		SGPP2	DDX10		CYBA	OR4K17	PCSK7	ESR1	snoU13|ENSG00000238486.1	THOP1			RN7SL251P	CTNND2	RN7SKP60	CRISP2	RHOBTB1	HYPK	MIR382	
		RN7SL304P		RN7SKP213	DLAT		DPEP1	OR4N5	RNY4P6	GRM1	SIGLEC5	TLE2			RN7SL113P	DAP	NUDCD2	PTP4A1	ZWINT	CATSPER2P1	MIR381HG	
		PLA2G2E		RN7SL764P	DRD2		FANCA	OR11G2	ZNF259	IGF2R	CEACAM18	SF3A2			SNORD112|ENSG00000252298.1	DNAH5	MIR3142	PLA2G7	ZNF365	snoU13|ENSG00000238494.1	MIR376A1	
		snoU13|ENSG00000239027.1		MIR3131	FDX1		FOXF1	OR11H4	snoU13|ENSG00000238625.1	KIF25	SIGLEC22P	S1PR4			RN7SL201P	MTRR	RN7SL295P	SUPT3H	DKK1	snoU13|ENSG00000238535.1	MIR376C	
		RN7SL277P		LINC00608	GRIA4		FOXL1	RNASE9	LINC00900	LPA	SIGLEC17P	AP3D1			RNA5SP99	MYO10	ADRA1B	GCM1	CSTF2T	RN7SL487P	MIR380	
		RN7SL85P		U3|ENSG00000252805.1	GUCY1A2		FOXC2	OR5AU1	snoU13|ENSG00000239153.1	MAS1	KLK13	APBA3			REG1P	PMCHL1	RNU4ATAC2P	SLC25A27	SIRT1	CCNDBP1	MIR299	
		AKR7A2		RN7SKP38	HTR3A		GALNS	RNASE13	ACA59|ENSG00000252870.1	MAP3K4	KLK9	APC2			RNA5SP98	SDHA	SNORA68|ENSG00000252458.1	TRAM2	HERC4	snoU13|ENSG00000239025.1	MIR379	
		AKR7A3		VIL1	IL18		GAS8	RNASE12	snoU13|ENSG00000238724.1	MLLT4	KLKP1	HMG20B			RN7SKP164	SLC6A3	LSM11	RCAN2	CTNNA3	MIR627	SNORD113|ENSG00000222185.1	
		MIR1290		MIR26B	MMP1		GCSH	TMEM253	ATF4P4	OPRM1	SNORD88C	UQCR11			RN7SKP203	SLC9A3	THG1L	CRISP3	A1CF	MIR4310	SNORD112|ENSG00000252009.1	
		MIR4695		snoU13|ENSG00000238736.1	MMP3		HSBP1		snosnR66	PARK2	SNORD88A	ZFR2			MRPL19	SRD5A1	RNA5SP199	ICK	NRBF2	RNA5SP393	SNORD113|ENSG00000222095.1	
		snoU13|ENSG00000239020.1		snoU13|ENSG00000238428.1	MMP7		HSD17B2		C11orf34	PCMT1	SNORD88B	PIP5K1C			snoU13|ENSG00000239018.1	TERT	RN7SL439P	ENPP4	OGDHL	MIR626	SNORD113|ENSG00000201710.1	
		PADI6		CXCR2P1	MMP8		IRF8		SDHD	PDCD2	LRRC4B	TIMM13			U3|ENSG00000221638.1	TRIO	RN7SL655P	PHF3	CISD1	RN7SL497P	SNORD113|ENSG00000201036.1	
		MIR3972		DIRC3	MMP10		MAF		RNA5SP351	PLG	SPIB	DAZAP1			snoU109|ENSG00000238410.1	SEMA5A	MIR1294	CD2AP	DNAJC12	RN7SL376P	SNORD113|ENSG00000201500.1	
		U1|ENSG00000228549.2		RN7SKP43	MMP13		MC1R		HSPB2	PSMB1	RN7SL324P	TJP3			snoU13|ENSG00000238521.1	TRIP13	RN7SL177P	ZNF451	ASAH2	snoU13|ENSG00000238559.1	SNORD113|ENSG00000200150.1	
		MST1L		RNA5SP120	NCAM1		MVD		ALG9	RPS6KA2	NAPSB	NMRK2			POLE4	PDCD6	RNA5SP198	FBXO9	PCDH15	LINC00594	SNORD112|ENSG00000251918.1	
		ESPNP		RPL37A	NNMT		CHMP1A		ALG9	SLC22A1	SIGLEC16	SLC39A3			SEMA4F	MARCH6	RN7SKP232	TNFRSF21	BICC1	RNA5SP392	SNORD112|ENSG00000252144.1	
		CROCCP2		MREG	NPAT		PLCG2		RN7SKP273	SLC22A3	U3|ENSG00000221125.1	ZBTB7A			PCGF1	BASP1	RNA5SP197	TINAG	ARID5B	LINC00984	SNORD112|ENSG00000251949.1	
		U1|ENSG00000233421.3		LINC00607	PAFAH1B2		RPL13		SIK2	SLC22A2	MIR4751	SIRT6			CCDC142	SLC12A7	ZNF300P1	TMEM14A	PHYHIPL	snoU13|ENSG00000238564.1	SNORD112|ENSG00000252873.1	
		CROCCP3		snoU13|ENSG00000238663.1	PGR		SPG7		RNA5SP350	SOD2	MIR4750	LSM7			MRPL53	PAPD7	snoU13|ENSG00000239191.1	CYP39A1	ADO	THBS1	SNORD112|ENSG00000251769.1	
		C1orf134		AAMP	POU2AF1		SLC7A5		SNORD39|ENSG00000264997.1	T	MIR4749	MBD3			C2orf81	TPPP	snoU13|ENSG00000238369.1	LGSN	C10orf71	FAM98B	MEG8	
		ANO7P1		AGXT	PPP2R1B		CDK10		RNA5SP349	TBP	ADM5	PCSK4			MTHFD2	EXOC3	MIR378A	CLIC5	FAM170B	U3|ENSG00000212511.1	MIR433	
		C1orf64		ALPI	PTS		MBTPS1		RNA5SP348	TCP1	MIR5088	PLEKHJ1			MOB1A	CCT5	RN7SL868P	HMGCLL1	VSTM4	CSNK1A1P1	MEG3	
		snoU13|ENSG00000238818.1		ALPP	RDX		TAF1C		MMP12	TCTE3	BCL2L12	BTBD2			MGC10955	FBXL7	U3|ENSG00000221043.1	CENPQ	C10orf107	MIR3942	RN7SKP92	
		DDI2		ALPPL2	SDHD		USP10		WTAPP1	DYNLT1	SNORD35B	NCLN			RNA5SP97	KIAA0947	MIR143HG	LRRC1	TMEM26	ANP32AP1	RN7SL523P	
		AGMAT		ATIC	SLN		VPS9D1		snoU13|ENSG00000239154.1	THBS2	SNORD35A	REXO1			NOTO	IRX4	RN7SKP145	LMBRD1	RTKN2	GJD2	YY1	
		SCARNA21|ENSG00000251866.1		KIF1A	TAGLN		KIAA0513		snoU13|ENSG00000252679.1	UTRN	SNORD34	ZNF77			SNORD78|ENSG00000212378.1	TAS2R1	MIR584	AARS2	SLC16A9	SNORA18|ENSG00000252425.1	DEGS2	
		C1orf195		BCS1L	TRPC6		PIEZO1		MIR3920	EZR	SNORD33|ENSG00000199631.1	CACTIN			RN7SL160P	FAM134B	SH3TC2	KIAA1586	FAM13C	SLC12A6	MIR342	
		SCARNA11|ENSG00000253085.1		BOK	ZBTB16		ATP2C2		ACAT1	VIP	SNORD32A	CELF5			snoU13|ENSG00000239064.1	NSUN2	SPINK13	ENPP5	REEP3	TMCO5B	CCNK	
		RNA5SP41		CHRNG	CUL5		CLEC3A		ACRV1	EPM2A	MIR4324	TLE6			RN7SL470P	CEP72	RN7SL791P	ELOVL5	JMJD1C	SNORD77|ENSG00000212415.1	U6|ENSG00000272439.1	
		PRAMEF14		COL4A3	HTR3B		MPHOSPH6		BIRC2	RNASET2	RN7SL708P	ZNF556			snoU13|ENSG00000239072.1	ANKH	RNA5SP196	COL21A1	IPMK	snoU13|ENSG00000238342.1	RN7SL714P	
		PRAMEF18		COL4A4	ZW10		EMC8		BIRC3	SYNJ2	RN7SL345P	ABHD17A			snoU13|ENSG00000238465.1	PRDM9	GPR151	TFAP2D	SGMS1	RN7SL286P	RN7SL710P	
		C1orf158		COL6A3	MMP20		TUBB3		APLP2	LATS1	SEC1P	DOHH			SNRNP27	AHRR	RN7SKP246	PAQR8	C10orf40	RN7SL539P	LINC00618	
		snoU13|ENSG00000238771.1		CRYBA2	RBM7		PRDM7		APOA1	QKI	DBP	KLF16			GMCL1	MRPL36	KCTD16	MLIP	FAM21A	GOLGA8O	RN7SKP108	
		RNU6ATAC18P		CYP27A1	YAP1		TCF25		APOA4	WTAP	GRWD1	DOT1L			snoU13|ENSG00000238708.1	BRD9	RN7SL87P	IL17F	AGAP6	U8|ENSG00000206987.1	snoU13|ENSG00000238776.1	
		SNORA59A		DES	CEP164		ZCCHC14		APOC3	AKAP12	C19orf68	CREB3L3			SNORA36C	FASTKD3	RN7SL68P	EFHC1	LRRC18	ULK4P1	DKFZP434O1614	
		SNORA70|ENSG00000252969.1		DTYMK	EXPH5		GSE1		ARCN1	UST	CABP5	LMNB2			RN7SL604P	IRX1	PCDHGB8P	C6orf141	TIMM23B	RN7SL185P	C14orf132	
		MIR4632		EPHA4	SIK3		ATMIN		ATM	PDE10A	TPRX2P	RAX2			AAK1	ZDHHC11	PCDHB18	KHDRBS2	AGAP7	GOLGA8K	LINC00617	
		RN7SL649P		FN1	BACE1		COTL1		FXYD2	RAB32	SNORD23|ENSG00000221803.1	MUM1			RNA5SP96	LPCAT1	PCDHB17	BEND6	ASAH2B	CHRNA7	GLRX5	
		C1orf167		GBX2	CADM1		MLYCD		CASP1	KATNA1	RN7SL322P	ATCAY			MIR3126	CLPTM1L	PCDHA14	GSTA5	AGAP8	SNORA18|ENSG00000206849.1	SCARNA13	
		DRAXIN		GPC1	REXO2		CPNE7		CASP4	SCAF8	RN7SL533P	MIDN			FBXO48	ROPN1L	WDR55	GPR115	TIMM23	MIR211	SNHG10	
		snoU13|ENSG00000271794.1		GPR35	TIMM8B		IL17C		CASP5	TAB2	snoU13|ENSG00000252071.1	REEP6			C1D	MED10	MIR3655	GPR116	MIR4294	RN7SL82P	MIR4506	
		TARDBP		HDLBP	SIDT2		ANKRD11		CBL	SASH1	MIR320E	IZUMO4			Vault|ENSG00000251900.1	NKD2	SNORA27|ENSG00000200235.1	TDRD6	MTRNR2L5	U8|ENSG00000252602.1	SLC24A4	
		RN7SL614P		AGFG1	CNTN5		OSGIN1		CD3D	SYNE1	RN7SL364P	SCAMP4			RN7SL635P	FAM105B	SNORD45|ENSG00000200051.1	SPATS1	MIR3924	RN7SL628P	NDUFB1	
		DFFA		DNAJB2	C11orf71		TRAPPC2L		CD3E	MTHFD1L	PGLYRP1	ADAT3			SNORA74|ENSG00000272025.1	ZNF622	CYSTM1	GPR111	PGBD3	GOLGA8H	U3|ENSG00000200042.1	
		RN7SL721P		HTR2B	SLC35F2		WWOX		CHEK1	IPCEF1	NOVA2	MRPL54			snoU13|ENSG00000238696.1	C5orf55	PURA	DEFB110		U8|ENSG00000207430.1	RN7SL506P	
		RN7SL731P		SP110	RAB39A		BCMO1		CRYAB	TIAM2	MIR642A	ZNF57			RN7SL211P	C5orf49	TMEM173	DEFB112		ULK4P2	SNORA11B	
		RN7SKP269		IGFBP2	BTG4		NECAB2		DDX10	C6orf123	RN7SL836P	JSRP1			RN7SL341P	C5orf38	ECSCR	DEFB113		RN7SL796P	LINC00642	
		SLC25A33		IGFBP5	NXPE4		KLHDC4		DLAT	FBXO5	MIR330	MOB3A			LINC00309	IRX2	RN7SKP64	DEFB114		GOLGA8Q	RN7SKP255	
		RNA5SP40		IHH	TTC12		DEF8		DPAGT1	RGS17	PPM1N	MFSD12			ACA59|ENSG00000251775.1	ADAMTS16	RNA5SP195	GPR110		RN7SL196P	RN7SKP107	
		GPR157		CXCR1	C11orf57		BANP		DRD2	DLL1	APOC1P1	GIPC3			RPS4XP5	SLC6A19	SNORA74A	EYS		GOLGA8R	KCNK10	
		SCARNA16|ENSG00000252404.1		CXCR2	ELMOD1		ZDHHC7		ETS1	MRPL18	SNORA70|ENSG00000253027.1	PLK5			DBIL5P2	SLC6A18	SNORA74|ENSG00000252213.1	GFRAL		U8|ENSG00000238519.1	GPR65	
		RN7SL451P		INHA	TEX12		CENPN		FDX1	CLDN20	snoZ6|ENSG00000252200.1	C19orf25			RN7SL18P	MARCH11	RNA5SP194	KLHL31		RN7SL469P	LINC00911	
		SNORA77|ENSG00000221083.1		INPP5D	DSCAML1		JPH3		FLI1	NOX3	CEACAM22P	ATP8B3			snoU13|ENSG00000238809.1	MIR4277	RN7SL867P	MIR206		GOLGA8T	RNU3P3	
		RN7SL729P		IRS1	KIAA1377		VAT1L		SLC37A4	SNX9	CEACAM20	DIRAS1			RN7SL51P	MIR4458	snoU13|ENSG00000238745.1	TMEM151B		U8|ENSG00000207432.1	RNU6ATAC28P	
		TNFRSF9		KCNJ13	ARHGAP20		WFDC1		GRIA4	MPC1	ZNF180	ZNF555			COMMD1	MIR4457	SNORD63|ENSG00000206989.1	PTCHD4		ULK4P3	snoU13|ENSG00000238978.1	
		snoU13|ENSG00000239166.1		NDUFA10	USP28		MTHFSD		GRIK4	UNC93A	ZNF234	ANKRD24			SNORA70B	MIR4456	SNORD63|ENSG00000222937.1	MIR133B		RN7SL673P	SNORA79|ENSG00000221303.1	
		LINC00337		SEPT2	CARD18		DBNDD1		GUCY1A2	MTRF1L	RN7SL53P	C19orf26			C2orf74		RN7SL682P	MIR548U		GOLGA8J	NRXN3	
		RN7SL574P		NEU2	AASDHPPT		KLHL36		H2AFX	RMND1	ZNF284	C19orf77			RNA5SP95		snoU13|ENSG00000238605.1	MTRNR2L9		snoZ278	RNA5SP388	
		MIR551A		PAX3	MMP27		CMIP		HMBS	PHF10	ZNF223	ADAMTSL5			RN7SL632P		NPY6R	MIR5685		GOLGA6L7P	RN7SL587P	
		MEGF6		PDCD1	C11orf1		CDT1		HSPA8	C6orf70	RN7SL368P	TMPRSS9			RN7SL361P		MIR874			WHAMMP2	SNORA46|ENSG00000212371.1	
		LINC00982		PDE6D	DYNC2H1		MAP1LC3B		HTR3A	AGPAT4	ZNF576	C19orf35			RNA5SP94		RNA5SP193			RN7SL719P	FKSG61	
		TTC34		SERPINE2	PDGFD		DYNLRB2		IL10RA	TULP4	ZNF575	MEX3D			SNORD78|ENSG00000212168.1		FBXL21			GOLGA8M	SAMD15	
		C1orf222		PPP1R7	TMPRSS5		HSDL1		IL18	PLEKHG1	CEACAMP10	C19orf71			snoU13|ENSG00000238690.1		TIFAB			RN7SL829P	RN7SL137P	
		TMEM240		PSMD1	BCO2		CRISPLD2		STT3A	ARID1B	PSG7				RNA5SP93		MIR4461			RN7SL238P	TMED8	
		RN7SL657P		PTMA	TMEM133		SPIRE2		KCNJ1	TMEM181	PSG10P				RN7SKP208		MIR4461			GOLGA8F	SNORA32|ENSG00000201384.1	
		TAS1R3		PTPRN	DCUN1D5		CENPBD1		VWA5A	ZBTB2	CXCL17				SNORA12|ENSG00000212175.1		PCBD2			RNA5SP391	RN7SL356P	
		RNF223		SAG	MSANTD4		ZNF276		MCAM	SMOC2	SNORD112|ENSG00000252356.1				PRORSD1P		RN7SL541P			LINC00929	RN7SKP17	
		FAM41C		CCL20	BUD13		SDR42E1		KMT2A	ULBP3	CEA				MIR3682		PPP2CA			SNORA48|ENSG00000212604.1	RN7SL747P	
		FAM87B		SLC4A3	C11orf70		PKD1L2		MMP1	C6orf211	CEACAMP3				snoU13|ENSG00000238756.1		SKP1			MIR4715	TGFB3	
		OR4F5		SLC11A1	DIXDC1		RNF166		MMP3	ZDHHC14	C19orf69				ASB3		snoU13|ENSG00000238796.1			RNA5SP390	C14orf1	
		FAM138A		SP100	ZC3H12C		C16orf46		MMP7	ADGB	TGFB1				SCARNA16|ENSG00000251942.1		HSPA4			ATP10A	RNA5SP387	
		DDX11L1		SPP2	ALKBH8		DNAAF1		MMP8	FRMD1	RN7SL34P				SNORA75|ENSG00000212580.1		LEAP2			SNORD109B	RNU4ATAC14P	
		ALPL		TNP1	FDXACB1		SPATA2L		MMP10	LINC00574	RN7SL718P				RN7SKP224		UQCRQ			SNORD115|ENSG00000212428.1	SNORA7|ENSG00000222604.1	
