cytoband	16p13.3	4q22.1	6q26	20p12.1	16q23.1	1p33	3p14.2	5q12.1	3q26.31	18q21.2	1p36.11	6p25.3	4q35.1	10q21.1	8p22	10q23.31	5q22.2	18q12.2	8p23.2	7q31.1	17p12	19p13.3	21q11.2	5q21.1	15q22.33	22q13.32	18q22.1	15q21.1	15q15.2	15q11.2	17q24.3	9p21.3	18p11.31	14q31.1	10q25.2	8q11.1	12p13.2	1p13.1	2q22.1	10p15.3	4p16.2	2p21	3p26.1	13q14.13	
											HMGN2		U3|ENSG00000252048.1			KLLN	CAMK4		ARHGEF10			ATP5D	snoU13|ENSG00000238591.1	RN7SKP68		CHKB			MIR627	GJD2				IGHJ3	MGMT		RN7SL46P	RNA5SP58	RNA5SP109	AKR1C1	GPR78	ZFP36L2	RN7SL110P	LINC00459	
											RN7SL490P		FAM92A1P2				SNORA51|ENSG00000207177.1		KBTBD11			CIRBP	RNA5SP488	RNA5SP188		CPT1B			MIR4310	SNORA18|ENSG00000252425.1				IGHJ4	NPS		RN7SKP162	NBPF24	GCA	LINC00705	RNA5SP152	PPM1B	MIR4270	LINC00358	
											AIM1L		RN7SKP67				MIR548F3		FBXO25			EFNA2	ANKRD20A11P	RN7SL802P		TYMP			RNA5SP393	SLC12A6				IGHJ5	SNORD60|ENSG00000199321.1		GRIN2B	RN7SL261P	snoU13|ENSG00000238570.1	LINC00704	MIR95	SIX3	snoU13|ENSG00000238891.1	RNY4P31	
											SH3BGRL3		RN7SKP13				TMEM232		CSMD1			GAMT	CYP4F29P	MIR548P		MAPK11			MIR626	TMCO5B				IGHJ6	RNA5SP328		RNA5SP353	ACP6	TBR1	LINC00703	MIR4274	COX7A2L	COL6A4P1	RNY3P5	
											CD52		LINC00290				APC		TDRP			GPX4	ANKRD30BP2	RN7SKP62		MAPK12			RN7SL497P	SNORD77|ENSG00000212415.1				IGHM	MIR4296		HTR7P1	LINC00624	RN7SL423P	LINC00702	MIR4798	PREPL	NR2C2	LINC00378	
											SFN		SNORD65|ENSG00000212191.1				KCNN2		ERICH1			RPS15	BAGE2	GPR150		SBF1			RN7SL376P	snoU13|ENSG00000238342.1				IGHD	METTL10		SNORD88	HYDIN2	MIR4785	LINC00701	RN7SKP36	LRPPRC	GRIP2	RNA5SP31	
											RPS6KA1		RNA5SP173				MCC		ZNF596			STK11	SNORA70|ENSG00000252199.1	LUCAT1		PPP6R2			snoU13|ENSG00000238559.1	RN7SL286P				IGHG3	GPR26		GPRC5A	RNA5SP57	RMRPP3	LINC00700	GRPEL1	SIX2	RNA5SP124	LINC00434	
											SLC9A1		SLC25A4				PGGT1B		MIR596			TCF3	RN7SL52P	CAST		ZBED4			LINC00594	RN7SL539P				IGHG1	MIR3941		MIR613	PDZK1P1	MARCH7	ADARB2	RN7SKP292	HAAO	LSM3	RNY4P28	
											ARID1A		CASP3				REEP5					APC2	TEKT4P2	CHD1		SCO2			RNA5SP392	GOLGA8O				IGHA1	RN7SKP167		DUSP16	RNF115	snoZ5	MIR5699	S100P	EML4	FGD5P1	RN7SL375P	
											NR0B2		DCTD				NREP					ABCA7	MIR3648	EFNA5		RABL2B			LINC00984	U8|ENSG00000206987.1				IGHG2	RN7SL846P		LOH12CR2	NUDT17	RN7SL393P	RN7SL754P	C4orf50	DYNC2LI1	WNT7A	RNY4P29	
											NUDC		ACSL1				TRIM36					UQCR11	CXADR	GLRX		MLC1			snoU13|ENSG00000238564.1	ULK4P1				IGHG4	TIAL1		TAS2R30	GNRHR2	RN7SKP281	RNA5SP298	RN7SKP275	SRBD1	LINC00620	RNA5SP30	
											WDTC1		ING2				FEM1C					SBNO2	NCAM2	LNPEP		MAPK8IP2			THBS1	RN7SL185P				IGHE	MIR4681		TAS2R64P	NBPF10	GALNT5	RNA5SP297	RN7SKP113	MTA3	SNORA7A	RN7SKP6	
											PIGV		IRF2				EPB41L4A					HMHA1	TMPRSS15	PAM		PLXNB2			FAM98B	GOLGA8K				IGHA2	RN7SL749P		TAS2R20	SEC22B	snoU13|ENSG00000238481.1	TUBB8	FAM86EP	THADA	snoU13|ENSG00000239140.1	snoU13|ENSG00000238455.1	
											GPATCH3		CLDN22				YTHDC2					DAZAP1	HSPA13	PCSK1		BRD1			BUB1B	CHRNA7				CRIP1	FAM45A		TAS2R14	RN7SKP88	snoU13|ENSG00000238543.1	AKR1C4	LINC00955	ABCG5	C3orf83	LINC00458	
											CEP85		CDKN2AIP				TSSK1B					MBD3	TPTE	NR2F1		FAM19A5			CAPN3	SNORA18|ENSG00000206849.1				C14orf79	SNORA19|ENSG00000222588.1		PRH2	LINC00623	RNA5SP107	KLF6	LRPAP1	ABCG8	RNA5SP123	LINC00558	
											LIN28A		TENM3				TSLP					PCSK4	NRIP1	ST8SIA4		NCAPH2			CKMT1B	MIR211				LINC00638	SNORA19|ENSG00000207468.1		TAS2R8	NBPF8	SNORD56|ENSG00000200377.1	AKR1C2	MSANTD1	CAMKMT	SYN2	RN7SL618P	
											DHDDS		LRP2BP				SLC25A46					REXO1	BTG3	TTC37		MOV10L1			EPB42	RN7SL82P				ZBTB42	U3|ENSG00000251836.1		MAGOHB	SRGAP2B	ARL5A	IDI1	RN7SL589P	PKDCC	RN7SL147P	SUGT1	
											UBXN11		STOX2				STARD4					ABHD17A	USP25	RHOBTB3		MIOX			GANC	U8|ENSG00000252602.1				C14orf144	LINC00867		EIF2S3L	ANKRD20A12P	RN7SL124P	PFKP	MIR943	PLEKHH2	SLC6A11	LINC00345	
											FAM46B		KIAA1430				WDR36					KLF16	RBM11	ELL2		PANX2			GCHFR	RN7SL628P				RN7SL634P	EMX2OS		RN7SKP161	FCGR1B	SNORA48|ENSG00000212181.1	AKR1C3	SCARNA22	OXER1	LINC00606	RNY4P24	
											C1orf172		TRAPPC11				CCDC112					MUM1	C21orf91	PPIP5K2		CRELD2			PDIA3	GOLGA8H				LINC00637	PDZD8		KLRF2	HIST2H2BA	RNA5SP106	PITRM1	RN7SL671P	KCNG3	MIR885	RN7SL413P	
											ZNF683		MLF1IP				DCP2					MIDN	SAMSN1	ERAP1		ADM2			ITPKA	U8|ENSG00000207430.1				SNORD51|ENSG00000202275.1	ENO4		CLEC2B	LINC00622	snoU13|ENSG00000238860.1	ZMYND11	SNORA48|ENSG00000212458.1	C2orf91	GHRLOS	RNY1P6	
											TRNP1		WWC2									REEP6	CHODL	GIN1		TRABD			IVD	ULK4P2				APOPT1	snoU13|ENSG00000238577.1		CLEC2D	snoU13|ENSG00000238679.1	snR65|ENSG00000253036.1	WDR37	TMED11P		LINC00852	RN7SL320P	
													SNX25									PLK5	LIPI	RIOK2		HDAC10			LTK	RN7SL796P				SNORA28	RN7SL384P		KLRB1	RNA5SP56	TEX41	DIP2C	RN7SL358P		snoU13|ENSG00000238345.1	RPS4XP16	
													ENPP6									C19orf25	ABCC13	ARRDC3		SHANK3			MAP1A	GOLGA8Q				LINC00605	VWA2		SNORA75|ENSG00000212432.1	WDR3	RN7SL283P	LARP4B	ZNF721		VHL	LINC00371	
													RWDD4									ATP8B3	POTED	ERAP2		TUBGCP6			MFAP1	RN7SL196P				LINC00677	NHLRC2		SNORA75|ENSG00000212440.1	SNORA40|ENSG00000212266.1	SNORA72|ENSG00000206901.1	GTPBP4	ABCA11P		snoU13|ENSG00000238642.1	RNA5SP29	
													CCDC111									C19orf26	LINC00478	FBXL17		LMF2			PLCB2	GOLGA8R				snoU13|ENSG00000238853.1	SNORA17|ENSG00000212589.1		LINC00987	MAN1A2	RN7SKP286	AKR1E2	MIR571		CIDECP	RNA5SP28	
													CCDC110									ADAMTSL5	MIRLET7C	MCTP1		KLHDC7B			RAD51	U8|ENSG00000238519.1				RN7SL546P	MIR4295		A2MP1	MIR942	NXPH2	IDI2	ZNF141		EMC3	DLEU7	
													ANKRD37									MEX3D	MIR125B2	NUDT12		C22orf34			SPINT1	RN7SL469P				snoU13|ENSG00000239061.1	GUCY2GP		LINC00612	TTF2	RNA5SP105	LINC00200	ZNF732		LHFPL4	RNY4P9	
													HELT										MIR99A	SPATA9		IL17REL			SRP14	GOLGA8T				RN7SL472P	MIR548E		SCARNA11|ENSG00000252727.1	RNA5SP55	RN7SKP141	PRR26	ZNF876P		SNORA43|ENSG00000199815.1	RNY4P30	
													C4orf47										MIR548X	FAM172A		PIM3			TP53BP1	U8|ENSG00000207432.1				LINC00524	RNA5SP327		FAM86FP	MIR548AC	SNORA40|ENSG00000208308.1		ZNF718		LINC00312	RNY3P2	
													CLDN24										MIR3687	ANKRD32		ODF3B			TYRO3	ULK4P3				U3|ENSG00000206761.1	RN7SKP288		FAM66C	ATP1A1OS	snoU13|ENSG00000238337.1		ZNF595		RNU4ATAC17P	LINC00462	
													MIR1305										C21orf37	C5orf30		SYCE3			SNAP23	RN7SL673P				MEG9	RN7SL686P		NANOGP1	U3|ENSG00000221040.1	MIR5590		ADD1		RN7SL553P	LINC00441	
													MIR3945											SLCO6A1		MIR3201			TGM5	GOLGA8J				MIR369	snoU13|ENSG00000239125.1		C1R	SNORA42|ENSG00000207502.1	RNA5SP104		ADRA2C		snoU13|ENSG00000239126.1	LINC00562	
													MIR4455											POU5F2		MIR3667			PPIP5K1	snoZ278				MIR377	SMNDC1		SCARNA12	RN7SL420P	RN7SKP93		ATP5I		EGOT	LINC00444	
																								ARSK		MIR4535			LCMT2	GOLGA6L7P				MIR485	RN7SL450P		DSTNP2	RN7SL432P	RN7SKP154		CRMP1		SNORA43|ENSG00000253049.1	RN7SL700P	
																								FAM81B					RASGRP1	WHAMMP2				MIR134	U4|ENSG00000272160.1		RPL13P5	DENND2C	RN7SKP103		CTBP1		RN7SKP144	LINC00563	
																								LIX1					GPR176	RN7SL719P				MIR382	RN7SKP278		RN7SL380P	BCL2L15	RN7SL701P		DGKQ		RN7SL120P	RN7SKP5	
																								C5orf27					CHP1	GOLGA8M				MIR381HG	RNA5SP326		A2M	LRIG2	MIR4784		DRD5		ATP2B2	snoU13|ENSG00000238483.1	
																								KIAA0825					OIP5	RN7SL829P				MIR376A1	RNA5SP325		APOBEC1	snoU13|ENSG00000238975.1	CYP4F31P		EVC		BTD	RN7SL288P	
																								RGMB					BAHD1	RN7SL238P				MIR376C	snoU13|ENSG00000238620.1		ARHGDIB	WNT2B	SCARNA4|ENSG00000252829.2		FGFR3		CAV3	RNA5SP27	
																								RFESD					MAPKBP1	GOLGA8F				MIR380	ITPRIP		C1S	snoU13|ENSG00000238761.1	CYP4F30P		GAK		DAZL	SNORA31|ENSG00000199477.1	
																								FAM174A					RTF1	RNA5SP391				MIR299	MIR609		C3AR1	snoU13|ENSG00000239111.1	CFC1		GRK4		FANCD2	SNORA31|ENSG00000253051.1	
																								SLCO4C1					MGA	LINC00929				MIR379	MIR936		CD4	ATP5F1	POTEI		HTT		FBLN2	7SK|ENSG00000271818.1	
																								MIR583					VPS39	SNORA48|ENSG00000212604.1				SNORD113|ENSG00000222185.1	RN7SL524P		CD69	PGCP1	CYP4F43P		HGFAC		GRM7	RN7SKP3	
																								MIR2277					SERF2	MIR4715				SNORD112|ENSG00000252009.1	OBFC1		CDKN1B	DENND2D	snoU13|ENSG00000238546.1		HMX1		HRH1	RN7SL49P	
																													TMEM87A	RNA5SP390				SNORD113|ENSG00000222095.1	C10ORF32		CREBL2	RNA5SP54	RNA5SP103		IDUA		IL5RA	LINC00330	
																													RPAP1	ATP10A				SNORD113|ENSG00000201710.1	SFXN2		ATN1	CYMP	RN7SL206P		LETM1		IRAK2	snoU13|ENSG00000238932.1	
																													RPUSD2	SNORD109B				SNORD113|ENSG00000201036.1	RN7SL21P		PHC1	SNORA25|ENSG00000200536.1	RNY4P7		MSX1		ITPR1	TSC22D1	
																													TUBGCP4	SNORD115|ENSG00000212428.1				SNORD113|ENSG00000201500.1	SNORD112|ENSG00000253068.1		EMP1	ALX3	RNA5SP102		MYL5		OGG1	LINC00284	
																													EHD4	SNORD109A				SNORD113|ENSG00000200150.1	FGF8		ENO2	RNU6V	RN7SKP102		PDE6B		OXTR	LINC00400	
																													NDUFAF1	SNORD108				SNORD112|ENSG00000251918.1	snoU13|ENSG00000239091.1		EPS8	GNAI3	snoU13|ENSG00000238341.1		PPP2R2C		PPARG	RN7SL515P	
																													NUSAP1	SNORD64|ENSG00000270704.2				SNORD112|ENSG00000252144.1	SNORD112|ENSG00000252844.1		ETV6	KIAA1324	RNU4ATAC		RGS12		RAB5A	MIR5006	
																													SPTBN5	SNHG14				SNORD112|ENSG00000251949.1	LBX1		GNB3	SCARNA2	ACVR1		RNF4		RAF1	KBTBD7	
																													DLL4	SNURF				SNORD112|ENSG00000252873.1	HUG1		GPR19	TMEM167B	ACVR2A		SH3BP2		RPL32	snoU13|ENSG00000238651.1	
																													INO80	snoU13|ENSG00000238615.1				SNORD112|ENSG00000251769.1	KAZALD1		GUCY2C	TAF13	BIN1		WFS1		SATB1	RN7SL597P	
																													PPP1R14D	PWRN1				MEG8	MIR608		KLRC1	SPATA42	RND3		WHSC1		SEC13	SUGT1P3	
																													HAUS2	PWRN2				MIR433	HIF1AN		KLRC2	NBPF5P	CACNB4		NELFA		SETMAR	TPTE2P5	
																													RMDN3	MAGEL2				MEG3	NDUFB8		KLRC3	SLC25A24P1	CCNT2		SLBP		SLC6A1	SLC25A15	
																													DNAJC17	RN7SL536P				RN7SKP92	LINC00263		KLRD1	RN7SKP285	DARS		ACOX3		SLC6A6	LINC00598	
																													PAK6	GOLGA8S				RN7SL523P	BLOC1S2		LRP6	snoU13|ENSG00000238296.1	DPP4		CPZ		TIMP4	RN7SKP2	
																													CASC5	RN7SL106P				YY1	SNORA12|ENSG00000212464.1		M6PR	SCARNA16|ENSG00000252765.1	ERCC3		NOP14		XPC	RNY3P9	
																													STARD9	HERC2P2				DEGS2	ERLIN1		MGP	DPH5	FAP		FAM193A		BRPF1	LINC00332	
																													VPS18	RN7SL495P				MIR342	snoU13|ENSG00000238472.1		MGST1	MIR553	GALNT3		KIAA0232		COLQ	SNORD116|ENSG00000212553.1	
																													ZNF106	WHAMMP3				CCNK	COX15		OLR1	LPPR5	GCG		WDR1		CAMK1	RNY4P14	
																													CHAC1	RN7SL545P				U6|ENSG00000272439.1	ENTPD7		PDE6H	RN7SKP270	GPD2		C4orf6		BHLHE40	snoU13|ENSG00000238408.1	
																													WDR76	GOLGA8DP				RN7SL714P	snoU13|ENSG00000238588.1		PRB1	RN7SL831P	GPR17		MFSD10		KAT2B	LINC00366	
																													TMEM62	MIR1268A				RN7SL710P	HPSE2		PRB3	ALG14	GPR39		MAEA		SH3BP5	LINC00571	
																													ELL3	OR4N4				LINC00618	MIR4685		PRB4	snoU13|ENSG00000238389.1	GRB14		PCGF3		VGLL4	RNA5SP26	
																													ZFYVE19	snoU13|ENSG00000238960.1				RN7SKP108	MIR1287		PRH1	RN7SL440P	GYPC		SPON2		EDEM1	RN7SKP1	
																													DISP2	DKFZP547L112				snoU13|ENSG00000238776.1	GOLGA7B		PTPN6	ARHGAP29	HNMT		TACC3		TBC1D5	ARL2BPP3	
																													C15orf57	RN7SL400P				DKFZP434O1614	LINC00866		PTPRO	GCLM	ITGB6		MXD4		TATDN2	DCLK1	
																													KNSTRN	CT60				C14orf132	PI4K2A		PEX5	DNTTIP2	KCNJ3		CPLX1		SRGAP3	LINC00445	
																													BMF	NBEAP1				LINC00617	EXOSC1		PZP	RNA5SP53	KIF5C		SLC26A1		IQSEC1	LINC00457	
																													CHST14	RN7SL759P				GLRX5	RNA5SP324		SLC2A3	DR1	LCT		MAN2B2		ARPC4	ATP7B	
																													TGM7	GOLGA6L6				SCARNA13	ZNF518A		TPI1	RN7SKP123	LY75		NSG1		TADA3	RCBTB2	
																													CATSPER2	snoU13|ENSG00000239083.1				SNHG10	CYP2C19		MFAP5	RN7SL692P	MCM6		STX18		ATG7	CPB2	
																													PLA2G4E	CHEK2P2				MIR4506	RNY4P26		USP5	SNORA51|ENSG00000207022.1	MGAT5		FGFRL1		CHL1	ELF1	
																													TMCO5A	RN7SL584P				SLC24A4	PIPSL		KLRC4	SNORA66|ENSG00000207523.1	MYO7B		CYTL1		CAND2	ESD	
																													ZSCAN29	ACTC1				NDUFB1	RNA5SP323		YBX3	SNORA66|ENSG00000251795.1	NEB		SH3TC1		RFTN1	FOXO1	
																													TTBK2	APBA2				U3|ENSG00000200042.1	ACADSB		CD163	SNORD21	NR4A2		PIGG		NUP210	MLNR	
																													CDAN1	CHRM5				RN7SL506P	ADAM8		GDF3	RN7SL824P	ORC4		BLOC1S4		PLCL2	GTF2F2	
																													STRC	GABRA5				SNORA11B	ADD3		CLSTN3	RPAP2	POLR2D		STK32B		ANKRD28	GUCY1B2	
																													SPRED1	GABRB3				LINC00642	ADRA2A		LPCAT3	ACTBP12	PROC		LYAR		CAPN7	HTR2A	
																													ADAL	GABRG3				RN7SKP255	ADRB1		KLRG1	RN7SL235P	RBMS1		SLC2A9		MKRN2	KPNA3	
																													EXD1	MEIS2				RN7SKP107	ARL3		LRRC23	RN7SL653P	SCN1A		TBC1D14		THUMPD3	LCP1	
																													FSIP1	TRPM1				KCNK10	CASP7		EMG1	BARHL2	SCN2A		SORCS2		HACL1	MAB21L1	
																													RHOV	NDN				GPR65	ENTPD1		LEPREL2	U3|ENSG00000199666.1	SCN3A		UVSSA		TTLL3	SMAD9	
																													UBR1	OCA2				LINC00911	CHUK		KLRAP1	RN7SKP272	SCN7A		ZFYVE28		CNTN6	NEK3	
																													PLA2G4F	RYR3				RNU3P3	ABCC2		STRAP	snoU13|ENSG00000239176.1	SCN9A		AFAP1		LMCD1	PCDH8	
																													LRRC57	SCG5				RNU6ATAC28P	COL17A1		PRR4	GBP1P1	TNFAIP6		TNIP2		SSUH2	PCDH9	
																													PLA2G4D	SNRPN				snoU13|ENSG00000238978.1	CPN1		PHB2	GBP6	TSN		HAUS3		TRNT1	RB1	
																													C15orf52	TJP1				SNORA79|ENSG00000221303.1	CTBP2		KLRK1	RN7SL583P	CXCR4		MFSD7		CRBN	RFXAP	
																													C15orf53	UBE3A				NRXN3	CYP2C8		GABARAPL1	RNA5SP52	PKP4		TMEM175		CCDC174	TPT1	
																													C15orf54	MKRN3				RNA5SP388	CYP2C9		NECAP1	RNA5SP51	B3GALT1		ABLIM2		GHRL	TRPC4	
																													EIF2AK4	HERC2				RN7SL587P	CYP2C18		CLEC4E	SNORD81|ENSG00000199934.1	KYNU		TMEM128		ARL8B	TNFSF11	
																													CKMT1A	AQR				SNORA46|ENSG00000212371.1	CYP2E1		GPR162	C1orf52	NMI		TMEM129		SETD5	SUCLA2	
																													SERINC4	ARHGAP11A				FKSG61	CYP17A1		TAS2R9	CTBS	HS6ST1		MRFAP1		TMEM40	CCNA1	
																													C15orf62	RASGRP1				SAMD15	DMBT1		TAS2R7	SPATA1	CYTIP		TADA2B		BRK1	ITM2B	
																													C15orf56	GPR176				RN7SL137P	DNTT		TAS2R13	RPF1	ZEB2		HTRA3		RAD18	MTRF1	
																													PHGR1	FAN1				TMED8	DOCK1		TAS2R10	UOX	CD302		MRFAP1L1		LRRN1	UTP14C	
																													ANKRD63	GOLGA8A				SNORA32|ENSG00000201384.1	DUSP5		CLEC4A	SNORA2|ENSG00000199959.1	TANK		EVC2		CIDEC	LPAR6	
																													JMJD7	CYFIP1				RN7SL356P	ECHS1		HEBP1	TTLL7	PSMD14		OTOP1		ZFYVE20	LHFP	
																													PLA2G4B	FAM189A1				RN7SKP17	EMX2		DERA	RN7SKP247	STAM2		JAKMIP1		MTMR14	TRIM13	
																													MIR1282	NPAP1				RN7SL747P	FGFR2		DDX47	RNA5SP23	MAP3K2		FAM53A		MRPS25	MRPS31	
																														GREM1				TGFB3	GFRA1		CLEC1B	RNA5SP22	COBLL1		TRMT44		CRELD1	DLEU1	
																														EMC4				C14orf1	GOT1		CLEC1A	GIPC2	PLA2R1		ZBTB49		TMEM43	OLFM4	
																														KLF13				RNA5SP387	PRLHR		C1RL	DNAJB4	RAB3GAP1		CCDC96		HDAC11	POSTN	
																														MTMR10				RNU4ATAC14P	GRK5		KLRF1	RNA5SP21	UBXN4		CRIPAK		TSEN2	LECT1	
																														ZNF770				SNORA7|ENSG00000222604.1	HABP2		WBP11	RN7SL370P	CLASP1		DOK7		C3orf20	WBP4	
																														NOP10				ISCA2	HELLS		MANSC1	RNA5SP20	R3HDM1		RNF212		JAGN1	AKAP11	
																														NDNL2				MIR4709	HMX2		FAM90A1	ST6GALNAC5	EPC2		NAT8L		IL17RC	EXOSC8	
																														EMC7				RN7SL530P	TLX1		STYK1	ST6GALNAC3	PTPN18		POLN		EAF1	FNDC3A	
																														AVEN				LIN52	HPS1		GPRC5D	SNORD45B	MMADHC		C4orf48		OXNAD1	VWA8	
																														KATNBL1				ENTPD5	INPP5A		ATF7IP	SNORD45A	C2orf27A		DEFB131		FANCD2OS	ZC3H13	
																														NIPA2				snoU13|ENSG00000238330.1	ABLIM1		H2AFJ	SNORD45C	BAZ2B		USP17L24		GALNT15	SPG20	
																														C15orf41				ACOT4	MKI67		FOXJ2	LRRC53	ARHGEF4		USP17L25		KCNH8	LRCH1	
																														CHRFAM7A				C14orf169	MXI1		LMO3	RNU4ATAC8P	LRP1B		USP17L26		CHCHD4	INTS6	
																														ARHGAP11B				RN7SL586P	NDUFB8		AICDA	RNA5SP50	PLEKHB2		USP17L5		METTL6	CKAP2	
																														DPH6				snoU13|ENSG00000238972.1	NFKB2		RIMKLB	RN7SKP19	RIF1		USP17L27		TAMM41	NUFIP1	
																														TUBGCP5				RN7SL683P	NRAP		KIAA1467	NEGR1	WDR33		USP17L28		IL17RE	NBEA	
