cytoband	9p21.3	11p15.1	19q13.42	2q37.3	10q26.3	4q34.3	14q24.3	13q14.2	11p15.5	Xq21.1	5q34	1p36.32	1p32.3	5p15.33	3q29	3p21.31	12q12	18q23	6p25.3	22q13.31	8q24.3	9p23	6q22.31	7p22.3	3q13.31	1q43	13q34	12p13.1	6q26	
			IL11	ANKMY1	ACADSB		RN7SKP17	RN7SL320P			MIR103A1			NSUN2	KIAA0226	SEMA3B	LRRK2			MPPED1	ZNF16		STXBP5	FTSJ2	RNA5SP139	RN7SKP195		C12orf36	U8|ENSG00000238963.1	
			KIR2DL1	GAL3ST2	ADAM8		RN7SL747P	RPS4XP16			PANK3			CEP72	TNK2	SLC38A3	PRICKLE1			CHKB	GPAA1		RNA5SP222	GET4	NUP210P1	snoU13|ENSG00000252638.1		MIR614	CNKSR3	
			KIR2DL3	C2orf54	CTBP2		TGFB3	LINC00371			FBLL1			AHRR	NCBP2	GNAT1	ANO6			CPT1B	FOXH1		FBXO30	CYP2W1	TXNRD3NB	MIR4753			RNA5SP225	
			KIR2DL4	ING5	CYP2E1		C14orf1	RNA5SP29			SNORA40|ENSG00000253065.1			MRPL36	ACAP2	MIR566	ARID2			CYP2D7P1	RECQL4		STX11	HEATR2	RNA5SP138	SNORA14B			RNA5SP224	
			KIR2DS4	NEU4	DMBT1		RNA5SP387	RNA5SP28			RN7SKP60			BRD9	PIGX	RN7SL217P	C12orf40			CYP2D6	LRRC14		PEX3	CHST12	U1|ENSG00000272020.1	RN7SL668P			RNA5SP223	
			KIR3DL1	MTERFD2	DOCK1		RNU4ATAC14P	DLEU7			NUDCD2			IRX1	PIGZ	MIR5193	GXYLT1			CYB5R3	ZNF623		RNA5SP221	MICALL2	FAM86JP	RNY4P16			snoU13|ENSG00000238939.1	
			KIR3DL2	OTOS	ECHS1		SNORA7|ENSG00000222604.1	RNY4P9			MIR3142			ZDHHC11	IQCG	RNA5SP130	AMIGO2			TYMP	PUF60		ADAT2	TTYH3	snoU13|ENSG00000238992.1	LINC00184			RN7SKP268	
			LAIR1	MYEOV2	FGFR2		ISCA2	RNY4P30			RN7SL295P			LPCAT1	LRCH3	C3orf62	DBX2			FBLN1	ZC3H3		VTA1	PSMG3	MIR5092	U8|ENSG00000212144.1			RNY4P20	
			LAIR2	OR6B3	GRK5		MIR4709	RNY3P2			ADRA1B			CLPTM1L	CEP19	RN7SL182P				NAGA	BOP1		GJE1	C7orf50	RNA5SP137	MIR4671			snoU13|ENSG00000238594.1	
			CNOT3	DUSP28	HMX2		RN7SL530P	LINC00462			RNU4ATAC2P			MED10	LMLN	NDUFAF3				NDUFA6	SCRIB		RN7SKP106	CARD11	MIR544B	MIR4427			RAET1K	
			PEG3	AQP12A	INPP5A		LIN52	LINC00441			SNORA68|ENSG00000252458.1			NKD2	TM4SF19	MIR4793				PPARA	FBXL6		RNA5SP220	ZFAND2A	UMPS	NTPCR			SNORA2|ENSG00000202343.1	
			PRKCG	OR6B2	MKI67		ENTPD5	LINC00562			LSM11			C5orf55	ZDHHC19	TMEM89				MAPK11	OPLAH		MIR3145	GPR146	MIR5002	RN7SL299P			GINM1	
			PTPRH	PRR21	OAT		snoU13|ENSG00000238330.1	LINC00444			THG1L			C5orf38	FAM43A	MIR711				MAPK12	COMMD5		HEBP2	AMZ1	SNORA5	LINC00582			ZC3H12D	
			RPL28	AQP12B	HTRA1		ACOT4	RN7SL700P			RNA5SP199			IRX2	XXYLT1	RN7SL321P				SBF1	CPSF1		SNORD112|ENSG00000252476.1	TMEM184A	PTPLB	TRAX			RN7SL234P	
			RPS9	D2HGDH	PTPRE		C14orf169	ATP7B			RN7SL439P			ADAMTS16	RNF168	MIR2115				TCF20	CYHR1		SNORA27|ENSG00000201807.1	BRAT1	SEC22A	RNA5SP80			STXBP5	
			AURKC	MIR4786	RGS10		RN7SL586P	RCBTB2			RN7SL655P			SLC6A19	SLC51A	RN7SL664P				UPK3A	VPS28		RNA5SP219	SDK1	snoU13|ENSG00000238480.1	MIR1182			RNA5SP222	
			TNNI3		UROS		snoU13|ENSG00000238972.1	ESD			MIR1294			SLC6A18	FBXO45	MIR1226				WNT7B	FAM203A		7SK|ENSG00000271765.1		SNORD112|ENSG00000252170.1	snoU13|ENSG00000238985.1			FBXO30	
			TNNT1		ADAM12		RN7SL683P	MLNR			RN7SL177P			MIR4277	MUC20	CSPG5				CELSR1	EXOSC4		COX5BP2		RN7SL172P	RN7SL837P			STX11	
			ZNF17		UTF1		SNORD56B	GUCY1B2			RNA5SP198			MIR4457	SENP5	RN7SL870P				PPP6R2	SLC39A4		LINC00271		snoU13|ENSG00000238670.1	RNA5SP79			PEX3	
			NCR1		EIF3A		RN7SL77P	HTR2A			RN7SKP232			MIR4456	TCTEX1D2	snoU13|ENSG00000238350.1				ZBED4	ZNF250		RNA5SP218		ARGFX	RN7SL467P			RNA5SP221	
			LILRB2		BUB3		ADAM20P1	KPNA3			ATOX1				SMCO1	snoU13|ENSG00000239128.1				SCO2	PYCRL		snoU13|ENSG00000238631.1		MIR5682	RNA5SP78			ADAT2	
			TRAPPC2P1		BAG3		SYNJ2BP	NEK3			BNIP1				WDR53	snoU13|ENSG00000251938.1				PKDREJ	C8orf33		RN7SL408P		FSTL1	RN7SKP276			VTA1	
			ZNF460		FAM53B		ADAM21P1	PCDH8			CCNG1				ANKRD18DP	PRSS44				NUP50	SLC52A2		SLC2A12		RN7SL397P	TMEM78			GJE1	
			LILRB1		GLRX3		SNORA11|ENSG00000221060.1	RB1			CLTB				NRROS	PRSS45				RABL2B	GSDMD		TBPL1		RN7SL762P	SNORA51|ENSG00000206878.1			RN7SKP106	
			LILRB5		DPYSL4		SLC10A1	SUCLA2			DOCK2				LINC00885	SNORD77|ENSG00000251967.1				PACSIN2	ARHGAP39		LINC00326		COX17	RNA5SP18			RNA5SP220	
			LILRB4		TACC2		CCDC177|ENSG00000267909.1	ITM2B			DRD1				MIR570	LUZPP1				GRAMD4	ZNF34		SNORA33|ENSG00000200534.1		TIMMDC1	RNA5S17			MIR3145	
			LILRA1		PRDX3		CCDC177|ENSG00000255994.1	UTP14C			DUSP1				MIR922	RTP3				TTLL12	SHARPIN		SNORD100		LINC00901	RNA5S16			HEBP2	
			LILRB3		ATE1		ERH	LPAR6			EBF1					RN7SL145P				MLC1	SCRT1		SNORD101		TUSC7	RNA5S15			SNORD112|ENSG00000252476.1	
			LILRA3		SEC23IP		RN7SL224P	TRIM13			FABP6					LIMD1				KIAA0930	MAF1		RPS12		RN7SL582P	RNA5S14			SNORA27|ENSG00000201807.1	
			LILRA2		INPP5F		RN7SL108P	DLEU1			FOXI1					U3|ENSG00000202268.1				MAPK8IP2	PARP10		TAAR3		LINC00903	RNA5S13			RNA5SP219	
			U2AF2		FAM175B		RN7SL706P	OLFM4			GABRA1					ZDHHC3				PLXNB2	TIGD5		STX7		RN7SL815P	RNA5S12			7SK|ENSG00000271765.1	
			PPP6R1		C10orf137		RN7SL213P	LECT1			GABRA6					MIR564				BRD1	PPP1R16A		RN7SKP245		RN7SL767P	RNA5S11			COX5BP2	
			LILRA4		VENTX		U3|ENSG00000252792.1	FNDC3A			GABRB2					ZNF660				TBC1D22A	ZNF251		snoU13|ENSG00000238938.1		MIR4446	RNA5S10			LINC00271	
			ZIM2		CUZD1		RN7SL369P	LRCH1			GABRG2					ZNF852				TTLL1	KIFC2		KIAA0408		SNORD112|ENSG00000253076.1	RNA5S9			RNA5SP218	
			HSPBP1		CALY		ATP6V1D	INTS6			GABRP					LINC00694				SAMM50	NAPRT1		SOGA3		SLC35A5	RNA5S8			snoU13|ENSG00000238631.1	
			PRPF31		CHST15		MIR4706	CKAP2			GLRA1					ABHD5				ATXN10	MFSD3		RNA5SP217		MIR567	RNA5S7			RN7SL408P	
			UBE2S		ZRANB1		FNTB	PCDH17			GRIA1					ALAS1				FAM19A5	ADCK5		RSPO3		PVRL3	RNA5S6			SLC2A12	
			TFPT		TTC40		ZBTB25	MED4			HMMR					AMT				SULT4A1	MAPK15		PRELID1P1		RNU6ATAC15P	RNA5S5			TBPL1	
			EPN1		NSMCE4A		U3|ENSG00000200693.1	VPS36			HRH2					APEH				RIBC2	ZNF707		RNA5SP216		LINC00488	RNA5S4			LINC00326	
			ZNF580		WDR11		WDR89	PHF11			IL12B					RHOA				ARFGAP3	FAM83H		RN7SKP56		U3|ENSG00000221633.1	RNA5S3			SNORA33|ENSG00000200534.1	
			GP6		DHX32		SCARNA20|ENSG00000252800.1	RCBTB1			ITK					CACNA1D				SMC1B	NRBP2		CLVS2		SNORA70|ENSG00000202379.1	RNA5S2			SNORD100	
			ZNF581		BCCIP		RN7SL540P	NUDT15			MFAP3					SLC25A20				MCAT	ZNF517		RN7SL564P		LINC00636	RNA5S1			SNORD101	
			PPP1R12C		PLEKHA1		PPP2R5E	THSD1			MSX2					CAMP				PARVB	KIAA1875		SIGLECP3		LINC00635	RNA5SP19			RPS12	
			EPS8L1		LHPP		GPHB5	CYSLTR2			NPM1					CDC25A				NCAPH2	TMEM249		RNA5SP215		LINC00883	BTNL10			TAAR3	
			ZNF444		IKZF5		LINC00644	SPRYD7			RARS					CISH				GTSE1	SPATC1		MIR548B		LINC00882	RNF187			STX7	
			NLRP2		MCMBP		LINC00643	PCDH20			SGCD					CCR1				A4GALT	MAFA		RN7SKP51		snoU13|ENSG00000238525.1	MIR3620			RN7SKP245	
			NAT14		C10orf88		ACTN1	RNASEH2B			SLIT3					CCR3				MOV10L1	LRRC24		RN7SKP18		snoU13|ENSG00000238312.1	MIR5008			snoU13|ENSG00000238938.1	
			VN1R1		LRRC27		ACYP1	DHRS12			SNCB					CCR5				FAM118A	MROH6		RNA5SP214		SNORA31|ENSG00000252989.1	WNT9A			KIAA0408	
			ZNF304		GPR123		ARG2	TDRD3			SPARC					COL7A1				TTC38	MROH1		FAM26E		NIT2	ZNF678			SOGA3	
			TTYH1		KNDC1		ZFP36L1	CDADC1			STK10					DAG1				MIOX	FAM203B		TSPYL1		SNORD61|ENSG00000238377.1	RNA5SP77			RNA5SP217	
			ZNF471		MTG1		CALM1	CAB39L			TTC1					DOCK3				PRR5	MIR4664		NT5DC1		TMEM30C	RN7SKP165			RSPO3	
			USP29		FANK1		FOXN3	DIAPH3			STC2					DUSP7				TRMU			FRK		LINC00973	snoU13|ENSG00000239094.1			PRELID1P1	
			CACNG8		SYCE1		DIO2	CCDC70			ADAM19					CELSR3				SEPT3			RNA5SP213		OR5H8P	snoU13|ENSG00000238545.1			ACAT2	
			CACNG7		PRAP1		DLST	SETDB2			FGF18					GNAI2				PANX2			snoU13|ENSG00000238563.1		OR5AC1	MIR4742			ARG1	
			CACNG6		ZNF511		EIF2S1	EBPL			PTTG1					XCR1				PARVG			U3|ENSG00000253091.1		CRYBG3|ENSG00000080200.5	snoU13|ENSG00000238856.1			CCR6	
			ZNF667		C10orf90		ESR2	ARL11			CNOT8					GPX1				CERK			snoU13|ENSG00000239095.1		CRYBG3|ENSG00000233280.2	MIR320B2			CTGF	
			TSEN34		BTBD16		ESRRB	WDFY2			HAND1					GRM2				EFCAB6			snoU13|ENSG00000239015.1		MTRNR2L12	SNORA72|ENSG00000201898.1			EPB41L2	
			MBOAT7		FAM24A		FOS	PRR20A			MED7					HYAL1				CENPM			C6orf3		MTHFD2P1	RN7SKP49			EYA4	
			ZSCAN5A		PSTK		FUT8	HNRNPA1L2			CLINT1					IMPDH2				CRELD2			KIAA1919		LINC00879	CAPN8			ESR1	
			ZNF419		MMP21		GALC	FAM124A			G3BP1					ITIH1				ADM2			RPF2		NSUN3	snoU13|ENSG00000239054.1			FUCA2	
			ISOC2		CLRN3		GPX2	KCNRG			SLU7					ITIH3				TRABD			snoU13|ENSG00000238775.1		U3|ENSG00000212598.1	RN7SL276P			GRM1	
			BRSK1		SFXN4		GSTZ1	NEK5			CPLX2					ITIH4				PNPLA3			SNORA40|ENSG00000212587.1		ACPP	HLX			HIVEP2	
			SUV420H2		CPXM2		GTF2A1	DLEU2			FAXDC2					LAMB2				HDAC10			RN7SL617P		ADCY5	RNU6ATAC35P			IFNGR1	
			FIZ1		PWWP2B		HSPA2	ALG11			FAM114A2					LTF				LDOC1L			snoU13|ENSG00000238474.1		ADPRH	HDAC1P2			IGF2R	
			GALP		PPAPDC1A		LTBP2	SERPINE3			SOX30					MAP4				POLDIP3			CCDC162P		ALCAM	RN7SL464P			KIF25	
			ZNF628		PAOX		MAX	PRR20B			RNF44					MST1				KIAA1644			C6orf183		ATP6V1A	SNORA36B			LAMA2	
			ZNF835		FAM24B		ATXN3	PRR20C			ATP10B					MST1R				SHANK3			ZNF259P1		CASR	snoU13|ENSG00000238576.1			LPA	
			NLRP12		EBF3		MAP3K9	PRR20D			FAF2					MYL3				TUBGCP6			LINC00222		CBLB	snoU13|ENSG00000238798.1			MAS1	
			MYADM		TCERG1L		ALDH6A1	PRR20E			WWC1					PFKFB4				LMF2			ACAT2		CD80	U3|ENSG00000221673.1			MAP3K4	
			LENG9		FUOM		MTHFD1	MIR759			FBXW11					PLXNB1				SMDT1			AMD1		CD86	RNA5SP76			MAP3K5	
			RDH13		JAKMIP3		PGF	MIR3169			LARP1					PRKAR2A				SERHL			ARG1		CD47	SLC30A10			MLLT4	
			ZIM3		STK32C		PIGH	MIR3613			GEMIN5					PRKCD				PHF21B			COL10A1		COL8A1	U3|ENSG00000212610.1			MYB	
			LENG8		NANOS1		PSEN1	MIR548X2			TSPAN17					PTH1R				KLHDC7B			CTGF		CPOX	C1orf143			NMBR	
			KIR3DL3		HMX3		PSMC1	MIR4703			HAVCR1					QARS				TNFRSF13C			EPB41L2		CSTA	LINC00210			OPRM1	
			ZNF543		ARMS2		ABCD4	MIR5007			CYFIP2					RPL29				FAM109B			EYA4		DRD3	SPATA17			PARK2	
			COX6B2		TEX36		RAD51B	MIR5693			MAT2B					SEMA3F				NFAM1			ESR1		EPHB1	SNORD116|ENSG00000202498.1			PCMT1	
			OSCAR		C10orf120		SEL1L				MRPL22					SMARCC1				PNPLA5			FABP7		GAP43	RN7SL512P			PDCD2	
			NLRP13		FOXI2		SRSF5				TLX3					NEK4				WBP2NL			FOXO3		GATA2	SNORA16B			ENPP1	
			NLRP8		C10orf85		SLC8A3				KCNIP1					TCTA				SERHL2			FUCA2		GOLGB1	RN7SKP98			ENPP3	
			NLRP5		FRG2B		SNAPC1				RPL26L1					TDGF1				ATP5L2			FYN		GP9	MIR3122			PEX7	
			ZNF787		SPRN		SPTB				NOP16					TGM4				C22orf34			GJA1		GPR15	SNORA26|ENSG00000212187.1			PLAGL1	
			ZFP28		MIR202		TSHR				NEURL1B					TKT				LINC00207			GPR6		GSK3B	RN7SL344P			PLG	
			TMEM190		FAM196A		DPF3				CDHR2					CLEC3B				FLJ27365			GRM1		GTF2E1	SLC30A1			PSMB1	
			TMC4		MIR378C		GPR68				SPDL1					TNNC1				LINC00898			HDAC2		HCLS1	ACTA1			PTPRK	
			ZNF524		MIR4682		NUMB				GALNT10					UBA7				IL17REL			HIVEP2		HGD	ACTN2			RPS6KA2	
			ZNF784		MIR4484		ADAM21				NMUR2					USP4				MIRLET7A3			HSF2		ITGB5	PARP1			SGK1	
			NLRP4		LINC00601		ADAM20				KIAA1191					UQCRC1				MIRLET7B			IFNGR1		KPNA1	ADSS			SLC22A1	
			ZNF542				DCAF5				ERGIC1					ZNF35				PIM3			IGF2R		LSAMP	AGT			SLC22A3	
			ZNF582				ALKBH1				TENM2					IFRD2				ODF3B			KPNA5		MCM2	ARF1			SLC22A2	
			ZNF583				EIF2B2				C5orf54					MAPKAPK3				ARHGAP8			LAMA2		CD200	ATF3			SOD2	
			CDC42EP5				PNMA1				RANBP17					MANF				SYCE3			LAMA4		MYLK	CAPN2			T	
			ZNF579				RPS6KA5				CCNJL					BAP1				MIR3201			LPA		NCK1	CENPF			TBP	
			NLRP7				TRIP11				SAP30L					HYAL3				MIR3619			MARCKS		NDUFB4	CHML			TCF21	
			NLRP11				AKAP5				CPEB4					HYAL2				MIR3667			MAN1A1		PCCB	LYST			TCP1	
			TMEM86B				SPTLC2				THOC3					BSN				MIR4763			MAS1		PLXNA1	EPHX1			TCTE3	
			SSC5D				RGS6				HAVCR2					ACKR5				MIR378I			MAP3K4		PPP2R3A	EPRS			DYNLT1	
			ZNF547				KIAA0247				UNC5A					RRP9				MIR4535			MAP3K5		PROS1	ESRRG			THBS2	
			VSTM1				AREL1				BOD1					CACNA2D2							MYB		RHO	FH			TNFAIP3	
			TMEM150B				MED6				TIMD4					IP6K1							NMBR		RPL24	GALNT2			UTRN	
			FAM71E2				GPHN				UBTD2					PARP3							OPRM1		RPN1	GNG4			EZR	
			NLRP9				VTI1B				SFXN1					ZNF197							PARK2		RYK	GUK1			VIP	
			RFPL4A				FBLN5				GPRIN1					RBM6							PCMT1		SLC15A2	H3F3A			EPM2A	
			ZSCAN5B				BATF				PWWP2A					RBM5							ENPP1		SLCO2A1	HNRNPU			RNASET2	
			DNAAF3				NPC2				C1QTNF2					NME6							ENPP3		TF	ITPKB			SYNJ2	
			LILRA5				AHSA1				C5orf47					TRAIP							PEX7		TRH	KCNK1			VNN2	
			ZNF773				ACOT2				UBLCP1					ARIH2							PLAGL1		UPK1B	KCNK2			VNN1	
			ZNF470				TMED10				CREBRF					NPRL2							PLG		CNBP	LBR			TAAR5	
			ZNF749				PTPN21				FAM71B					CXCR6							PLN		ZNF80	LGALS8			MAP7	
			ZNF772				VASH1				RNF145					CCR9							PKIB		ZNF148	MARK1			LATS1	
			TARM1				ZBTB1				HIGD2A					USP19							PTPRK		RAB7A	MTR			TAAR2	
			MIR371A				SNW1				FAM153B					CYB561D2							REV3L		BFSP2	NEK2			MED23	
			MIR372				PCNX				EFCAB9					TMEM115							ROS1		RUVBL1	NID1			QKI	
			MIR373				TTLL5				SH3PXD2B					WDR6							SGK1		B4GALT4	NVL			AKAP7	
			DPRX				SYNE2				KIF4B					RASSF1							SLC22A1		SNX4	PPP2R5A			WTAP	
			MIR498				ANGEL1				NIPAL4					NISCH							SLC22A3		NR1I2	PROX1			AKAP12	
			MIR520E				ZFYVE26				SIMC1					TREX1							SLC22A2		MBD4	PSEN2			PHACTR2	
			MIR519E				TTC9				MIR146A					TUSC2							SMPD2		H1FX	PTPN14			BCLAF1	
			MIR520F				FLRT2				FNDC9					TWF2							SOD2		KALRN	RAB4A			UST	
			MIR519C				PLEKHG3				FAM196B					DHX30							TCF21		STXBP5L	RGS7			CITED2	
			MIR520A				SIPA1L1				C5orf52					SACM1L							TCP1		GUCA1C	RYR2			HBS1L	
