mendelian_disease	cancer	pvalue_onesided	comorbidity	genetic_similarity
Inherited Anomalies of the Skin	Colorectal Cancer	1	1	0
Inherited Anomalies of the Skin	Gastric Cancer	0.512860794312578	0	0
Inherited Anomalies of the Skin	Kidney Cancer	1	1	0
Inherited Anomalies of the Skin	Lung Cancer	0.247255942115842	1	0
Inherited Anomalies of the Skin	Malignant Brain Neoplasm	1	1	0
Inherited Anomalies of the Skin	Melanoma	0.104050541827969	1	0
Inherited Anomalies of the Skin	Prostate Cancer	1	1	0
Inherited Anomalies of the Skin	Uterine Cancer	0.33560443699015	1	0
Lipoprotein Deficiencies	Bladder Cancer	1	1	0
Lipoprotein Deficiencies	Female Breast Cancer	1	1	0
Lipoprotein Deficiencies	Colorectal Cancer	0.0789339038311643	1	0
Lipoprotein Deficiencies	Gastric Cancer	1	1	0
Lipoprotein Deficiencies	Kidney Cancer	1	1	0
Lipoprotein Deficiencies	Lung Cancer	1	1	0
Lipoprotein Deficiencies	Malignant Brain Neoplasm	1	1	0
Lipoprotein Deficiencies	Melanoma	0.0574366966583688	1	0
Lipoprotein Deficiencies	Prostate Cancer	1	1	0
Lipoprotein Deficiencies	Uterine Cancer	1	1	0
Long QT Syndrome	Bladder Cancer	1	1	0
Long QT Syndrome	Female Breast Cancer	1	1	0
Long QT Syndrome	Colorectal Cancer	0.434993252881845	1	0
Long QT Syndrome	Gastric Cancer	0.357590163871594	1	0
Long QT Syndrome	Kidney Cancer	1	1	0
Long QT Syndrome	Lung Cancer	1	1	0
Long QT Syndrome	Malignant Brain Neoplasm	1	1	0
Long QT Syndrome	Melanoma	1	0	0
Long QT Syndrome	Prostate Cancer	1	1	0
Long QT Syndrome	Uterine Cancer	1	1	0
Neurofibromatosis	Bladder Cancer	1	1	0
Neurofibromatosis	Female Breast Cancer	0.0457902888626042	1	1
Neurofibromatosis	Colorectal Cancer	0.00473908951380656	1	1
Neurofibromatosis	Gastric Cancer	1	1	0
Neurofibromatosis	Kidney Cancer	0.00818903986523889	1	1
Neurofibromatosis	Lung Cancer	0.042743887378334	1	1
Neurofibromatosis	Malignant Brain Neoplasm	0.0316344279377198	1	1
Neurofibromatosis	Melanoma	0.016756446242023	1	1
Neurofibromatosis	Prostate Cancer	1	0	0
Neurofibromatosis	Uterine Cancer	0.0609494681346774	0	0
Polycystic Kidney, Autosomal Dominant	Bladder Cancer	1	1	0
Polycystic Kidney, Autosomal Dominant	Female Breast Cancer	1	1	0
Polycystic Kidney, Autosomal Dominant	Colorectal Cancer	1	1	0
Polycystic Kidney, Autosomal Dominant	Gastric Cancer	1	0	0
Polycystic Kidney, Autosomal Dominant	Kidney Cancer	1	1	0
Polycystic Kidney, Autosomal Dominant	Lung Cancer	1	1	0
Polycystic Kidney, Autosomal Dominant	Malignant Brain Neoplasm	1	0	0
Polycystic Kidney, Autosomal Dominant	Melanoma	1	1	0
Polycystic Kidney, Autosomal Dominant	Prostate Cancer	1	1	0
Polycystic Kidney, Autosomal Dominant	Uterine Cancer	1	0	0
Specified Hamartoses	Bladder Cancer	0.0830553173423114	1	0
Specified Hamartoses	Female Breast Cancer	0.110582708720214	1	0
Specified Hamartoses	Colorectal Cancer	0.0412026798559592	1	1
Specified Hamartoses	Gastric Cancer	0.241610630440326	1	0
Specified Hamartoses	Kidney Cancer	0.000164884479832085	1	1
Specified Hamartoses	Lung Cancer	0.103466268015898	1	0
Specified Hamartoses	Malignant Brain Neoplasm	0.0772254451462516	1	0
Specified Hamartoses	Melanoma	0.0413692980874496	1	1
Specified Hamartoses	Prostate Cancer	0.0878910026192874	1	0
Specified Hamartoses	Uterine Cancer	0.145490287899263	0	0
Spinocerebellar Ataxia	Bladder Cancer	0.405830021490511	1	0
Spinocerebellar Ataxia	Female Breast Cancer	1	1	0
Spinocerebellar Ataxia	Colorectal Cancer	0.341705770522188	1	0
Spinocerebellar Ataxia	Gastric Cancer	0.485219898066105	0	0
Spinocerebellar Ataxia	Kidney Cancer	0.116117612049852	1	0
Spinocerebellar Ataxia	Lung Cancer	0.480945671018025	1	0
Spinocerebellar Ataxia	Malignant Brain Neoplasm	1	1	0
Spinocerebellar Ataxia	Melanoma	1	0	0
Spinocerebellar Ataxia	Prostate Cancer	1	1	0
Spinocerebellar Ataxia	Uterine Cancer	0.610926604990276	0	0
Tongue Tie	Bladder Cancer	1	1	0
Tongue Tie	Female Breast Cancer	1	1	0
Tongue Tie	Colorectal Cancer	1	1	0
Tongue Tie	Gastric Cancer	1	0	0
Tongue Tie	Kidney Cancer	1	0	0
Tongue Tie	Lung Cancer	1	1	0
Tongue Tie	Malignant Brain Neoplasm	1	0	0
Tongue Tie	Melanoma	1	1	0
Tongue Tie	Prostate Cancer	1	1	0
Tongue Tie	Uterine Cancer	1	0	0
Androgen Insensitivity Syndrome	Bladder Cancer	1	0	0
Androgen Insensitivity Syndrome	Female Breast Cancer	1	1	0
Androgen Insensitivity Syndrome	Colorectal Cancer	1	0	0
Androgen Insensitivity Syndrome	Gastric Cancer	1	0	0
Androgen Insensitivity Syndrome	Kidney Cancer	1	0	0
Androgen Insensitivity Syndrome	Lung Cancer	1	0	0
Androgen Insensitivity Syndrome	Malignant Brain Neoplasm	1	0	0
Androgen Insensitivity Syndrome	Melanoma	1	0	0
Androgen Insensitivity Syndrome	Prostate Cancer	0.01822903142041	0	1
Androgen Insensitivity Syndrome	Uterine Cancer	1	0	0
Congenital Disorders of Purine/Pyrimidine Metabolism	Bladder Cancer	1	0	0
Congenital Disorders of Purine/Pyrimidine Metabolism	Female Breast Cancer	0.0678947677057599	1	0
Congenital Disorders of Purine/Pyrimidine Metabolism	Colorectal Cancer	1	1	0
Congenital Disorders of Purine/Pyrimidine Metabolism	Gastric Cancer	1	0	0
Congenital Disorders of Purine/Pyrimidine Metabolism	Kidney Cancer	1	1	0
Congenital Disorders of Purine/Pyrimidine Metabolism	Lung Cancer	1	0	0
Congenital Disorders of Purine/Pyrimidine Metabolism	Malignant Brain Neoplasm	1	0	0
Congenital Disorders of Purine/Pyrimidine Metabolism	Melanoma	1	1	0
Congenital Disorders of Purine/Pyrimidine Metabolism	Prostate Cancer	1	1	0
Congenital Disorders of Purine/Pyrimidine Metabolism	Uterine Cancer	1	0	0
Congenital Pigmentary Anomalies	Bladder Cancer	0.114318387654297	0	0
Congenital Pigmentary Anomalies	Female Breast Cancer	1	1	0
Congenital Pigmentary Anomalies	Colorectal Cancer	0.0789339038311643	1	0
Congenital Pigmentary Anomalies	Gastric Cancer	1	0	0
Congenital Pigmentary Anomalies	Kidney Cancer	1	0	0
Congenital Pigmentary Anomalies	Lung Cancer	1	1	0
Congenital Pigmentary Anomalies	Malignant Brain Neoplasm	1	0	0
Congenital Pigmentary Anomalies	Melanoma	0.0574366966583688	1	0
Congenital Pigmentary Anomalies	Prostate Cancer	1	1	0
Congenital Pigmentary Anomalies	Uterine Cancer	1	0	0
Cystic Fibrosis	Bladder Cancer	1	0	0
Cystic Fibrosis	Female Breast Cancer	1	1	0
Cystic Fibrosis	Colorectal Cancer	1	1	0
Cystic Fibrosis	Gastric Cancer	1	0	0
Cystic Fibrosis	Kidney Cancer	1	1	0
Cystic Fibrosis	Lung Cancer	1	1	0
Cystic Fibrosis	Malignant Brain Neoplasm	1	1	0
Cystic Fibrosis	Melanoma	1	1	0
Cystic Fibrosis	Prostate Cancer	1	0	0
Cystic Fibrosis	Uterine Cancer	1	0	0
Disorders of Copper Metabolism	Bladder Cancer	1	0	0
Disorders of Copper Metabolism	Female Breast Cancer	1	1	0
Disorders of Copper Metabolism	Colorectal Cancer	1	1	0
Disorders of Copper Metabolism	Gastric Cancer	1	0	0
Disorders of Copper Metabolism	Kidney Cancer	1	1	0
Disorders of Copper Metabolism	Lung Cancer	1	1	0
Disorders of Copper Metabolism	Malignant Brain Neoplasm	1	1	0
Disorders of Copper Metabolism	Melanoma	1	1	0
Disorders of Copper Metabolism	Prostate Cancer	1	0	0
Disorders of Copper Metabolism	Uterine Cancer	1	0	0
Facial and Skull Anomalies	Bladder Cancer	0.144518659553633	0	0
Facial and Skull Anomalies	Female Breast Cancer	0.190195115376076	1	0
Facial and Skull Anomalies	Colorectal Cancer	0.0199878220826778	1	1
Facial and Skull Anomalies	Gastric Cancer	0.0809604178419679	0	0
Facial and Skull Anomalies	Kidney Cancer	1	0	0
Facial and Skull Anomalies	Lung Cancer	1	1	0
Facial and Skull Anomalies	Malignant Brain Neoplasm	0.134702362170189	1	0
Facial and Skull Anomalies	Melanoma	1	1	0
Facial and Skull Anomalies	Prostate Cancer	0.152623159619517	1	0
Facial and Skull Anomalies	Uterine Cancer	0.00215576276408473	1	1
Glucose-6-Phosphate Dehydrogenase Deficiency	Bladder Cancer	1	0	0
Glucose-6-Phosphate Dehydrogenase Deficiency	Female Breast Cancer	1	1	0
Glucose-6-Phosphate Dehydrogenase Deficiency	Colorectal Cancer	1	1	0
Glucose-6-Phosphate Dehydrogenase Deficiency	Gastric Cancer	1	0	0
Glucose-6-Phosphate Dehydrogenase Deficiency	Kidney Cancer	1	0	0
Glucose-6-Phosphate Dehydrogenase Deficiency	Lung Cancer	0.0216047779797456	1	1
Glucose-6-Phosphate Dehydrogenase Deficiency	Malignant Brain Neoplasm	1	0	0
Glucose-6-Phosphate Dehydrogenase Deficiency	Melanoma	1	0	0
Glucose-6-Phosphate Dehydrogenase Deficiency	Prostate Cancer	1	1	0
Glucose-6-Phosphate Dehydrogenase Deficiency	Uterine Cancer	1	1	0
Li Fraumeni and Related Syndromes	Bladder Cancer	0.000873821540828231	0	1
Li Fraumeni and Related Syndromes	Female Breast Cancer	0.00158133117629263	1	1
Li Fraumeni and Related Syndromes	Colorectal Cancer	0.0003259000943375	1	1
Li Fraumeni and Related Syndromes	Gastric Cancer	0.00836608398780349	1	1
Li Fraumeni and Related Syndromes	Kidney Cancer	4.97300589077133e-05	0	1
Li Fraumeni and Related Syndromes	Lung Cancer	0.00137697906787731	1	1
Li Fraumeni and Related Syndromes	Malignant Brain Neoplasm	0.000752151864056301	1	1
Li Fraumeni and Related Syndromes	Melanoma	0.000209886671172498	1	1
Li Fraumeni and Related Syndromes	Prostate Cancer	0.0536989967477242	0	0
Li Fraumeni and Related Syndromes	Uterine Cancer	0.090018917934279	1	0
Multiple Endocrine Neoplasia Type I	Bladder Cancer	1	0	0
Multiple Endocrine Neoplasia Type I	Female Breast Cancer	1	1	0
Multiple Endocrine Neoplasia Type I	Colorectal Cancer	0.0688652298104389	1	0
Multiple Endocrine Neoplasia Type I	Gastric Cancer	0.0538042066995585	1	0
Multiple Endocrine Neoplasia Type I	Kidney Cancer	1	1	0
Multiple Endocrine Neoplasia Type I	Lung Cancer	1	1	0
Multiple Endocrine Neoplasia Type I	Malignant Brain Neoplasm	1	1	0
Multiple Endocrine Neoplasia Type I	Melanoma	1	0	0
Multiple Endocrine Neoplasia Type I	Prostate Cancer	1	0	0
Multiple Endocrine Neoplasia Type I	Uterine Cancer	1	0	0
Non-Specified Osteodystrophy	Bladder Cancer	1	0	0
Non-Specified Osteodystrophy	Female Breast Cancer	1	1	0
Non-Specified Osteodystrophy	Colorectal Cancer	0.132991370107071	0	0
Non-Specified Osteodystrophy	Gastric Cancer	1	0	0
Non-Specified Osteodystrophy	Kidney Cancer	1	0	0
Non-Specified Osteodystrophy	Lung Cancer	1	1	0
Non-Specified Osteodystrophy	Malignant Brain Neoplasm	0.0316344279377198	1	1
Non-Specified Osteodystrophy	Melanoma	1	0	0
Non-Specified Osteodystrophy	Prostate Cancer	1	0	0
Non-Specified Osteodystrophy	Uterine Cancer	1	0	0
Pervasive, Specified Congenital Anomalies	Bladder Cancer	0.121167082422612	0	0
Pervasive, Specified Congenital Anomalies	Female Breast Cancer	0.0467672471009863	1	1
Pervasive, Specified Congenital Anomalies	Colorectal Cancer	0.000465925311493073	0	1
Pervasive, Specified Congenital Anomalies	Gastric Cancer	0.568663620507131	0	0
Pervasive, Specified Congenital Anomalies	Kidney Cancer	1	1	0
Pervasive, Specified Congenital Anomalies	Lung Cancer	0.174489879951294	0	0
Pervasive, Specified Congenital Anomalies	Malignant Brain Neoplasm	0.430521726690457	1	0
Pervasive, Specified Congenital Anomalies	Melanoma	0.00314027763906832	0	1
Pervasive, Specified Congenital Anomalies	Prostate Cancer	1	1	0
Pervasive, Specified Congenital Anomalies	Uterine Cancer	0.0222658512170768	0	1
Phenylketonuria	Bladder Cancer	1	0	0
Phenylketonuria	Female Breast Cancer	1	1	0
Phenylketonuria	Colorectal Cancer	1	0	0
Phenylketonuria	Gastric Cancer	1	0	0
Phenylketonuria	Kidney Cancer	1	0	0
Phenylketonuria	Lung Cancer	1	0	0
Phenylketonuria	Malignant Brain Neoplasm	1	0	0
Phenylketonuria	Melanoma	1	0	0
Phenylketonuria	Prostate Cancer	1	0	0
Phenylketonuria	Uterine Cancer	1	0	0
Retinitis Pigmentosa	Bladder Cancer	1	0	0
Retinitis Pigmentosa	Female Breast Cancer	0.322921553495471	1	0
Retinitis Pigmentosa	Colorectal Cancer	0.678631343936008	1	0
Retinitis Pigmentosa	Gastric Cancer	0.93726979027126	0	0
Retinitis Pigmentosa	Kidney Cancer	1	0	0
Retinitis Pigmentosa	Lung Cancer	1	1	0
Retinitis Pigmentosa	Malignant Brain Neoplasm	1	0	0
Retinitis Pigmentosa	Melanoma	0.344915018026839	1	0
Retinitis Pigmentosa	Prostate Cancer	1	1	0
Retinitis Pigmentosa	Uterine Cancer	0.792815144625726	0	0
Sensory Retina Dystropies	Bladder Cancer	1	0	0
Sensory Retina Dystropies	Female Breast Cancer	1	1	0
Sensory Retina Dystropies	Colorectal Cancer	1	0	0
Sensory Retina Dystropies	Gastric Cancer	1	0	0
Sensory Retina Dystropies	Kidney Cancer	1	0	0
Sensory Retina Dystropies	Lung Cancer	1	0	0
Sensory Retina Dystropies	Malignant Brain Neoplasm	1	0	0
Sensory Retina Dystropies	Melanoma	1	0	0
Sensory Retina Dystropies	Prostate Cancer	1	0	0
Sensory Retina Dystropies	Uterine Cancer	1	0	0
Severe Combined Immunodeficiency	Bladder Cancer	1	0	0
Severe Combined Immunodeficiency	Female Breast Cancer	1	1	0
Severe Combined Immunodeficiency	Colorectal Cancer	7.60609897023377e-05	1	1
Severe Combined Immunodeficiency	Gastric Cancer	0.231887778268743	0	0
Severe Combined Immunodeficiency	Kidney Cancer	1	1	0
Severe Combined Immunodeficiency	Lung Cancer	1	1	0
Severe Combined Immunodeficiency	Malignant Brain Neoplasm	1	1	0
Severe Combined Immunodeficiency	Melanoma	1	1	0
Severe Combined Immunodeficiency	Prostate Cancer	1	0	0
Severe Combined Immunodeficiency	Uterine Cancer	1	0	0
Sickle Cell Anemia	Bladder Cancer	1	0	0
Sickle Cell Anemia	Female Breast Cancer	1	1	0
Sickle Cell Anemia	Colorectal Cancer	1	1	0
Sickle Cell Anemia	Gastric Cancer	1	1	0
Sickle Cell Anemia	Kidney Cancer	1	1	0
Sickle Cell Anemia	Lung Cancer	1	1	0
Sickle Cell Anemia	Malignant Brain Neoplasm	1	1	0
Sickle Cell Anemia	Melanoma	1	1	0
Sickle Cell Anemia	Prostate Cancer	1	1	0
Sickle Cell Anemia	Uterine Cancer	1	0	0
Specific Nail Anomalies	Bladder Cancer	1	0	0
Specific Nail Anomalies	Female Breast Cancer	1	1	0
Specific Nail Anomalies	Colorectal Cancer	1	0	0
Specific Nail Anomalies	Gastric Cancer	1	0	0
Specific Nail Anomalies	Kidney Cancer	1	0	0
Specific Nail Anomalies	Lung Cancer	1	0	0
Specific Nail Anomalies	Malignant Brain Neoplasm	1	0	0
Specific Nail Anomalies	Melanoma	1	1	0
Specific Nail Anomalies	Prostate Cancer	1	0	0
Specific Nail Anomalies	Uterine Cancer	1	0	0
Thalassemia	Bladder Cancer	1	0	0
Thalassemia	Female Breast Cancer	1	1	0
Thalassemia	Colorectal Cancer	1	1	0
Thalassemia	Gastric Cancer	1	1	0
Thalassemia	Kidney Cancer	1	1	0
Thalassemia	Lung Cancer	1	1	0
Thalassemia	Malignant Brain Neoplasm	1	1	0
Thalassemia	Melanoma	1	0	0
Thalassemia	Prostate Cancer	1	1	0
Thalassemia	Uterine Cancer	1	0	0
Congenital Hirschsprung Disease	Bladder Cancer	1	0	0
Congenital Hirschsprung Disease	Female Breast Cancer	1	0	0
Congenital Hirschsprung Disease	Colorectal Cancer	1	1	0
Congenital Hirschsprung Disease	Gastric Cancer	0.152891205252324	0	0
Congenital Hirschsprung Disease	Kidney Cancer	1	0	0
Congenital Hirschsprung Disease	Lung Cancer	1	0	0
