complex_disease	mendelian_disease	comorbidity
Acquired Hypothyroidism	Specific Nail Anomalies	1
Acquired Hypothyroidism	Specified Anomalies of the Musculoskeletal System	1
Acquired Hypothyroidism	Specified Hamartoses	1
Acquired Hypothyroidism	Spinocerebellar Ataxia	1
Acquired Hypothyroidism	Systemic Primary Carnitine Deficiency	1
Acquired Hypothyroidism	Thalassemia	1
Acquired Hypothyroidism	Tongue Tie	1
Acquired Hypothyroidism	Tuberous Sclerosis	1
Acquired Hypothyroidism	Velo-Cardio-Facial Syndrome	1
Acute Glomerulonephritis	Cerebral Degeneration Due to Generalized Lipidoses	1
Acute Glomerulonephritis	Chronic Granulomatous Disease	1
Acute Glomerulonephritis	Combined Heart and Skeletal Defects	1
Acute Glomerulonephritis	Disorders of Phosphorous Metabolism	1
Acute Glomerulonephritis	Genetic Anomalies of Leukocytes	1
Acute Glomerulonephritis	Glycogenosis	1
Acute Glomerulonephritis	Haemophilia	1
Acute Glomerulonephritis	Hereditary Sensory Neuropathy	1
Acute Glomerulonephritis	Inherited Anomalies of the Skin	1
Acute Glomerulonephritis	Lipoprotein Deficiencies	1
Acute Glomerulonephritis	Long QT Syndrome	1
Acute Glomerulonephritis	Pervasive, Specified Congenital Anomalies	1
Acute Glomerulonephritis	Polycystic Kidney, Autosomal Dominant	1
Acute Glomerulonephritis	Severe Combined Immunodeficiency	1
Acute Glomerulonephritis	Sickle Cell Anemia	1
Acute Glomerulonephritis	Thalassemia	1
Acute Glomerulonephritis	Wiskott-Aldrich Syndrome	1
Acute Myocardial Infarction	Cerebral Degeneration Due to Generalized Lipidoses	1
Acute Myocardial Infarction	Chronic Granulomatous Disease	1
Acute Myocardial Infarction	Circulating Enzyme Deficiencies	1
Acute Myocardial Infarction	Combined Heart and Skeletal Defects	1
Acute Myocardial Infarction	Congenital Disorders of Purine/Pyrimidine Metabolism	1
Acute Myocardial Infarction	Congenital Ichthyosis	1
Acute Myocardial Infarction	Congenital Pigmentary Anomalies	1
Acute Myocardial Infarction	Degenerative Diseases of the Basal Ganglia	1
Acute Myocardial Infarction	Diamond-Blackfan Anemia	1
Acute Myocardial Infarction	Disorders of Aromatic Amino Acid Metabolism	1
Acute Myocardial Infarction	Disorders of Copper Metabolism	1
Acute Myocardial Infarction	Disorders of Phosphorous Metabolism	1
Acute Myocardial Infarction	Disorders of Straight Chain Amino Acid Metabolism	1
Acute Myocardial Infarction	Disorders of Urea Cycle Metabolism	1
Acute Myocardial Infarction	Dopa-Responsive Dystonia	1
Acute Myocardial Infarction	Erythromelalgia	1
Acute Myocardial Infarction	Facial and Skull Anomalies	1
Acute Myocardial Infarction	Friedreich Ataxia	1
Acute Myocardial Infarction	Genetic Anomalies of Leukocytes	1
Acute Myocardial Infarction	Glucose-6-Phosphate Dehydrogenase Deficiency	1
Acute Myocardial Infarction	Glycogenosis	1
Acute Myocardial Infarction	Haemophilia	1
Acute Myocardial Infarction	Hereditary Hemorrhagic Telangiectasia	1
Acute Myocardial Infarction	Hereditary Muscular Dystrophy	1
Acute Myocardial Infarction	Hereditary Sensory Neuropathy	1
Acute Myocardial Infarction	Holoprosencephaly	1
Acute Myocardial Infarction	Huntington Disease	1
Acute Myocardial Infarction	Hypopituitarism	1
Acute Myocardial Infarction	Immunodeficiency with Increased IgM	1
Acute Myocardial Infarction	Inherited Adrenogenital Disorders	1
Acute Myocardial Infarction	Inherited Anomalies of the Skin	1
Acute Myocardial Infarction	Lipoprotein Deficiencies	1
Acute Myocardial Infarction	Long QT Syndrome	1
Acute Myocardial Infarction	Marfan Syndrome	1
Acute Myocardial Infarction	Neurofibromatosis	1
Acute Myocardial Infarction	Non-Specified Osteodystrophy	1
Acute Myocardial Infarction	Osteogenesis Imperfecta	1
Acute Myocardial Infarction	Other Specified Disorders of Amino Acid Metabolism	1
Acute Myocardial Infarction	Pervasive, Specified Congenital Anomalies	1
Acute Myocardial Infarction	Phenylketonuria	1
Acute Myocardial Infarction	Polycystic Kidney, Autosomal Dominant	1
Acute Myocardial Infarction	Retinitis Pigmentosa	1
Acute Myocardial Infarction	Severe Combined Immunodeficiency	1
Acute Myocardial Infarction	Sickle Cell Anemia	1
Acute Myocardial Infarction	Specific Nail Anomalies	1
Acute Myocardial Infarction	Specified Anomalies of the Musculoskeletal System	1
Acute Myocardial Infarction	Specified Hamartoses	1
Acute Myocardial Infarction	Spinocerebellar Ataxia	1
Acute Myocardial Infarction	Thalassemia	1
Acute Myocardial Infarction	Tongue Tie	1
Addisons Disease	Androgen Insensitivity Syndrome	1
Addisons Disease	Anophthalmos/Micropthalmos	1
Addisons Disease	Autoimmune Lymphoproliferative Syndrome	1
Addisons Disease	Autoimmune Polyglandular Syndrome	1
Addisons Disease	Bartter Syndrome	1
Addisons Disease	Cerebral Degeneration Due to Generalized Lipidoses	1
Addisons Disease	Chondrodystrophy	1
Addisons Disease	Chronic Granulomatous Disease	1
Addisons Disease	Circulating Enzyme Deficiencies	1
Addisons Disease	Combined Heart and Skeletal Defects	1
Addisons Disease	Congenital Disorders of Purine/Pyrimidine Metabolism	1
Addisons Disease	Congenital Hirschsprung Disease	1
Addisons Disease	Congenital Hydrocephalus	1
Addisons Disease	Congenital Hypogammaglobulinemia	1
Addisons Disease	Congenital Ichthyosis	1
Addisons Disease	Congenital Pigmentary Anomalies	1
Addisons Disease	Cystic Fibrosis	1
Addisons Disease	Degenerative Diseases of the Basal Ganglia	1
Addisons Disease	Diamond-Blackfan Anemia	1
Addisons Disease	Disorders of Aromatic Amino Acid Metabolism	1
Addisons Disease	Disorders of Branched Chain Amino Acid Metabolism	1
Addisons Disease	Disorders of Copper Metabolism	1
Addisons Disease	Disorders of Fatty Acid Oxidation	1
Addisons Disease	Disorders of Phosphorous Metabolism	1
Addisons Disease	Disorders of Straight Chain Amino Acid Metabolism	1
Addisons Disease	Disorders of Urea Cycle Metabolism	1
Addisons Disease	Dopa-Responsive Dystonia	1
Addisons Disease	Erythromelalgia	1
Addisons Disease	Facial and Skull Anomalies	1
Addisons Disease	Familial Dysautonomia	1
Addisons Disease	Friedreich Ataxia	1
Addisons Disease	Genetic Anomalies of Leukocytes	1
Addisons Disease	Glucose-6-Phosphate Dehydrogenase Deficiency	1
Addisons Disease	Glycogenosis	1
Addisons Disease	Haemophilia	1
Addisons Disease	Hereditary Hemorrhagic Telangiectasia	1
Addisons Disease	Hereditary Muscular Dystrophy	1
Addisons Disease	Hereditary Sensory Neuropathy	1
Addisons Disease	Hereditary Thrombocytopenic Purpura	1
Addisons Disease	Holoprosencephaly	1
Addisons Disease	Hypopituitarism	1
Addisons Disease	Immunodeficiency with Increased IgM	1
Addisons Disease	Indeterminate Sex and Pseudohermaphroditism	1
Addisons Disease	Inherited Adrenogenital Disorders	1
Addisons Disease	Inherited Anomalies of the Skin	1
Addisons Disease	Li Fraumeni and Related Syndromes	1
Addisons Disease	Lipoprotein Deficiencies	1
Addisons Disease	Long QT Syndrome	1
Addisons Disease	Marfan Syndrome	1
Addisons Disease	Multiple Endocrine Neoplasia Type I	1
Addisons Disease	Multiple Endocrine Neoplasia Type IIA	1
Addisons Disease	Neurofibromatosis	1
Addisons Disease	Non-Specified Osteodystrophy	1
Addisons Disease	Osteogenesis Imperfecta	1
Addisons Disease	Other Specified Disorders of Amino Acid Metabolism	1
Addisons Disease	Peroxisomal Disorders	1
Addisons Disease	Pervasive, Specified Congenital Anomalies	1
Addisons Disease	Polycystic Kidney, Autosomal Dominant	1
Addisons Disease	Retinitis Pigmentosa	1
Addisons Disease	Rett Syndrome	1
Addisons Disease	Sensory Retina Dystropies	1
Addisons Disease	Severe Combined Immunodeficiency	1
Addisons Disease	Sickle Cell Anemia	1
Addisons Disease	Specified Hamartoses	1
Addisons Disease	Spinocerebellar Ataxia	1
Addisons Disease	Systemic Primary Carnitine Deficiency	1
Addisons Disease	Thalassemia	1
Addisons Disease	Tuberous Sclerosis	1
Alopecia Areata	Autoimmune Lymphoproliferative Syndrome	1
Alopecia Areata	Autoimmune Polyglandular Syndrome	1
Alopecia Areata	Cerebral Degeneration Due to Generalized Lipidoses	1
Alopecia Areata	Combined Heart and Skeletal Defects	1
Alopecia Areata	Congenital Ichthyosis	1
Alopecia Areata	Congenital Pigmentary Anomalies	1
Alopecia Areata	Cystic Fibrosis	1
Alopecia Areata	Disorders of Phosphorous Metabolism	1
Alopecia Areata	Disorders of Straight Chain Amino Acid Metabolism	1
Alopecia Areata	Dopa-Responsive Dystonia	1
Alopecia Areata	Genetic Anomalies of Leukocytes	1
Alopecia Areata	Haemophilia	1
Alopecia Areata	Hereditary Hemorrhagic Telangiectasia	1
Alopecia Areata	Hereditary Sensory Neuropathy	1
Alopecia Areata	Hypopituitarism	1
Alopecia Areata	Inherited Adrenogenital Disorders	1
Alopecia Areata	Inherited Anomalies of the Skin	1
Alopecia Areata	Lipoprotein Deficiencies	1
Alopecia Areata	Pervasive, Specified Congenital Anomalies	1
Alopecia Areata	Severe Combined Immunodeficiency	1
Alopecia Areata	Sickle Cell Anemia	1
Alopecia Areata	Specific Nail Anomalies	1
Alopecia Areata	Specified Hamartoses	1
Alopecia Areata	Thalassemia	1
Alzheimers Disease	Cerebral Degeneration Due to Generalized Lipidoses	1
Alzheimers Disease	Cerebral Lipidoses	1
Alzheimers Disease	Chronic Granulomatous Disease	1
Alzheimers Disease	Combined Heart and Skeletal Defects	1
Alzheimers Disease	Congenital Hydrocephalus	1
Alzheimers Disease	Congenital Ichthyosis	1
Alzheimers Disease	Degenerative Diseases of the Basal Ganglia	1
Alzheimers Disease	Disorders of Copper Metabolism	1
Alzheimers Disease	Disorders of Phosphorous Metabolism	1
Alzheimers Disease	Disorders of Straight Chain Amino Acid Metabolism	1
Alzheimers Disease	Disorders of Urea Cycle Metabolism	1
Alzheimers Disease	Dopa-Responsive Dystonia	1
Alzheimers Disease	Friedreich Ataxia	1
Alzheimers Disease	Haemophilia	1
Alzheimers Disease	Hereditary Sensory Neuropathy	1
Alzheimers Disease	Huntington Disease	1
Alzheimers Disease	Inherited Anomalies of the Skin	1
Alzheimers Disease	Lipoprotein Deficiencies	1
Alzheimers Disease	Long QT Syndrome	1
Alzheimers Disease	Spinocerebellar Ataxia	1
Anxiety	Androgen Insensitivity Syndrome	1
Anxiety	Anophthalmos/Micropthalmos	1
Anxiety	Autoimmune Lymphoproliferative Syndrome	1
Anxiety	Autoimmune Polyglandular Syndrome	1
Anxiety	Bartter Syndrome	1
Anxiety	Cerebral Degeneration Due to Generalized Lipidoses	1
Anxiety	Cerebral Lipidoses	1
Anxiety	Chondrodystrophy	1
Anxiety	Chronic Granulomatous Disease	1
Anxiety	Circulating Enzyme Deficiencies	1
Anxiety	Combined Heart and Skeletal Defects	1
Anxiety	Congenital Disorders of Purine/Pyrimidine Metabolism	1
Anxiety	Congenital Ectodermal Dysplasia	1
Anxiety	Congenital Hydrocephalus	1
Anxiety	Congenital Hypogammaglobulinemia	1
Anxiety	Congenital Ichthyosis	1
Anxiety	Congenital Pigmentary Anomalies	1
Anxiety	Cystic Fibrosis	1
Anxiety	Degenerative Diseases of the Basal Ganglia	1
Anxiety	Diamond-Blackfan Anemia	1
Anxiety	Disorders of Aromatic Amino Acid Metabolism	1
Anxiety	Disorders of Branched Chain Amino Acid Metabolism	1
Anxiety	Disorders of Copper Metabolism	1
Anxiety	Disorders of Fatty Acid Oxidation	1
Anxiety	Disorders of Phosphorous Metabolism	1
Anxiety	Disorders of Straight Chain Amino Acid Metabolism	1
Anxiety	Disorders of Urea Cycle Metabolism	1
Anxiety	Dopa-Responsive Dystonia	1
Anxiety	Erythromelalgia	1
Anxiety	Facial and Skull Anomalies	1
Anxiety	Familial Dysautonomia	1
Anxiety	Familial Mediterranean Fever	1
Anxiety	Fragile-X Syndrome	1
Anxiety	Friedreich Ataxia	1
Anxiety	Genetic Anomalies of Leukocytes	1
Anxiety	Glucose-6-Phosphate Dehydrogenase Deficiency	1
Anxiety	Glycogenosis	1
Anxiety	Haemophilia	1
Anxiety	Hereditary Hemorrhagic Telangiectasia	1
Anxiety	Hereditary Muscular Dystrophy	1
Anxiety	Hereditary Sensory Neuropathy	1
Anxiety	Holoprosencephaly	1
Anxiety	Huntington Disease	1
Anxiety	Hypopituitarism	1
Anxiety	Immunodeficiency with Increased IgM	1
Anxiety	Inherited Adrenogenital Disorders	1
Anxiety	Inherited Anomalies of the Skin	1
Anxiety	Li Fraumeni and Related Syndromes	1
Anxiety	Lipoprotein Deficiencies	1
Anxiety	Long QT Syndrome	1
Anxiety	Marfan Syndrome	1
Anxiety	Multiple Endocrine Neoplasia Type I	1
Anxiety	Multiple Endocrine Neoplasia Type IIA	1
Anxiety	Neurofibromatosis	1
Anxiety	Non-Specified Osteodystrophy	1
Anxiety	Osteogenesis Imperfecta	1
Anxiety	Other Specified Disorders of Amino Acid Metabolism	1
Anxiety	Pervasive, Specified Congenital Anomalies	1
Anxiety	Phenylketonuria	1
Anxiety	Polycystic Kidney, Autosomal Dominant	1
Anxiety	Retinitis Pigmentosa	1
Anxiety	Sensory Retina Dystropies	1
Anxiety	Severe Combined Immunodeficiency	1
Anxiety	Sickle Cell Anemia	1
Anxiety	Specific Nail Anomalies	1
Anxiety	Specified Anomalies of the Musculoskeletal System	1
Anxiety	Specified Hamartoses	1
Anxiety	Spinocerebellar Ataxia	1
Anxiety	Systemic Primary Carnitine Deficiency	1
Anxiety	Thalassemia	1
Anxiety	Tongue Tie	1
Anxiety	Tuberous Sclerosis	1
Anxiety	Velo-Cardio-Facial Syndrome	1
Asthma	Achromatopsia	1
Asthma	Androgen Insensitivity Syndrome	1
Asthma	Anophthalmos/Micropthalmos	1
Asthma	Anterior Eye Anomalies	1
Asthma	Autoimmune Lymphoproliferative Syndrome	1
Asthma	Autoimmune Polyglandular Syndrome	1
Asthma	Bartter Syndrome	1
Asthma	Cerebral Degeneration Due to Generalized Lipidoses	1
Asthma	Cerebral Lipidoses	1
Asthma	Chondrodystrophy	1
Asthma	Chronic Granulomatous Disease	1
Asthma	Chronic Progressive External Ophthalmoplegia	1
Asthma	Circulating Enzyme Deficiencies	1
Asthma	Combined Heart and Skeletal Defects	1
Asthma	Congenital Disorders of Purine/Pyrimidine Metabolism	1
Asthma	Congenital Ectodermal Dysplasia	1
Asthma	Congenital Fistula of the Lip	1
Asthma	Congenital Hirschsprung Disease	1
Asthma	Congenital Hydrocephalus	1
Asthma	Congenital Hypogammaglobulinemia	1
Asthma	Congenital Ichthyosis	1
Asthma	Congenital Pigmentary Anomalies	1
Asthma	Cri-Du-Chat Syndrome	1
Asthma	Cystic Fibrosis	1
Asthma	Degenerative Diseases of the Basal Ganglia	1
Asthma	Diamond-Blackfan Anemia	1
Asthma	Disorders of Aromatic Amino Acid Metabolism	1
Asthma	Disorders of Branched Chain Amino Acid Metabolism	1
Asthma	Disorders of Copper Metabolism	1
Asthma	Disorders of Fatty Acid Oxidation	1
Asthma	Disorders of Phosphorous Metabolism	1
Asthma	Disorders of Straight Chain Amino Acid Metabolism	1
Asthma	Disorders of Urea Cycle Metabolism	1
Asthma	Dopa-Responsive Dystonia	1
Asthma	Erythromelalgia	1
Asthma	Facial and Skull Anomalies	1
Asthma	Familial Dysautonomia	1
Asthma	Familial Mediterranean Fever	1
Asthma	Fragile-X Syndrome	1
Asthma	Friedreich Ataxia	1
Asthma	Genetic Anomalies of Leukocytes	1
Asthma	Glucose-6-Phosphate Dehydrogenase Deficiency	1
Asthma	Glycogenosis	1
Asthma	Haemophilia	1
Asthma	Hereditary Color Blindness	1
Asthma	Hereditary Hemorrhagic Telangiectasia	1
Asthma	Hereditary Muscular Dystrophy	1
Asthma	Hereditary Sensory Neuropathy	1
Asthma	Hereditary Thrombocytopenic Purpura	1
Asthma	Holoprosencephaly	1
Asthma	Huntington Disease	1
Asthma	Hypopituitarism	1
Asthma	Immunodeficiency with Increased IgM	1
Asthma	Indeterminate Sex and Pseudohermaphroditism	1
Asthma	Inherited Adrenogenital Disorders	1
Asthma	Inherited Anomalies of the Skin	1
Asthma	Li Fraumeni and Related Syndromes	1
Asthma	Lipoprotein Deficiencies	1
Asthma	Long QT Syndrome	1
Asthma	Marfan Syndrome	1
Asthma	Multiple Endocrine Neoplasia Type I	1
Asthma	Neurofibromatosis	1
Asthma	Non-Specific Autosomal Deletion Syndromes	1
Asthma	Non-Specified Osteodystrophy	1
Asthma	Osteogenesis Imperfecta	1
Asthma	Other Specified Disorders of Amino Acid Metabolism	1
Asthma	Peroxisomal Disorders	1
Asthma	Pervasive, Specified Congenital Anomalies	1
Asthma	Phenylketonuria	1
Asthma	Polycystic Kidney, Autosomal Dominant	1
Asthma	Retinitis Pigmentosa	1
Asthma	Rett Syndrome	1
Asthma	Sensory Retina Dystropies	1
Asthma	Severe Combined Immunodeficiency	1
Asthma	Sickle Cell Anemia	1
Asthma	Smith-Magenis Syndrome	1
Asthma	Specific Nail Anomalies	1
Asthma	Specified Anomalies of the Musculoskeletal System	1
Asthma	Specified Hamartoses	1
Asthma	Spinocerebellar Ataxia	1
Asthma	Systemic Primary Carnitine Deficiency	1
Asthma	Thalassemia	1
Asthma	Tongue Tie	1
Asthma	Tuberous Sclerosis	1
Asthma	Velo-Cardio-Facial Syndrome	1
Asthma	Wiskott-Aldrich Syndrome	1
Autism	Anophthalmos/Micropthalmos	1
Autism	Anterior Eye Anomalies	1
Autism	Chondrodystrophy	1
Autism	Circulating Enzyme Deficiencies	1
Autism	Combined Heart and Skeletal Defects	1
Autism	Congenital Ectodermal Dysplasia	1
Autism	Congenital Hirschsprung Disease	1
Autism	Congenital Hydrocephalus	1
Autism	Congenital Hypogammaglobulinemia	1
Autism	Congenital Pigmentary Anomalies	1
Autism	Cri-Du-Chat Syndrome	1
Autism	Cystic Fibrosis	1
Autism	Degenerative Diseases of the Basal Ganglia	1
Autism	Disorders of Aromatic Amino Acid Metabolism	1
Autism	Disorders of Branched Chain Amino Acid Metabolism	1
Autism	Disorders of Copper Metabolism	1
Autism	Disorders of Fatty Acid Oxidation	1
Autism	Disorders of Phosphorous Metabolism	1
Autism	Disorders of Urea Cycle Metabolism	1
Autism	Dopa-Responsive Dystonia	1
Autism	Facial and Skull Anomalies	1
Autism	Familial Dysautonomia	1
Autism	Familial Mediterranean Fever	1
Autism	Fragile-X Syndrome	1
Autism	Haemophilia	1
Autism	Hereditary Muscular Dystrophy	1
Autism	Hereditary Sensory Neuropathy	1
Autism	Holoprosencephaly	1
Autism	Hypopituitarism	1
Autism	Immunodeficiency with Increased IgM	1
Autism	Inherited Adrenogenital Disorders	1
Autism	Inherited Anomalies of the Skin	1
Autism	Long QT Syndrome	1
Autism	Marfan Syndrome	1
Autism	Neurofibromatosis	1
Autism	Non-Specific Autosomal Deletion Syndromes	1
Autism	Non-Specified Osteodystrophy	1
Autism	Other Specified Disorders of Amino Acid Metabolism	1
Autism	Pervasive, Specified Congenital Anomalies	1
Autism	Phenylketonuria	1
Autism	Retinitis Pigmentosa	1
Autism	Rett Syndrome	1
Autism	Severe Combined Immunodeficiency	1
Autism	Sickle Cell Anemia	1
Autism	Smith-Magenis Syndrome	1
Autism	Specified Anomalies of the Musculoskeletal System	1
Autism	Specified Hamartoses	1
Autism	Spinocerebellar Ataxia	1
Autism	Systemic Primary Carnitine Deficiency	1
Autism	Tongue Tie	1
Autism	Tuberous Sclerosis	1
Autism	Velo-Cardio-Facial Syndrome	1
Benign Brain Neoplasm	Anophthalmos/Micropthalmos	1
Benign Brain Neoplasm	Autoimmune Lymphoproliferative Syndrome	1
Benign Brain Neoplasm	Cerebral Degeneration Due to Generalized Lipidoses	1
Benign Brain Neoplasm	Chondrodystrophy	1
Benign Brain Neoplasm	Chronic Granulomatous Disease	1
Benign Brain Neoplasm	Circulating Enzyme Deficiencies	1
Benign Brain Neoplasm	Combined Heart and Skeletal Defects	1
Benign Brain Neoplasm	Congenital Hydrocephalus	1
Benign Brain Neoplasm	Congenital Ichthyosis	1
Benign Brain Neoplasm	Cystic Fibrosis	1
Benign Brain Neoplasm	Degenerative Diseases of the Basal Ganglia	1
Benign Brain Neoplasm	Disorders of Copper Metabolism	1
Benign Brain Neoplasm	Disorders of Phosphorous Metabolism	1
Benign Brain Neoplasm	Disorders of Straight Chain Amino Acid Metabolism	1
Benign Brain Neoplasm	Disorders of Urea Cycle Metabolism	1
Benign Brain Neoplasm	Dopa-Responsive Dystonia	1
Benign Brain Neoplasm	Facial and Skull Anomalies	1
Benign Brain Neoplasm	Familial Dysautonomia	1
Benign Brain Neoplasm	Friedreich Ataxia	1
Benign Brain Neoplasm	Genetic Anomalies of Leukocytes	1
Benign Brain Neoplasm	Glucose-6-Phosphate Dehydrogenase Deficiency	1
Benign Brain Neoplasm	Haemophilia	1
Benign Brain Neoplasm	Hereditary Muscular Dystrophy	1
Benign Brain Neoplasm	Hereditary Sensory Neuropathy	1
Benign Brain Neoplasm	Holoprosencephaly	1
Benign Brain Neoplasm	Hypopituitarism	1
Benign Brain Neoplasm	Inherited Adrenogenital Disorders	1
Benign Brain Neoplasm	Inherited Anomalies of the Skin	1
Benign Brain Neoplasm	Lipoprotein Deficiencies	1
Benign Brain Neoplasm	Long QT Syndrome	1
Benign Brain Neoplasm	Marfan Syndrome	1
Benign Brain Neoplasm	Multiple Endocrine Neoplasia Type I	1
Benign Brain Neoplasm	Neurofibromatosis	1
Benign Brain Neoplasm	Other Specified Disorders of Amino Acid Metabolism	1
Benign Brain Neoplasm	Pervasive, Specified Congenital Anomalies	1
Benign Brain Neoplasm	Polycystic Kidney, Autosomal Dominant	1
Benign Brain Neoplasm	Retinitis Pigmentosa	1
