mendelian_disease	causal_gene
Congenital Hydrocephalus	B9D1
Congenital Hydrocephalus	B9D2
Congenital Hydrocephalus	CC2D2A
Congenital Hydrocephalus	CEP290
Congenital Hydrocephalus	COL1A1
Congenital Hydrocephalus	COL1A2
Congenital Hydrocephalus	COL3A1
Congenital Hydrocephalus	COL5A1
Congenital Hydrocephalus	COL5A2
Congenital Hydrocephalus	INPP5E
Congenital Hydrocephalus	L1CAM
Congenital Hydrocephalus	MKS1
Congenital Hydrocephalus	NPHP1
Congenital Hydrocephalus	OFD1
Congenital Hydrocephalus	PLOD1
Congenital Hydrocephalus	RPGRIP1L
Congenital Hydrocephalus	TMEM216
Congenital Hydrocephalus	TMEM67
Congenital Hydrocephalus	TNXB
Congenital Hypogammaglobulinemia	BLNK
Congenital Hypogammaglobulinemia	BTK
Congenital Hypogammaglobulinemia	CD79A
Congenital Hypogammaglobulinemia	CD79B
Congenital Hypogammaglobulinemia	IGHM
Congenital Hypogammaglobulinemia	IGLL1
Congenital Hypogammaglobulinemia	LRRC8A
Congenital Ichthyosis	ABCA12
Congenital Ichthyosis	ABHD5
Congenital Ichthyosis	ALDH3A2
Congenital Ichthyosis	ALOX12B
Congenital Ichthyosis	ALOXE3
Congenital Ichthyosis	CSTA
Congenital Ichthyosis	CYP4F22
Congenital Ichthyosis	KRT2
Congenital Ichthyosis	LIPN
Congenital Ichthyosis	NIPAL4
Congenital Ichthyosis	ROR2
Congenital Ichthyosis	SPINK5
Congenital Ichthyosis	TGM1
Congenital Pigmentary Anomalies	ERCC2
Congenital Pigmentary Anomalies	ERCC3
Congenital Pigmentary Anomalies	KIT
Congenital Pigmentary Anomalies	POLH
Congenital Pigmentary Anomalies	RECQL4
Congenital Pigmentary Anomalies	XPA
Congenital Pigmentary Anomalies	XPC
Cri-Du-Chat Syndrome	CTNND2
Cystic Fibrosis	CFTR
Degenerative Diseases of the Basal Ganglia	ARSA
Degenerative Diseases of the Basal Ganglia	GALC
Degenerative Diseases of the Basal Ganglia	GFAP
Degenerative Diseases of the Basal Ganglia	PSAP
Diamond-Blackfan Anemia	RPL11
Diamond-Blackfan Anemia	RPL35A
Diamond-Blackfan Anemia	RPL5
Diamond-Blackfan Anemia	RPS10
Diamond-Blackfan Anemia	RPS17
Diamond-Blackfan Anemia	RPS19
Diamond-Blackfan Anemia	RPS24
Diamond-Blackfan Anemia	RPS26
Diamond-Blackfan Anemia	RPS7
Disorders of Aromatic Amino Acid Metabolism	AP3B1
Disorders of Aromatic Amino Acid Metabolism	BLOC1S3
Disorders of Aromatic Amino Acid Metabolism	BLOC1S6
Disorders of Aromatic Amino Acid Metabolism	DTNBP1
Disorders of Aromatic Amino Acid Metabolism	FAH
Disorders of Aromatic Amino Acid Metabolism	HPD
Disorders of Aromatic Amino Acid Metabolism	HPS1
Disorders of Aromatic Amino Acid Metabolism	HPS4
Disorders of Aromatic Amino Acid Metabolism	HPS5
Disorders of Aromatic Amino Acid Metabolism	HPS6
Disorders of Aromatic Amino Acid Metabolism	MC1R
Disorders of Aromatic Amino Acid Metabolism	OCA2
Disorders of Aromatic Amino Acid Metabolism	SLC45A2
Disorders of Aromatic Amino Acid Metabolism	TAT
Disorders of Aromatic Amino Acid Metabolism	TFF1
Disorders of Aromatic Amino Acid Metabolism	TYR
Disorders of Aromatic Amino Acid Metabolism	TYRP1
Disorders of Branched Chain Amino Acid Metabolism	AUH
Disorders of Branched Chain Amino Acid Metabolism	BCKDHA
Disorders of Branched Chain Amino Acid Metabolism	BCKDHB
Disorders of Branched Chain Amino Acid Metabolism	DBT
Disorders of Branched Chain Amino Acid Metabolism	DLD
Disorders of Branched Chain Amino Acid Metabolism	DNAJC19
Disorders of Branched Chain Amino Acid Metabolism	OPA3
Disorders of Branched Chain Amino Acid Metabolism	TAZ
Disorders of Copper Metabolism	ATP7A
Disorders of Copper Metabolism	ATP7B
Disorders of Copper Metabolism	PRNP
Disorders of Fatty Acid Oxidation	ACADM
Disorders of Fatty Acid Oxidation	ACADS
Disorders of Fatty Acid Oxidation	ACADSB
Disorders of Fatty Acid Oxidation	ACADVL
Disorders of Fatty Acid Oxidation	CPT1A
Disorders of Fatty Acid Oxidation	CPT2
Disorders of Fatty Acid Oxidation	ETFA
Disorders of Fatty Acid Oxidation	ETFB
Disorders of Fatty Acid Oxidation	ETFDH
Disorders of Fatty Acid Oxidation	HADHA
Disorders of Fatty Acid Oxidation	SLC25A20
Disorders of Phosphorous Metabolism	CLCN5
Disorders of Phosphorous Metabolism	CYP27B1
Disorders of Phosphorous Metabolism	DMP1
Disorders of Phosphorous Metabolism	ENPP1
Disorders of Phosphorous Metabolism	FGF23
Disorders of Phosphorous Metabolism	PHEX
Disorders of Phosphorous Metabolism	SLC34A3
Disorders of Straight Chain Amino Acid Metabolism	AHCY
Disorders of Straight Chain Amino Acid Metabolism	DHTKD1
Disorders of Straight Chain Amino Acid Metabolism	GATM
Disorders of Straight Chain Amino Acid Metabolism	GCDH
Disorders of Straight Chain Amino Acid Metabolism	GLDC
Disorders of Straight Chain Amino Acid Metabolism	GNMT
Disorders of Straight Chain Amino Acid Metabolism	MAT1A
Disorders of Straight Chain Amino Acid Metabolism	PSPH
Disorders of Urea Cycle Metabolism	ARG1
Disorders of Urea Cycle Metabolism	ASL
Disorders of Urea Cycle Metabolism	ASS1
Disorders of Urea Cycle Metabolism	CPS1
Disorders of Urea Cycle Metabolism	NAGS
Disorders of Urea Cycle Metabolism	SLC25A15
Dopa-Responsive Dystonia	GCH1
Dopa-Responsive Dystonia	SPR
Dopa-Responsive Dystonia	TH
Ectrodactyly	DLX5
Ectrodactyly	FBXW4
Ectrodactyly	TP63
Ectrodactyly	WNT10B
Ellis Van Creveld Syndrome	EVC
Ellis Van Creveld Syndrome	EVC2
Erythromelalgia	SCN9A
Facial and Skull Anomalies	COL11A2
Facial and Skull Anomalies	FGFR1
Facial and Skull Anomalies	FGFR2
Facial and Skull Anomalies	FGFR3
Facial and Skull Anomalies	POLR1C
Facial and Skull Anomalies	POLR1D
Facial and Skull Anomalies	RAB23
Facial and Skull Anomalies	TCOF1
Facial and Skull Anomalies	TWIST1
Familial Dysautonomia	IKBKAP
Familial Mediterranean Fever	MEFV
Familial Mediterranean Fever	SAA1
Fragile-X Syndrome	FMR1
Friedreich Ataxia	FXN
Genetic Anomalies of Leukocytes	FERMT3
Genetic Anomalies of Leukocytes	ITGB2
Genetic Anomalies of Leukocytes	SLC35C1
Glucose-6-Phosphate Dehydrogenase Deficiency	G6PD
Glycogenosis	AGL
Glycogenosis	G6PC
Glycogenosis	GAA
Glycogenosis	LAMP2
Glycogenosis	PGAM2
Glycogenosis	PHKA1
Glycogenosis	PHKA2
Glycogenosis	PHKB
Glycogenosis	PHKG2
Glycogenosis	PYGM
Glycogenosis	SLC37A4
Haemophilia	F8
Haemophilia	F9
Haemophilia	VWF
Hereditary Color Blindness	CNGA3
Hereditary Color Blindness	CNGB3
Hereditary Color Blindness	GNAT2
Hereditary Color Blindness	OPN1LW
Hereditary Color Blindness	OPN1MW
Hereditary Color Blindness	OPN1SW
Hereditary Hemorrhagic Telangiectasia	ACVRL1
Hereditary Hemorrhagic Telangiectasia	ENG
Hereditary Hemorrhagic Telangiectasia	SMAD4
Hereditary Muscular Dystrophy	ACTA1
Hereditary Muscular Dystrophy	BIN1
Hereditary Muscular Dystrophy	CFL2
Hereditary Muscular Dystrophy	DNM2
Hereditary Muscular Dystrophy	MTM1
Hereditary Muscular Dystrophy	MTMR14
Hereditary Muscular Dystrophy	MYF6
Hereditary Muscular Dystrophy	NEB
Hereditary Muscular Dystrophy	TNNT1
Hereditary Muscular Dystrophy	TPM2
Hereditary Muscular Dystrophy	TPM3
Hereditary Sensory Neuropathy	BSCL2
Hereditary Sensory Neuropathy	CMTX2
Hereditary Sensory Neuropathy	CMTX3
Hereditary Sensory Neuropathy	DNM2
Hereditary Sensory Neuropathy	EGR2
Hereditary Sensory Neuropathy	FGD4
Hereditary Sensory Neuropathy	FIG4
Hereditary Sensory Neuropathy	GARS
Hereditary Sensory Neuropathy	GDAP1
Hereditary Sensory Neuropathy	GJB1
Hereditary Sensory Neuropathy	HSPB1
Hereditary Sensory Neuropathy	HSPB8
Hereditary Sensory Neuropathy	INF2
Hereditary Sensory Neuropathy	KARS
Hereditary Sensory Neuropathy	KIF1B
Hereditary Sensory Neuropathy	LITAF
Hereditary Sensory Neuropathy	LMNA
Hereditary Sensory Neuropathy	MED25
Hereditary Sensory Neuropathy	MFN2
Hereditary Sensory Neuropathy	MPZ
Hereditary Sensory Neuropathy	MTMR2
Hereditary Sensory Neuropathy	NDRG1
Hereditary Sensory Neuropathy	NEFL
Hereditary Sensory Neuropathy	NMSR
Hereditary Sensory Neuropathy	NTRK1
Hereditary Sensory Neuropathy	PMP22
Hereditary Sensory Neuropathy	PRPS1
Hereditary Sensory Neuropathy	PRX
Hereditary Sensory Neuropathy	RAB7A
Hereditary Sensory Neuropathy	RAB7B
Hereditary Sensory Neuropathy	SBF2
Hereditary Sensory Neuropathy	SH3TC2
Hereditary Sensory Neuropathy	TRPV4
Hereditary Sensory Neuropathy	YARS
Hereditary Thrombocytopenic Purpura	ADAMTS13
Holoprosencephaly	DISP1
Holoprosencephaly	FGF8
Holoprosencephaly	FOXH1
Holoprosencephaly	GLI2
Holoprosencephaly	NODAL
Holoprosencephaly	PTCH1
Holoprosencephaly	SHH
Holoprosencephaly	SIX3
Holoprosencephaly	TDGF1
Holoprosencephaly	TGIF1
Holoprosencephaly	ZIC2
Huntington Disease	HTT
Hypopituitarism	BTK
Hypopituitarism	FGFR1
Hypopituitarism	GH1
Hypopituitarism	GHRHR
Hypopituitarism	GLI2
Hypopituitarism	HESX1
Hypopituitarism	KAL1
Hypopituitarism	LHCGR
Hypopituitarism	LHX3
Hypopituitarism	LHX4
Hypopituitarism	OTX2
Hypopituitarism	POU1F1
Hypopituitarism	PROK2
Hypopituitarism	PROKR2
Hypopituitarism	SOX2
Hypopituitarism	TBX19
Immunodeficiency with Increased IgM	CD40LG
Indeterminate Sex and Pseudohermaphroditism	HSD17B3
Inherited Adrenogenital Disorders	CYP11A1
Inherited Adrenogenital Disorders	CYP11B1
Inherited Adrenogenital Disorders	CYP17A1
Inherited Adrenogenital Disorders	CYP21A2
Inherited Adrenogenital Disorders	HSD11B1
Inherited Adrenogenital Disorders	HSD3B2
Inherited Adrenogenital Disorders	POR
Inherited Adrenogenital Disorders	STAR
Inherited Anomalies of the Skin	ABCC6
Inherited Anomalies of the Skin	ATP2A2
Inherited Anomalies of the Skin	ATP2C1
Inherited Anomalies of the Skin	DKC1
Inherited Anomalies of the Skin	KRT1
Inherited Anomalies of the Skin	KRT16
Inherited Anomalies of the Skin	KRT6C
Inherited Anomalies of the Skin	KRT9
Inherited Anomalies of the Skin	NHP2
Inherited Anomalies of the Skin	NOP10
Inherited Anomalies of the Skin	TERC
Inherited Anomalies of the Skin	TERT
Inherited Anomalies of the Skin	TINF2
Inherited Anomalies of the Skin	WRAP53
Li Fraumeni and Related Syndromes	CDKN2A
Li Fraumeni and Related Syndromes	CHEK2
Li Fraumeni and Related Syndromes	TP53
Lipoprotein Deficiencies	ABCA1
Lipoprotein Deficiencies	APOA1
Lipoprotein Deficiencies	APOB
Lipoprotein Deficiencies	LCAT
Lipoprotein Deficiencies	LPL
Lipoprotein Deficiencies	MTTP
Lipoprotein Deficiencies	SAR1B
Long QT Syndrome	CACNA1C
Long QT Syndrome	CAV3
Long QT Syndrome	KCNE1
Long QT Syndrome	KCNE2
Long QT Syndrome	KCNH2
Long QT Syndrome	KCNQ1
Long QT Syndrome	SCN4B
Long QT Syndrome	SCN5A
Marfan Syndrome	FBN1
Marfan Syndrome	TGFBR1
Multiple Endocrine Neoplasia Type I	MEN1
Multiple Endocrine Neoplasia Type IIA	RET
Multiple Epiphyseal Dysplasia	COL9A1
Multiple Epiphyseal Dysplasia	COL9A2
Multiple Epiphyseal Dysplasia	COL9A3
Multiple Epiphyseal Dysplasia	COMP
Multiple Epiphyseal Dysplasia	MATN3
Multiple Epiphyseal Dysplasia	SLC26A2
Neurofibromatosis	NF1
Neurofibromatosis	NF2
Non-Specific Autosomal Deletion Syndromes	CLIP2
Non-Specific Autosomal Deletion Syndromes	ELN
Non-Specific Autosomal Deletion Syndromes	GTF2I
Non-Specific Autosomal Deletion Syndromes	GTF2IRD1
Non-Specific Autosomal Deletion Syndromes	LETM1
Non-Specific Autosomal Deletion Syndromes	LIMK1
Non-Specific Autosomal Deletion Syndromes	MSX1
Non-Specific Autosomal Deletion Syndromes	NCF1
Non-Specific Autosomal Deletion Syndromes	WHSC1
Non-Specified Osteodystrophy	EXT1
Non-Specified Osteodystrophy	EXT2
Osteogenesis Imperfecta	COL1A1
Osteogenesis Imperfecta	COL1A2
Osteogenesis Imperfecta	CRTAP
Osteogenesis Imperfecta	LEPRE1
Other Specified Disorders of Amino Acid Metabolism	ABCB11
Other Specified Disorders of Amino Acid Metabolism	ABCB4
Other Specified Disorders of Amino Acid Metabolism	ALDH4A1
Other Specified Disorders of Amino Acid Metabolism	ALDH5A1
Other Specified Disorders of Amino Acid Metabolism	AMT
Other Specified Disorders of Amino Acid Metabolism	ATP8B1
Other Specified Disorders of Amino Acid Metabolism	DBH
Other Specified Disorders of Amino Acid Metabolism	DDC
Other Specified Disorders of Amino Acid Metabolism	FTCD
Other Specified Disorders of Amino Acid Metabolism	GCLM
Other Specified Disorders of Amino Acid Metabolism	GSS
Other Specified Disorders of Amino Acid Metabolism	HIBCH
Other Specified Disorders of Amino Acid Metabolism	HLCS
Other Specified Disorders of Amino Acid Metabolism	MMADHC
Other Specified Disorders of Amino Acid Metabolism	OAT
Other Specified Disorders of Amino Acid Metabolism	OCRL
Other Specified Disorders of Amino Acid Metabolism	OPLAH
Other Specified Disorders of Amino Acid Metabolism	OXCT1
Other Specified Disorders of Amino Acid Metabolism	PCCA
Other Specified Disorders of Amino Acid Metabolism	PCCB
Other Specified Disorders of Amino Acid Metabolism	PRODH
Other Specified Disorders of Amino Acid Metabolism	SARDH
Other Specified Disorders of Amino Acid Metabolism	SLC36A2
Other Specified Disorders of Amino Acid Metabolism	SLC7A7
Peroxisomal Disorders	ABCD1
Peroxisomal Disorders	ACOX1
Peroxisomal Disorders	PAF1
Peroxisomal Disorders	PEX1
Peroxisomal Disorders	PEX10
Peroxisomal Disorders	PEX13
Peroxisomal Disorders	PEX14
Peroxisomal Disorders	PEX16
Peroxisomal Disorders	PEX19
Peroxisomal Disorders	PEX26
Peroxisomal Disorders	PEX3
Peroxisomal Disorders	PEX5
Peroxisomal Disorders	PEX6
Pervasive, Specified Congenital Anomalies	ARL6
Pervasive, Specified Congenital Anomalies	BBS1
Pervasive, Specified Congenital Anomalies	BBS10
Pervasive, Specified Congenital Anomalies	BBS12
Pervasive, Specified Congenital Anomalies	BBS2
Pervasive, Specified Congenital Anomalies	BBS4
Pervasive, Specified Congenital Anomalies	BBS5
Pervasive, Specified Congenital Anomalies	BBS7
Pervasive, Specified Congenital Anomalies	BBS9
Pervasive, Specified Congenital Anomalies	BRAF
Pervasive, Specified Congenital Anomalies	CEP290
Pervasive, Specified Congenital Anomalies	CHD7
Pervasive, Specified Congenital Anomalies	CUL7
Pervasive, Specified Congenital Anomalies	DHCR7
Pervasive, Specified Congenital Anomalies	FGD1
Pervasive, Specified Congenital Anomalies	FLCN
Pervasive, Specified Congenital Anomalies	HRAS
Pervasive, Specified Congenital Anomalies	IDUA
Pervasive, Specified Congenital Anomalies	JAG1
Pervasive, Specified Congenital Anomalies	KRAS
Pervasive, Specified Congenital Anomalies	MKKS
Pervasive, Specified Congenital Anomalies	MKS1
Pervasive, Specified Congenital Anomalies	NIPBL
Pervasive, Specified Congenital Anomalies	NOTCH2
Pervasive, Specified Congenital Anomalies	NRAS
Pervasive, Specified Congenital Anomalies	PTCH1
Pervasive, Specified Congenital Anomalies	PTPN11
Pervasive, Specified Congenital Anomalies	RAF1
Pervasive, Specified Congenital Anomalies	ROR2
Pervasive, Specified Congenital Anomalies	RPS6KA3
Pervasive, Specified Congenital Anomalies	SMC1A
Pervasive, Specified Congenital Anomalies	SMC3
Pervasive, Specified Congenital Anomalies	SOS1
Pervasive, Specified Congenital Anomalies	TRIM32
Pervasive, Specified Congenital Anomalies	TTC8
Phenylketonuria	PAH
Polycystic Kidney, Autosomal Dominant	PKD1
Polycystic Kidney, Autosomal Dominant	PKHD1
Polycystic Kidney, Autosomal Dominant	TSC2
Retinitis Pigmentosa	ABCA4
Retinitis Pigmentosa	BEST1
Retinitis Pigmentosa	C2orf71
Retinitis Pigmentosa	CA4
Retinitis Pigmentosa	CERKL
Retinitis Pigmentosa	CNGA1
Retinitis Pigmentosa	CNGB1
Retinitis Pigmentosa	CRB1
Retinitis Pigmentosa	CRX
Retinitis Pigmentosa	EYS
Retinitis Pigmentosa	FAM161A
Retinitis Pigmentosa	FSCN2
Retinitis Pigmentosa	GUCA1B
Retinitis Pigmentosa	IDH3B
Retinitis Pigmentosa	IMPDH1
Retinitis Pigmentosa	IMPG2
Retinitis Pigmentosa	KLHL7
Retinitis Pigmentosa	LRAT
Retinitis Pigmentosa	MERTK
Retinitis Pigmentosa	MT-TS2
Retinitis Pigmentosa	NR2E3
Retinitis Pigmentosa	NRL
Retinitis Pigmentosa	PDE6A
Retinitis Pigmentosa	PDE6B
Retinitis Pigmentosa	PDE6G
Retinitis Pigmentosa	PRCD
Retinitis Pigmentosa	PROM1
Retinitis Pigmentosa	PRPF3
Retinitis Pigmentosa	PRPF31
Retinitis Pigmentosa	PRPF8
Retinitis Pigmentosa	PRPH2
Retinitis Pigmentosa	RBP3
Retinitis Pigmentosa	RDH12
Retinitis Pigmentosa	RGR
Retinitis Pigmentosa	RHO
Retinitis Pigmentosa	RLBP1
Retinitis Pigmentosa	ROM1
Retinitis Pigmentosa	RP1
Retinitis Pigmentosa	RP2
Retinitis Pigmentosa	RP9
Retinitis Pigmentosa	RPE65
Retinitis Pigmentosa	RPGR
Retinitis Pigmentosa	SAG
Retinitis Pigmentosa	SEMA4A
Retinitis Pigmentosa	SNRNP200
Retinitis Pigmentosa	SPATA7
Retinitis Pigmentosa	TOPORS
Retinitis Pigmentosa	TTC8
Retinitis Pigmentosa	TULP1
Retinitis Pigmentosa	USH2A
Retinitis Pigmentosa	ZNF513
Rett Syndrome	CDKL5
Rett Syndrome	FOXG1
Rett Syndrome	MECP2
Sensory Retina Dystropies	ABCA4
Sensory Retina Dystropies	ELOVL4
Severe Combined Immunodeficiency	ADA
Severe Combined Immunodeficiency	AK2
Severe Combined Immunodeficiency	CD3D
Severe Combined Immunodeficiency	CIITA
Severe Combined Immunodeficiency	DCLRE1C
Severe Combined Immunodeficiency	IL2RG
Severe Combined Immunodeficiency	IL7R
Severe Combined Immunodeficiency	JAK3
Severe Combined Immunodeficiency	NHEJ1
Severe Combined Immunodeficiency	PNP
Severe Combined Immunodeficiency	PTPRC
Severe Combined Immunodeficiency	RAG1
Severe Combined Immunodeficiency	RAG2
Severe Combined Immunodeficiency	RFX5
Severe Combined Immunodeficiency	RFXANK
Severe Combined Immunodeficiency	RFXAP
Severe Combined Immunodeficiency	ZAP70
Sickle Cell Anemia	HBB
Smith-Magenis Syndrome	BSX
Smith-Magenis Syndrome	ETS1
Smith-Magenis Syndrome	FLI1
Smith-Magenis Syndrome	JAM3
Smith-Magenis Syndrome	PAFAH1B1
Smith-Magenis Syndrome	RAI1
Smith-Magenis Syndrome	YWHAE
Specific Nail Anomalies	KRT16
Specific Nail Anomalies	KRT17
Specific Nail Anomalies	KRT6A
Specific Nail Anomalies	KRT6B
Specified Anomalies of the Musculoskeletal System	EDN3
Specified Anomalies of the Musculoskeletal System	EDNRB
Specified Anomalies of the Musculoskeletal System	FGFR3
Specified Anomalies of the Musculoskeletal System	HSPG2
Specified Anomalies of the Musculoskeletal System	IRF6
Specified Anomalies of the Musculoskeletal System	LIFR
Specified Anomalies of the Musculoskeletal System	LMX1B
Specified Anomalies of the Musculoskeletal System	MITF
Specified Anomalies of the Musculoskeletal System	PAX3
Specified Anomalies of the Musculoskeletal System	PCNT
Specified Anomalies of the Musculoskeletal System	SLC26A2
Specified Anomalies of the Musculoskeletal System	SNAI2
Specified Anomalies of the Musculoskeletal System	SOX10
Specified Hamartoses	PTEN
Specified Hamartoses	SDHB
Specified Hamartoses	SDHD
Specified Hamartoses	STK11
Specified Hamartoses	VHL
Spinocerebellar Ataxia	AFG3L2
Spinocerebellar Ataxia	ANO10
Spinocerebellar Ataxia	APTX
Spinocerebellar Ataxia	ATM
Spinocerebellar Ataxia	ATXN1
Spinocerebellar Ataxia	ATXN10
Spinocerebellar Ataxia	ATXN2
Spinocerebellar Ataxia	ATXN3
Spinocerebellar Ataxia	ATXN7
Spinocerebellar Ataxia	ATXN8OS
Spinocerebellar Ataxia	C10orf2
Spinocerebellar Ataxia	CACNA1A
Spinocerebellar Ataxia	DAGLA
Spinocerebellar Ataxia	FGF14
Spinocerebellar Ataxia	ITPR1
Spinocerebellar Ataxia	JPH3
Spinocerebellar Ataxia	KCNC3
Spinocerebellar Ataxia	NOP56
Spinocerebellar Ataxia	PDYN
Spinocerebellar Ataxia	POLG
Spinocerebellar Ataxia	PPP2R2B
Spinocerebellar Ataxia	PRKCG
Spinocerebellar Ataxia	PRNP
Spinocerebellar Ataxia	SETX
Spinocerebellar Ataxia	SPTBN2
Spinocerebellar Ataxia	SYNE1
Spinocerebellar Ataxia	SYT14
Spinocerebellar Ataxia	TBP
Spinocerebellar Ataxia	TDP1
Spinocerebellar Ataxia	TGM6
Spinocerebellar Ataxia	TTBK2
Spinocerebellar Ataxia	ZNF592
Systemic Primary Carnitine Deficiency	SLC22A5
Thalassemia	HBA1
Thalassemia	HBA2
Thalassemia	HBB
Tongue Tie	TBX22
Tuberous Sclerosis	TSC1
Tuberous Sclerosis	TSC2
Velo-Cardio-Facial Syndrome	COMT
Velo-Cardio-Facial Syndrome	TBX1
Wiskott-Aldrich Syndrome	WAS
